Rank 000 - [2584, 59, White Point] - HP: 173151, STR: 100858, VIT: 96, SPD: 2, LUK: 2, Attack: 186502, Defense: 84024, Current HP: 0, A Avg: 234992, D Avg: 84024, [Gladius[162, 130, 130, 130], Tower Shield[213, 130, 230, 230], Marriage Ring[321, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153768, STR: 105738, VIT: 52, SPD: 2, LUK: 3, Attack: 191382, Defense: 84058, Current HP: 0, A Avg: 200951, D Avg: 84058, [Gladius[162, 130, 130, 130], Small Dragon Sword[224, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153696, STR: 100911, VIT: 165, SPD: 2, LUK: 3, Attack: 186555, Defense: 85003, Current HP: 0, A Avg: 195882, D Avg: 85003, [Gladius[162, 130, 130, 130], Bulletproof Shield[235, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153696, STR: 105705, VIT: 31, SPD: 2, LUK: 3, Attack: 191349, Defense: 85701, Current HP: 0, A Avg: 200916, D Avg: 85701, [Gladius[162, 130, 130, 130], Shield of Thousand[246, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173151, STR: 100820, VIT: 64, SPD: 2, LUK: 2, Attack: 185661, Defense: 83927, Current HP: 0, A Avg: 194944, D Avg: 83927, [Grand Slam[163, 130, 130, 130], Titanium Shield[205, 130, 230, 230], Morphine Ring[311, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153816, STR: 100841, VIT: 57, SPD: 3, LUK: 2, Attack: 185682, Defense: 84297, Current HP: 0, A Avg: 194966, D Avg: 84297, [Grand Slam[163, 130, 130, 130], Dragon's Wings[216, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160075, STR: 100831, VIT: 495, SPD: 2, LUK: 2, Attack: 185672, Defense: 87283, Current HP: 0, A Avg: 194955, D Avg: 87283, [Grand Slam[163, 130, 130, 130], Energy Shield[227, 130, 230, 230], Silver Ring[302, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173016, STR: 101261, VIT: 61, SPD: 2, LUK: 2, Attack: 186102, Defense: 84197, Current HP: 0, A Avg: 234488, D Avg: 84197, [Grand Slam[163, 130, 130, 130], Magnum[237, 130, 230, 230], Marriage Ring[321, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154200, STR: 101030, VIT: 512, SPD: 2, LUK: 2, Attack: 185871, Defense: 86728, Current HP: 0, A Avg: 195164, D Avg: 86728, [Grand Slam[163, 130, 130, 130], King Shield[248, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173313, STR: 110538, VIT: 247, SPD: 2, LUK: 2, Attack: 195461, Defense: 84123, Current HP: 0, A Avg: 205234, D Avg: 84123, [Pangaea[164, 130, 130, 130], Magic Shield[207, 130, 230, 230], Endpoint[318, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173232, STR: 105754, VIT: 31, SPD: 2, LUK: 3, Attack: 190677, Defense: 83894, Current HP: 0, A Avg: 200210, D Avg: 83894, [Pangaea[164, 130, 130, 130], Small Sword[218, 130, 230, 230], Pandora Ring[312, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 173367, STR: 100820, VIT: 154, SPD: 2, LUK: 2, Attack: 185743, Defense: 84745, Current HP: 0, A Avg: 195030, D Avg: 84745, [Pangaea[164, 130, 130, 130], Black Hole[229, 130, 230, 230], Morphine Ring[311, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153960, STR: 100831, VIT: 278, SPD: 2, LUK: 2, Attack: 185754, Defense: 87118, Current HP: 0, A Avg: 195041, D Avg: 87118, [Pangaea[164, 130, 130, 130], Aurora Shield[240, 130, 230, 230], Summon Ring[306, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160250, STR: 100820, VIT: 41, SPD: 3, LUK: 2, Attack: 185743, Defense: 87089, Current HP: 0, A Avg: 195030, D Avg: 87089, [Pangaea[164, 130, 130, 130], Ghost shield[251, 130, 230, 230], Fairy Ring[305, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153708, STR: 105842, VIT: 46, SPD: 2, LUK: 2, Attack: 190630, Defense: 84052, Current HP: 0, A Avg: 200161, D Avg: 84052, [Pulse Knife[165, 130, 130, 130], Wings of Beast[210, 130, 230, 230], Copper Ring[301, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 153936, STR: 101272, VIT: 371, SPD: 2, LUK: 2, Attack: 186060, Defense: 84793, Current HP: 0, A Avg: 195363, D Avg: 84793, [Pulse Knife[165, 130, 130, 130], Superconducting Barrier[220, 130, 230, 230], Obsidian Ring[320, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154872, STR: 101093, VIT: 22, SPD: 2, LUK: 3, Attack: 185881, Defense: 85939, Current HP: 0, A Avg: 195175, D Avg: 85939, [Pulse Knife[165, 130, 130, 130], Frying Pan[231, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 154392, STR: 106128, VIT: 440, SPD: 2, LUK: 3, Attack: 190916, Defense: 88008, Current HP: 0, A Avg: 200461, D Avg: 88008, [Pulse Knife[165, 130, 130, 130], Storm Wall[242, 130, 230, 230], Search Ring[317, 230, 630, 630]]
Rank 000 - [2584, 59, White Point] - HP: 160225, STR: 101135, VIT: 83, SPD: 2, LUK: 3, Attack: 186469, Defense: 83806, Current HP: 0, A Avg: 195792, D Avg: 83806, [Impulse[166, 130, 130, 130], Pot Lid[201, 130, 230, 230], Search Ring[317, 230, 630, 630]]
