Rank 38219: 6923 - [10416, 6971, 912] - HP: 47067, STR: 77881, VIT: 76888, SPD: 1, LUK: 1, Attack: 167790, Defense: 166666, Current HP: 47067, A Avg: 211415, D Avg: 199999, [Spectral Sword Shigure[172, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 67, 806]]
Rank 38220: 2530 - [10101, 7917, 281] - HP: 30476, STR: 51232, VIT: 128032, SPD: 1, LUK: 2, Attack: 150498, Defense: 217810, Current HP: 30476, A Avg: 158022, D Avg: 217810, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38220: 2580 - [10101, 7917, 281] - HP: 30476, STR: 51232, VIT: 128032, SPD: 1, LUK: 2, Attack: 150498, Defense: 217810, Current HP: 30476, A Avg: 158022, D Avg: 217810, [Sword of Evil[189, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38222: 3074 - [10088, 7958, 253] - HP: 1537, STR: 55719, VIT: 154008, SPD: 1, LUK: 1, Attack: 145628, Defense: 241576, Current HP: 1537, A Avg: 152909, D Avg: 241576, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38222: 3078 - [10088, 7958, 253] - HP: 1827, STR: 54587, VIT: 153944, SPD: 1, LUK: 1, Attack: 146773, Defense: 241512, Current HP: 1827, A Avg: 154111, D Avg: 241512, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38222: 3079 - [10088, 7958, 253] - HP: 1026, STR: 55736, VIT: 154016, SPD: 1, LUK: 2, Attack: 145645, Defense: 241584, Current HP: 1026, A Avg: 152927, D Avg: 241584, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38222: 3114 - [10088, 7958, 253] - HP: 1537, STR: 55719, VIT: 154008, SPD: 1, LUK: 1, Attack: 145628, Defense: 241576, Current HP: 1537, A Avg: 152909, D Avg: 289891, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38222: 3118 - [10088, 7958, 253] - HP: 1827, STR: 54587, VIT: 153944, SPD: 1, LUK: 1, Attack: 146773, Defense: 241512, Current HP: 1827, A Avg: 154111, D Avg: 289814, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38222: 3119 - [10088, 7958, 253] - HP: 1026, STR: 55736, VIT: 154016, SPD: 1, LUK: 2, Attack: 145645, Defense: 241584, Current HP: 1026, A Avg: 152927, D Avg: 289900, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38222: 3124 - [10088, 7958, 253] - HP: 1537, STR: 55719, VIT: 154008, SPD: 1, LUK: 1, Attack: 145628, Defense: 241576, Current HP: 1537, A Avg: 152909, D Avg: 241576, [Spectral Sword Shigure[172, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38222: 3128 - [10088, 7958, 253] - HP: 1827, STR: 54587, VIT: 153944, SPD: 1, LUK: 1, Attack: 146773, Defense: 241512, Current HP: 1827, A Avg: 154111, D Avg: 241512, [Big Bang[171, 230, 230, 330], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
