Rank 38249: 8005 - [10330, 7259, 710] - HP: 1292, STR: 128248, VIT: 77254, SPD: 8, LUK: 2, Attack: 220434, Defense: 164822, Current HP: 1292, A Avg: 275542, D Avg: 197786, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 68, 806]]
Rank 38254: 2545 - [10087, 7993, 219] - HP: 31692, STR: 64248, VIT: 128454, SPD: 8, LUK: 2, Attack: 156434, Defense: 216022, Current HP: 31692, A Avg: 197106, D Avg: 216022, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38254: 2555 - [10087, 7993, 219] - HP: 31692, STR: 64248, VIT: 128454, SPD: 8, LUK: 2, Attack: 156434, Defense: 216022, Current HP: 31692, A Avg: 195542, D Avg: 216022, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38254: 2904 - [10330, 7264, 705] - HP: 1073, STR: 128022, VIT: 76958, SPD: 8, LUK: 1, Attack: 220208, Defense: 166736, Current HP: 1073, A Avg: 277462, D Avg: 166736, [Big Bang[171, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 38254: 2908 - [10330, 7264, 705] - HP: 1710, STR: 128022, VIT: 77176, SPD: 8, LUK: 1, Attack: 220208, Defense: 164211, Current HP: 1710, A Avg: 277462, D Avg: 164211, [Big Bang[171, 230, 230, 230], Warrior's Shield[249, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 38254: 7905 - [10330, 7264, 705] - HP: 1292, STR: 128248, VIT: 77254, SPD: 8, LUK: 2, Attack: 220434, Defense: 164822, Current HP: 1292, A Avg: 277746, D Avg: 164822, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 66, 67]]
Rank 38254: 7975 - [10330, 7264, 705] - HP: 1292, STR: 128248, VIT: 77254, SPD: 8, LUK: 2, Attack: 220434, Defense: 164822, Current HP: 1292, A Avg: 277746, D Avg: 197786, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 67, 806]]
Rank 38256: 2900 - [10330, 7266, 703] - HP: 152, STR: 121644, VIT: 76966, SPD: 8, LUK: 2, Attack: 220910, Defense: 166744, Current HP: 152, A Avg: 278346, D Avg: 166744, [Sword of Evil[189, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 67]]
Rank 38256: 2901 - [10330, 7266, 703] - HP: 203, STR: 121628, VIT: 76958, SPD: 8, LUK: 1, Attack: 220894, Defense: 166736, Current HP: 203, A Avg: 278326, D Avg: 166736, [Sword of Evil[189, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 38256: 2910 - [10330, 7266, 703] - HP: 152, STR: 121644, VIT: 76966, SPD: 8, LUK: 2, Attack: 220910, Defense: 166744, Current HP: 152, A Avg: 276137, D Avg: 166744, [Sword of Evil[189, 230, 230, 230], Blank Shield[244, 230, 230, 330], Tears of the Dragon[307, 330, 330, 68]]
Rank 38256: 2911 - [10330, 7266, 703] - HP: 203, STR: 121628, VIT: 76958, SPD: 8, LUK: 1, Attack: 220894, Defense: 166736, Current HP: 203, A Avg: 276117, D Avg: 166736, [Sword of Evil[189, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
