Rank 38354: 5728 - [10794, 5972, 1533] - HP: 94598, STR: 110394, VIT: 26238, SPD: 16, LUK: 1, Attack: 200303, Defense: 113806, Current HP: 94598, A Avg: 252381, D Avg: 136567, [Spectral Sword Shigure[172, 130, 130, 230], Storm Wall[242, 230, 230, 230], Gold Ring[303, 330, 67, 806]]
Rank 38359: 6920 - [10493, 6880, 926] - HP: 47618, STR: 76830, VIT: 77126, SPD: 16, LUK: 1, Attack: 169016, Defense: 166904, Current HP: 47618, A Avg: 212960, D Avg: 200284, [Big Bang[171, 130, 230, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 67, 806]]
Rank 38367: 6952 - [10437, 7056, 806] - HP: 48488, STR: 81802, VIT: 77374, SPD: 16, LUK: 1, Attack: 173988, Defense: 164942, Current HP: 48488, A Avg: 217485, D Avg: 197930, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 68, 806]]
Rank 38369: 187 - [10729, 6182, 1388] - HP: 187543, STR: 51230, VIT: 82193, SPD: 16, LUK: 1, Attack: 143416, Defense: 168981, Current HP: 187543, A Avg: 150586, D Avg: 168981, [Big Bang[171, 130, 130, 130], Golem Shield[245, 130, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 38371: 7997 - [10418, 7117, 764] - HP: 1943, STR: 102430, VIT: 82193, SPD: 16, LUK: 1, Attack: 194616, Defense: 168981, Current HP: 1943, A Avg: 267597, D Avg: 168981, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 68, 803]]
Rank 38372: 3070 - [10181, 7829, 289] - HP: 1218, STR: 51230, VIT: 153926, SPD: 16, LUK: 1, Attack: 143416, Defense: 243704, Current HP: 1218, A Avg: 150586, D Avg: 243704, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38372: 3120 - [10181, 7829, 289] - HP: 1218, STR: 51230, VIT: 153926, SPD: 16, LUK: 1, Attack: 143416, Defense: 243704, Current HP: 1218, A Avg: 150586, D Avg: 243704, [Big Bang[171, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38373: 188 - [10780, 6033, 1486] - HP: 187398, STR: 55994, VIT: 77438, SPD: 16, LUK: 1, Attack: 145903, Defense: 165006, Current HP: 187398, A Avg: 153198, D Avg: 165006, [Spectral Sword Shigure[172, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 38373: 6922 - [10440, 7053, 806] - HP: 48488, STR: 81802, VIT: 77374, SPD: 16, LUK: 1, Attack: 173988, Defense: 164942, Current HP: 48488, A Avg: 219224, D Avg: 197930, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 67, 806]]
Rank 38381: 2086 - [10392, 7205, 702] - HP: 97860, STR: 51230, VIT: 102816, SPD: 16, LUK: 1, Attack: 143416, Defense: 189851, Current HP: 97860, A Avg: 154172, D Avg: 189851, [Big Bang[171, 130, 130, 230], Warrior's Shield[249, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38389: 5902 - [10819, 5932, 1548] - HP: 94888, STR: 81802, VIT: 51774, SPD: 16, LUK: 1, Attack: 173988, Defense: 139342, Current HP: 94888, A Avg: 217485, D Avg: 167210, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 68, 806]]
Rank 38392: 5872 - [10820, 5932, 1547] - HP: 94888, STR: 81802, VIT: 51774, SPD: 16, LUK: 1, Attack: 173988, Defense: 139342, Current HP: 94888, A Avg: 219224, D Avg: 167210, [Big Bang[171, 130, 130, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 67, 806]]
