Rank 38334: 3078 - [10172, 7818, 309] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 149739, D Avg: 243944, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 66]]
Rank 38334: 3128 - [10172, 7818, 309] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 149739, D Avg: 243944, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 807]]
Rank 38337: 110 - [11745, 3102, 3452] - HP: 233363, STR: 76838, VIT: 26094, SPD: 24, LUK: 1, Attack: 169024, Defense: 115872, Current HP: 233363, A Avg: 177475, D Avg: 115872, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 130, 230], Gold Ring[303, 230, 230, 330]]
Rank 38339: 2561 - [10158, 7865, 276] - HP: 31312, STR: 60864, VIT: 128502, SPD: 24, LUK: 2, Attack: 153050, Defense: 218280, Current HP: 31312, A Avg: 164528, D Avg: 218280, [Big Bang[171, 130, 230, 230], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38340: 6783 - [10257, 7569, 473] - HP: 31882, STR: 128268, VIT: 51910, SPD: 24, LUK: 2, Attack: 220454, Defense: 139478, Current HP: 31882, A Avg: 324067, D Avg: 139478, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 67, 807]]
Rank 38341: 6952 - [10427, 7060, 812] - HP: 48633, STR: 81810, VIT: 77502, SPD: 24, LUK: 1, Attack: 173996, Defense: 165070, Current HP: 48633, A Avg: 217495, D Avg: 198084, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 68, 806]]
Rank 38343: 6922 - [10428, 7059, 812] - HP: 48633, STR: 81810, VIT: 77502, SPD: 24, LUK: 1, Attack: 173996, Defense: 165070, Current HP: 48633, A Avg: 219234, D Avg: 198084, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 330, 330], Gold Ring[303, 330, 67, 806]]
Rank 38346: 2909 - [10330, 7356, 613] - HP: 1943, STR: 137747, VIT: 77566, SPD: 24, LUK: 1, Attack: 227656, Defense: 165134, Current HP: 1943, A Avg: 286846, D Avg: 165134, [Spectral Sword Shigure[172, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 38346: 2912 - [10330, 7356, 613] - HP: 2233, STR: 136210, VIT: 77502, SPD: 24, LUK: 1, Attack: 228396, Defense: 165070, Current HP: 2233, A Avg: 285495, D Avg: 165070, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 38351: 3108 - [10173, 7832, 294] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 153304, D Avg: 243944, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 803]]
Rank 38353: 2902 - [10330, 7363, 606] - HP: 2233, STR: 136210, VIT: 77502, SPD: 24, LUK: 1, Attack: 228396, Defense: 165070, Current HP: 2233, A Avg: 287778, D Avg: 165070, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 38353: 2914 - [10330, 7363, 606] - HP: 1363, STR: 137213, VIT: 76846, SPD: 24, LUK: 1, Attack: 229399, Defense: 164674, Current HP: 1363, A Avg: 286748, D Avg: 164674, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 68]]
Rank 38361: 182 - [10770, 6051, 1478] - HP: 187833, STR: 54610, VIT: 77502, SPD: 24, LUK: 1, Attack: 146796, Defense: 165070, Current HP: 187833, A Avg: 154135, D Avg: 165070, [Big Bang[171, 130, 130, 130], Storm Wall[242, 130, 230, 230], Gold Ring[303, 330, 330, 330]]
Rank 38366: 3118 - [10187, 7805, 307] - HP: 722, STR: 52700, VIT: 154166, SPD: 24, LUK: 2, Attack: 142609, Defense: 243944, Current HP: 722, A Avg: 149739, D Avg: 292732, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Tears of the Dragon[307, 330, 330, 806]]
Rank 38376: 6753 - [10263, 7587, 449] - HP: 31882, STR: 128268, VIT: 51910, SPD: 24, LUK: 2, Attack: 220454, Defense: 139478, Current HP: 31882, A Avg: 330681, D Avg: 139478, [Big Bang[171, 130, 230, 230], Storm Wall[242, 230, 230, 330], Tears of the Dragon[307, 330, 67, 68]]
Rank 38378: 1850 - [10425, 7103, 771] - HP: 94163, STR: 153638, VIT: 494, SPD: 24, LUK: 1, Attack: 245824, Defense: 90272, Current HP: 94163, A Avg: 258115, D Avg: 108326, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 38388: 2904 - [10330, 7398, 571] - HP: 1363, STR: 137213, VIT: 76846, SPD: 24, LUK: 1, Attack: 229399, Defense: 164674, Current HP: 1363, A Avg: 289042, D Avg: 164674, [Big Bang[171, 230, 230, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 330, 67]]
Rank 38391: 3076 - [10199, 7794, 306] - HP: 1073, STR: 52684, VIT: 154158, SPD: 24, LUK: 1, Attack: 142593, Defense: 243936, Current HP: 1073, A Avg: 149722, D Avg: 243936, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 66]]
Rank 38391: 3126 - [10199, 7794, 306] - HP: 1073, STR: 52684, VIT: 154158, SPD: 24, LUK: 1, Attack: 142593, Defense: 243936, Current HP: 1073, A Avg: 149722, D Avg: 243936, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 807]]
Rank 38403: 4894 - [11587, 3642, 3070] - HP: 140563, STR: 110013, VIT: 46, SPD: 24, LUK: 1, Attack: 202199, Defense: 87874, Current HP: 140563, A Avg: 212308, D Avg: 123023, [Big Bang[171, 130, 130, 130], Black Sword Breath[252, 230, 230, 230], Gold Ring[303, 230, 806, 807]]
Rank 38404: 2080 - [10384, 7252, 663] - HP: 94163, STR: 51238, VIT: 102894, SPD: 24, LUK: 1, Attack: 143424, Defense: 192672, Current HP: 94163, A Avg: 154180, D Avg: 192672, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38406: 3106 - [10199, 7809, 291] - HP: 1073, STR: 52684, VIT: 154158, SPD: 24, LUK: 1, Attack: 142593, Defense: 243936, Current HP: 1073, A Avg: 153287, D Avg: 243936, [Spectral Sword Shigure[172, 230, 230, 330], Blank Shield[244, 330, 330, 330], Gold Ring[303, 330, 330, 803]]
Rank 38413: 286 - [10203, 7804, 292] - HP: 93873, STR: 180684, VIT: 558, SPD: 24, LUK: 1, Attack: 270593, Defense: 90336, Current HP: 93873, A Avg: 284122, D Avg: 90336, [Spectral Sword Shigure[172, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 230]]
