Rank 38671: 1901 - [10534, 7069, 696] - HP: 61807, STR: 152074, VIT: 26270, SPD: 32, LUK: 2, Attack: 244260, Defense: 116048, Current HP: 61807, A Avg: 262579, D Avg: 116048, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 230, 330, 803]]
Rank 38671: 6038 - [11376, 4543, 2380] - HP: 63764, STR: 120682, VIT: 78040, SPD: 38, LUK: 1, Attack: 206495, Defense: 167818, Current HP: 63764, A Avg: 303547, D Avg: 167818, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 67, 807]]
Rank 38675: 8034 - [10689, 6608, 1002] - HP: 1577, STR: 128278, VIT: 77638, SPD: 32, LUK: 2, Attack: 220464, Defense: 165206, Current HP: 1577, A Avg: 242510, D Avg: 165206, [Big Bang[171, 230, 230, 230], Storm Wall[242, 230, 330, 330], Tears of the Dragon[307, 330, 803, 807]]
Rank 38678: 250 - [10684, 6626, 989] - HP: 140708, STR: 51246, VIT: 103062, SPD: 32, LUK: 1, Attack: 143432, Defense: 192840, Current HP: 140708, A Avg: 150603, D Avg: 192840, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 330]]
Rank 38679: 1611 - [10952, 5823, 1524] - HP: 92207, STR: 91274, VIT: 51870, SPD: 32, LUK: 2, Attack: 183460, Defense: 141648, Current HP: 92207, A Avg: 192633, D Avg: 169977, [Big Bang[171, 130, 130, 130], Blank Shield[244, 230, 230, 230], Tears of the Dragon[307, 330, 330, 806]]
Rank 38685: 2922 - [10747, 6444, 1108] - HP: 1218, STR: 129628, VIT: 77526, SPD: 32, LUK: 1, Attack: 219537, Defense: 167304, Current HP: 1218, A Avg: 236002, D Avg: 167304, [Spectral Sword Shigure[172, 230, 230, 230], Blank Shield[244, 230, 230, 330], Gold Ring[303, 330, 330, 803]]
Rank 38689: 6008 - [11382, 4543, 2374] - HP: 63764, STR: 120682, VIT: 78040, SPD: 38, LUK: 1, Attack: 206495, Defense: 167818, Current HP: 63764, A Avg: 309742, D Avg: 167818, [Spear of Regression[182, 130, 130, 230], Blank Shield[244, 230, 330, 330], Black Box[323, 330, 67, 68]]
Rank 38694: 5945 - [11084, 5442, 1773] - HP: 94308, STR: 83119, VIT: 51254, SPD: 32, LUK: 1, Attack: 175305, Defense: 139082, Current HP: 94308, A Avg: 184070, D Avg: 194714, [Big Bang[171, 130, 130, 230], Black Sword Breath[252, 230, 230, 330], Gold Ring[303, 330, 806, 807]]
Rank 38702: 2573 - [10432, 7406, 461] - HP: 48778, STR: 54619, VIT: 128830, SPD: 32, LUK: 1, Attack: 146805, Defense: 216398, Current HP: 48778, A Avg: 154145, D Avg: 259677, [Big Bang[171, 130, 230, 230], Storm Wall[242, 330, 330, 330], Gold Ring[303, 330, 330, 806]]
Rank 38710: 1820 - [10536, 7102, 661] - HP: 94308, STR: 153646, VIT: 662, SPD: 32, LUK: 1, Attack: 245832, Defense: 90440, Current HP: 94308, A Avg: 309748, D Avg: 90440, [Big Bang[171, 130, 130, 230], Blank Shield[244, 230, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 38710: 7997 - [10593, 6931, 775] - HP: 2233, STR: 102446, VIT: 82635, SPD: 32, LUK: 1, Attack: 194632, Defense: 169423, Current HP: 2233, A Avg: 267619, D Avg: 169423, [Big Bang[171, 230, 230, 230], Golem Shield[245, 230, 330, 330], Gold Ring[303, 330, 68, 803]]
Rank 38720: 1197 - [12048, 2576, 3675] - HP: 187833, STR: 102446, VIT: 1035, SPD: 32, LUK: 1, Attack: 194632, Defense: 87823, Current HP: 187833, A Avg: 204363, D Avg: 105387, [Big Bang[171, 130, 130, 130], Golem Shield[245, 130, 230, 230], Gold Ring[303, 230, 230, 806]]
Rank 38726: 1474 - [10492, 7250, 557] - HP: 92777, STR: 160278, VIT: 838, SPD: 32, LUK: 2, Attack: 252464, Defense: 88406, Current HP: 92777, A Avg: 315580, D Avg: 88406, [Big Bang[171, 130, 130, 130], Storm Wall[242, 230, 230, 230], Tears of the Dragon[307, 230, 230, 68]]
Rank 38741: 1160 - [11895, 3056, 3348] - HP: 187108, STR: 102446, VIT: 662, SPD: 32, LUK: 1, Attack: 194632, Defense: 90440, Current HP: 187108, A Avg: 245236, D Avg: 90440, [Big Bang[171, 130, 130, 130], Blank Shield[244, 130, 230, 230], Gold Ring[303, 230, 230, 67]]
Rank 38761: 13768 - [11772, 3445, 3082] - HP: 2964, STR: 120682, VIT: 103640, SPD: 38, LUK: 1, Attack: 206495, Defense: 193418, Current HP: 2964, A Avg: 309742, D Avg: 232101, [Spear of Regression[182, 230, 230, 330], Blank Shield[244, 330, 330, 330], Black Box[323, 67, 68, 806]]
