Rank 39844: 2472 - [11216, 6196, 887] - HP: 45296, STR: 133108, VIT: 138262, SPD: 56, LUK: 2, Attack: 220990, Defense: 226090, Current HP: 45296, A Avg: 232039, D Avg: 226090, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 730, 66]]
Rank 39844: 2522 - [11216, 6196, 887] - HP: 45296, STR: 133108, VIT: 138262, SPD: 56, LUK: 2, Attack: 220990, Defense: 226090, Current HP: 45296, A Avg: 232039, D Avg: 226090, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 730, 730, 807]]
Rank 39855: 494 - [11340, 5835, 1124] - HP: 5225, STR: 296254, VIT: 138790, SPD: 66, LUK: 1, Attack: 384136, Defense: 226618, Current HP: 5225, A Avg: 403342, D Avg: 226618, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 630, 730], Black Box[323, 730, 730, 730]]
Rank 39856: 7949 - [11259, 6079, 961] - HP: 1292, STR: 162894, VIT: 103990, SPD: 56, LUK: 2, Attack: 255080, Defense: 193768, Current HP: 1292, A Avg: 267834, D Avg: 193768, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 730, 730], Tears of the Dragon[307, 730, 66, 807]]
Rank 39861: 2025 - [11140, 6441, 718] - HP: 83315, STR: 144575, VIT: 169499, SPD: 56, LUK: 1, Attack: 234484, Defense: 259277, Current HP: 83315, A Avg: 252070, D Avg: 259277, [Spectral Sword Shigure[172, 530, 530, 630], Blank Shield[244, 630, 630, 730], Obsidian Ring[320, 730, 730, 803]]
Rank 39861: 5941 - [11313, 5922, 1064] - HP: 85804, STR: 276645, VIT: 70220, SPD: 56, LUK: 1, Attack: 362458, Defense: 159998, Current HP: 85804, A Avg: 380580, D Avg: 223997, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 630, 730], Mobius Ring[316, 730, 806, 807]]
Rank 39868: 1250 - [11400, 5668, 1231] - HP: 167751, STR: 238276, VIT: 36352, SPD: 66, LUK: 1, Attack: 324089, Defense: 126130, Current HP: 167751, A Avg: 340293, D Avg: 151356, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 530, 630, 630], Black Box[323, 630, 730, 806]]
Rank 39869: 391 - [11404, 5657, 1238] - HP: 45106, STR: 456573, VIT: 104492, SPD: 56, LUK: 1, Attack: 542386, Defense: 194270, Current HP: 45106, A Avg: 569505, D Avg: 194270, [Spear of Regression[182, 530, 630, 630], Blank Shield[244, 630, 630, 630], Mobius Ring[316, 730, 730, 730]]
Rank 39869: 1977 - [11319, 5912, 1068] - HP: 95276, STR: 255391, VIT: 78598, SPD: 63, LUK: 1, Attack: 343273, Defense: 166426, Current HP: 95276, A Avg: 360436, D Avg: 199711, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Seal of the High King[319, 730, 730, 806]]
Rank 39870: 13382 - [11454, 5508, 1337] - HP: 4598, STR: 175948, VIT: 69718, SPD: 56, LUK: 2, Attack: 263830, Defense: 157546, Current HP: 4598, A Avg: 340340, D Avg: 189055, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 67, 803, 806]]
Rank 39876: 1553 - [12251, 3123, 2925] - HP: 188297, STR: 137158, VIT: 35438, SPD: 56, LUK: 1, Attack: 229344, Defense: 125216, Current HP: 188297, A Avg: 240811, D Avg: 150259, [Big Bang[171, 530, 530, 530], Blank Shield[244, 630, 630, 630], Gold Ring[303, 630, 730, 806]]
Rank 39876: 1975 - [11230, 6186, 883] - HP: 83315, STR: 191699, VIT: 113807, SPD: 56, LUK: 1, Attack: 281608, Defense: 203585, Current HP: 83315, A Avg: 295688, D Avg: 244302, [Spectral Sword Shigure[172, 530, 530, 630], Blank Shield[244, 630, 630, 630], Obsidian Ring[320, 730, 730, 806]]
Rank 39881: 13072 - [11467, 5480, 1352] - HP: 4598, STR: 218788, VIT: 35446, SPD: 56, LUK: 2, Attack: 306670, Defense: 123274, Current HP: 4598, A Avg: 386404, D Avg: 147928, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 630, 730], Tears of the Dragon[307, 66, 67, 806]]
Rank 39891: 385 - [11370, 5781, 1148] - HP: 42617, STR: 285947, VIT: 113807, SPD: 56, LUK: 1, Attack: 375856, Defense: 203585, Current HP: 42617, A Avg: 394648, D Avg: 203585, [Spectral Sword Shigure[172, 530, 630, 630], Blank Shield[244, 630, 630, 630], Obsidian Ring[320, 630, 730, 730]]
Rank 39895: 11779 - [11883, 4246, 2170] - HP: 41990, STR: 203592, VIT: 1174, SPD: 56, LUK: 2, Attack: 295778, Defense: 90952, Current HP: 41990, A Avg: 600429, D Avg: 90952, [Big Bang[171, 530, 630, 630], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 67, 68, 807]]
Rank 39901: 5573 - [12368, 2797, 3134] - HP: 126179, STR: 171430, VIT: 1166, SPD: 56, LUK: 1, Attack: 263616, Defense: 90944, Current HP: 126179, A Avg: 332156, D Avg: 109132, [Big Bang[171, 530, 530, 630], Blank Shield[244, 630, 630, 630], Gold Ring[303, 630, 67, 806]]
Rank 39911: 1631 - [11262, 6125, 912] - HP: 126502, STR: 186681, VIT: 104492, SPD: 56, LUK: 1, Attack: 272494, Defense: 194270, Current HP: 126502, A Avg: 286118, D Avg: 194270, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 730], Mobius Ring[316, 730, 730, 66]]
Rank 39911: 1681 - [11262, 6125, 912] - HP: 126502, STR: 186681, VIT: 104492, SPD: 56, LUK: 1, Attack: 272494, Defense: 194270, Current HP: 126502, A Avg: 286118, D Avg: 194270, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 730], Mobius Ring[316, 730, 730, 807]]
Rank 39912: 2017 - [11247, 6171, 881] - HP: 95276, STR: 193273, VIT: 117154, SPD: 63, LUK: 1, Attack: 281155, Defense: 204982, Current HP: 95276, A Avg: 351443, D Avg: 204982, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Seal of the High King[319, 730, 730, 68]]
Rank 39920: 11712 - [11815, 4475, 2009] - HP: 45296, STR: 218788, VIT: 1174, SPD: 56, LUK: 2, Attack: 306670, Defense: 89002, Current HP: 45296, A Avg: 444671, D Avg: 89002, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 66, 68, 807]]
Rank 39932: 2007 - [11255, 6167, 877] - HP: 95276, STR: 193273, VIT: 117154, SPD: 63, LUK: 1, Attack: 281155, Defense: 204982, Current HP: 95276, A Avg: 354255, D Avg: 204982, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Seal of the High King[319, 730, 730, 67]]
Rank 39932: 2417 - [11397, 5741, 1161] - HP: 50294, STR: 255391, VIT: 117154, SPD: 63, LUK: 1, Attack: 343273, Defense: 204982, Current HP: 50294, A Avg: 360436, D Avg: 204982, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Seal of the High King[319, 730, 730, 66]]
Rank 39932: 2467 - [11397, 5741, 1161] - HP: 50294, STR: 255391, VIT: 117154, SPD: 63, LUK: 1, Attack: 343273, Defense: 204982, Current HP: 50294, A Avg: 360436, D Avg: 204982, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Seal of the High King[319, 730, 730, 807]]
Rank 39934: 5569 - [11979, 3997, 2323] - HP: 82688, STR: 203592, VIT: 1174, SPD: 56, LUK: 2, Attack: 295778, Defense: 90952, Current HP: 82688, A Avg: 381553, D Avg: 90952, [Big Bang[171, 530, 530, 630], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 630, 67, 803]]
Rank 39936: 7939 - [11279, 6099, 921] - HP: 1292, STR: 162894, VIT: 103990, SPD: 56, LUK: 2, Attack: 255080, Defense: 193768, Current HP: 1292, A Avg: 267834, D Avg: 232521, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 730, 730], Tears of the Dragon[307, 730, 66, 806]]
Rank 39941: 12979 - [11428, 5657, 1214] - HP: 1292, STR: 244290, VIT: 1174, SPD: 56, LUK: 2, Attack: 336476, Defense: 90952, Current HP: 1292, A Avg: 683046, D Avg: 90952, [Big Bang[171, 630, 630, 630], Blank Shield[244, 630, 630, 630], Tears of the Dragon[307, 67, 68, 807]]
Rank 39943: 2447 - [11401, 5740, 1158] - HP: 50294, STR: 255391, VIT: 117154, SPD: 63, LUK: 1, Attack: 343273, Defense: 204982, Current HP: 50294, A Avg: 369018, D Avg: 204982, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 630, 730], Seal of the High King[319, 730, 730, 803]]
Rank 39947: 1661 - [11272, 6131, 896] - HP: 126502, STR: 186681, VIT: 104492, SPD: 56, LUK: 1, Attack: 272494, Defense: 194270, Current HP: 126502, A Avg: 292931, D Avg: 194270, [Spear of Regression[182, 530, 530, 530], Blank Shield[244, 630, 630, 730], Mobius Ring[316, 730, 730, 803]]
