Rank 38312: 7905 - [10289, 7445, 565] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 440461, D Avg: 306472, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 66, 67]]
Rank 38312: 7935 - [10357, 7241, 701] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 367051, D Avg: 367766, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 66, 806]]
Rank 38314: 10724 - [11627, 3433, 3239] - HP: 111264, STR: 227568, VIT: 1510, SPD: 72, LUK: 2, Attack: 315450, Defense: 89338, Current HP: 111264, A Avg: 339108, D Avg: 107205, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Tears of the Dragon[307, 66, 803, 806]]
Rank 38321: 16014 - [11546, 3683, 3070] - HP: 58596, STR: 172128, VIT: 45862, SPD: 72, LUK: 2, Attack: 260010, Defense: 133690, Current HP: 58596, A Avg: 691626, D Avg: 133690, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 67], Tears of the Dragon[307, 68, 803, 807]]
Rank 38326: 12154 - [11069, 5119, 2111] - HP: 58596, STR: 172128, VIT: 90214, SPD: 72, LUK: 2, Attack: 260010, Defense: 178042, Current HP: 58596, A Avg: 429016, D Avg: 178042, [Wild Card[175, 530, 630, 630], Black Sword Breath[252, 630, 730, 730], Tears of the Dragon[307, 67, 68, 803]]
Rank 38328: 1955 - [10286, 7470, 543] - HP: 111245, STR: 261691, VIT: 146572, SPD: 72, LUK: 1, Attack: 349573, Defense: 234400, Current HP: 111245, A Avg: 436966, D Avg: 234400, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Silver Ring[302, 730, 730, 68]]
Rank 38331: 7965 - [10290, 7461, 548] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 450949, D Avg: 306472, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 67, 803]]
Rank 38333: 5942 - [10314, 7391, 594] - HP: 111625, STR: 307288, VIT: 91344, SPD: 85, LUK: 1, Attack: 393101, Defense: 181122, Current HP: 111625, A Avg: 412756, D Avg: 253570, [Spear of Regression[182, 530, 530, 630], Blank Shield[244, 630, 630, 730], Black Box[323, 730, 806, 807]]
Rank 38334: 331 - [10308, 7410, 581] - HP: 123206, STR: 169551, VIT: 251398, SPD: 81, LUK: 1, Attack: 257433, Defense: 339226, Current HP: 123206, A Avg: 270304, D Avg: 339226, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 730, 730], Seal of the High King[319, 730, 730, 730]]
Rank 38335: 8023 - [10347, 7294, 658] - HP: 4161, STR: 262356, VIT: 219902, SPD: 72, LUK: 1, Attack: 350184, Defense: 307730, Current HP: 4161, A Avg: 376447, D Avg: 369276, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 803, 806]]
Rank 38336: 8045 - [10369, 7229, 701] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 367051, D Avg: 429060, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 806, 807]]
Rank 38338: 5894 - [11112, 5002, 2185] - HP: 111264, STR: 172128, VIT: 90214, SPD: 72, LUK: 2, Attack: 260010, Defense: 178042, Current HP: 111264, A Avg: 357513, D Avg: 178042, [Wild Card[175, 530, 530, 630], Black Sword Breath[252, 630, 630, 730], Tears of the Dragon[307, 730, 68, 803]]
Rank 38342: 1943 - [10286, 7484, 529] - HP: 109497, STR: 262356, VIT: 147830, SPD: 72, LUK: 1, Attack: 350184, Defense: 235658, Current HP: 109497, A Avg: 441231, D Avg: 235658, [Stargazer[183, 530, 530, 630], Black Sword Breath[252, 630, 630, 630], Obsidian Ring[320, 730, 730, 67]]
Rank 38342: 8043 - [10369, 7235, 695] - HP: 4161, STR: 262356, VIT: 219902, SPD: 72, LUK: 1, Attack: 350184, Defense: 307730, Current HP: 4161, A Avg: 367693, D Avg: 430822, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 806, 807]]
Rank 38347: 7993 - [10276, 7519, 504] - HP: 4161, STR: 262356, VIT: 219902, SPD: 72, LUK: 1, Attack: 350184, Defense: 307730, Current HP: 4161, A Avg: 481503, D Avg: 307730, [Stargazer[183, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Obsidian Ring[320, 730, 68, 803]]
Rank 38351: 8025 - [10359, 7274, 666] - HP: 5909, STR: 261691, VIT: 218644, SPD: 72, LUK: 1, Attack: 349573, Defense: 306472, Current HP: 5909, A Avg: 375790, D Avg: 367766, [Wild Card[175, 630, 630, 630], Black Sword Breath[252, 630, 730, 730], Silver Ring[302, 730, 803, 806]]
