Rank 1000: HP: 460, STR: 240, VIT: 272, SPD: 1, LUK: 1, Attack: 86729, Defense: 84148, Current HP: 460, A Avg: 109278, D Avg: 84148, [Cuttlefish(178)[0, 0, 0], Magic Shield(207)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 999: HP: 462, STR: 240, VIT: 270, SPD: 1, LUK: 1, Attack: 86729, Defense: 84107, Current HP: 462, A Avg: 109278, D Avg: 84107, [Cuttlefish(178)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 998: HP: 529, STR: 240, VIT: 272, SPD: 1, LUK: 1, Attack: 86729, Defense: 84044, Current HP: 529, A Avg: 109278, D Avg: 84044, [Cuttlefish(178)[0, 0, 0], Clear Shield(211)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 997: HP: 575, STR: 240, VIT: 272, SPD: 1, LUK: 1, Attack: 86729, Defense: 84291, Current HP: 575, A Avg: 109278, D Avg: 84291, [Cuttlefish(178)[0, 0, 0], Prism Shield(212)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 996: HP: 528, STR: 240, VIT: 283, SPD: 1, LUK: 1, Attack: 86729, Defense: 84211, Current HP: 528, A Avg: 109278, D Avg: 84211, [Cuttlefish(178)[0, 0, 0], Tower Shield(213)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 995: HP: 575, STR: 240, VIT: 285, SPD: 1, LUK: 1, Attack: 86729, Defense: 84847, Current HP: 575, A Avg: 109278, D Avg: 84847, [Cuttlefish(178)[0, 0, 0], Slime Shield(221)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 994: HP: 484, STR: 240, VIT: 270, SPD: 1, LUK: 1, Attack: 86729, Defense: 84198, Current HP: 484, A Avg: 109278, D Avg: 84198, [Cuttlefish(178)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 993: HP: 460, STR: 240, VIT: 649, SPD: 1, LUK: 1, Attack: 86729, Defense: 87437, Current HP: 460, A Avg: 109278, D Avg: 87437, [Cuttlefish(178)[0, 0, 0], Energy Shield(227)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 992: HP: 484, STR: 240, VIT: 337, SPD: 1, LUK: 1, Attack: 86729, Defense: 84928, Current HP: 484, A Avg: 109278, D Avg: 84928, [Cuttlefish(178)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 991: HP: 484, STR: 240, VIT: 337, SPD: 1, LUK: 1, Attack: 86729, Defense: 87255, Current HP: 484, A Avg: 109278, D Avg: 87255, [Cuttlefish(178)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 990: HP: 1540, STR: 240, VIT: 270, SPD: 1, LUK: 1, Attack: 86729, Defense: 86187, Current HP: 1540, A Avg: 109278, D Avg: 86187, [Cuttlefish(178)[0, 0, 0], Frying Pan(231)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 989: HP: 736, STR: 240, VIT: 311, SPD: 1, LUK: 1, Attack: 86729, Defense: 85045, Current HP: 736, A Avg: 109278, D Avg: 85045, [Cuttlefish(178)[0, 0, 0], Slafield(232)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 988: HP: 621, STR: 240, VIT: 285, SPD: 1, LUK: 1, Attack: 86729, Defense: 85760, Current HP: 621, A Avg: 109278, D Avg: 85760, [Cuttlefish(178)[0, 0, 0], Mist Shield(233)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 987: HP: 660, STR: 240, VIT: 270, SPD: 1, LUK: 1, Attack: 86729, Defense: 85238, Current HP: 660, A Avg: 109278, D Avg: 85238, [Cuttlefish(178)[0, 0, 0], Huge Shield(234)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 986: HP: 572, STR: 240, VIT: 441, SPD: 1, LUK: 1, Attack: 86729, Defense: 87281, Current HP: 572, A Avg: 109278, D Avg: 87281, [Cuttlefish(178)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 985: HP: 460, STR: 240, VIT: 259, SPD: 1, LUK: 1, Attack: 86729, Defense: 87684, Current HP: 460, A Avg: 109278, D Avg: 87684, [Cuttlefish(178)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 984: HP: 440, STR: 240, VIT: 259, SPD: 1, LUK: 1, Attack: 86729, Defense: 87048, Current HP: 440, A Avg: 109278, D Avg: 87048, [Cuttlefish(178)[0, 0, 0], Graffiti(243)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 983: HP: 440, STR: 240, VIT: 259, SPD: 1, LUK: 1, Attack: 86729, Defense: 90037, Current HP: 440, A Avg: 109278, D Avg: 90037, [Cuttlefish(178)[0, 0, 0], Blank Shield(244)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 982: HP: 990, STR: 240, VIT: 540, SPD: 1, LUK: 1, Attack: 86729, Defense: 87328, Current HP: 990, A Avg: 109278, D Avg: 87328, [Cuttlefish(178)[0, 0, 0], Golem Shield(245)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 981: HP: 770, STR: 240, VIT: 285, SPD: 1, LUK: 1, Attack: 86729, Defense: 86163, Current HP: 770, A Avg: 109278, D Avg: 86163, [Cuttlefish(178)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 980: HP: 704, STR: 240, VIT: 405, SPD: 1, LUK: 1, Attack: 86729, Defense: 86621, Current HP: 704, A Avg: 109278, D Avg: 86621, [Cuttlefish(178)[0, 0, 0], King Shield(248)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 979: HP: 920, STR: 240, VIT: 779, SPD: 1, LUK: 1, Attack: 86729, Defense: 87814, Current HP: 920, A Avg: 109278, D Avg: 87814, [Cuttlefish(178)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 978: HP: 460, STR: 240, VIT: 259, SPD: 1, LUK: 1, Attack: 86729, Defense: 87307, Current HP: 460, A Avg: 109278, D Avg: 87307, [Cuttlefish(178)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 977: HP: 469, STR: 246, VIT: 270, SPD: 1, LUK: 1, Attack: 86735, Defense: 85888, Current HP: 469, A Avg: 109286, D Avg: 85888, [Cuttlefish(178)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 976: HP: 220, STR: 391, VIT: 77, SPD: 1, LUK: 1, Attack: 86737, Defense: 87905, Current HP: 220, A Avg: 109288, D Avg: 87905, [Progress(147)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
