Rank 1000: HP: 748, STR: 323, VIT: 540, SPD: 8, LUK: 1, Attack: 86812, Defense: 85508, Current HP: 748, A Avg: 109383, D Avg: 85508, [Cuttlefish(178)[0, 0, 0], Huge Shield(234)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 999: HP: 660, STR: 323, VIT: 701, SPD: 8, LUK: 1, Attack: 86812, Defense: 87541, Current HP: 660, A Avg: 109383, D Avg: 87541, [Cuttlefish(178)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 998: HP: 690, STR: 323, VIT: 509, SPD: 8, LUK: 1, Attack: 86812, Defense: 87934, Current HP: 690, A Avg: 109383, D Avg: 87934, [Cuttlefish(178)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 997: HP: 528, STR: 323, VIT: 415, SPD: 8, LUK: 1, Attack: 86812, Defense: 87204, Current HP: 528, A Avg: 109383, D Avg: 87204, [Cuttlefish(178)[0, 0, 0], Graffiti(243)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 996: HP: 528, STR: 323, VIT: 623, SPD: 8, LUK: 1, Attack: 86812, Defense: 90401, Current HP: 528, A Avg: 109383, D Avg: 90401, [Cuttlefish(178)[0, 0, 0], Blank Shield(244)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 995: HP: 1078, STR: 323, VIT: 972, SPD: 8, LUK: 1, Attack: 86812, Defense: 87760, Current HP: 1078, A Avg: 109383, D Avg: 87760, [Cuttlefish(178)[0, 0, 0], Golem Shield(245)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 994: HP: 858, STR: 323, VIT: 525, SPD: 8, LUK: 1, Attack: 86812, Defense: 86403, Current HP: 858, A Avg: 109383, D Avg: 86403, [Cuttlefish(178)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 993: HP: 897, STR: 323, VIT: 631, SPD: 8, LUK: 1, Attack: 86812, Defense: 86847, Current HP: 897, A Avg: 109383, D Avg: 86847, [Cuttlefish(178)[0, 0, 0], King Shield(248)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 992: HP: 1012, STR: 323, VIT: 977, SPD: 8, LUK: 1, Attack: 86812, Defense: 88012, Current HP: 1012, A Avg: 109383, D Avg: 88012, [Cuttlefish(178)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 991: HP: 552, STR: 323, VIT: 540, SPD: 8, LUK: 1, Attack: 86812, Defense: 87588, Current HP: 552, A Avg: 109383, D Avg: 87588, [Cuttlefish(178)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 990: HP: 160, STR: 982, VIT: 163, SPD: 9, LUK: 1, Attack: 87510, Defense: 84299, Current HP: 160, A Avg: 109387, D Avg: 84299, [Moon Knuckle(153)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
