Rank 1000: HP: 414, STR: 224, VIT: 566, SPD: 16, LUK: 1, Attack: 86752, Defense: 87614, Current HP: 414, A Avg: 109307, D Avg: 87614, [Moon Knuckle(153)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 999: HP: 620, STR: 1900, VIT: 470, SPD: 18, LUK: 1, Attack: 87453, Defense: 87258, Current HP: 620, A Avg: 109316, D Avg: 87258, [Hammer of Justice(186)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 998: HP: 840, STR: 1217, VIT: 117, SPD: 18, LUK: 1, Attack: 87459, Defense: 84461, Current HP: 840, A Avg: 109323, D Avg: 84461, [Droid Hammer(177)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 997: HP: 418, STR: 238, VIT: 345, SPD: 16, LUK: 1, Attack: 86766, Defense: 84351, Current HP: 418, A Avg: 109325, D Avg: 84351, [Moon Knuckle(153)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 996: HP: 396, STR: 238, VIT: 1455, SPD: 16, LUK: 1, Attack: 86766, Defense: 87125, Current HP: 396, A Avg: 109325, D Avg: 87125, [Moon Knuckle(153)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 995: HP: 374, STR: 1123, VIT: 566, SPD: 16, LUK: 1, Attack: 86767, Defense: 88394, Current HP: 374, A Avg: 109326, D Avg: 88394, [Portal Sword(176)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 994: HP: 1000, STR: 1779, VIT: 117, SPD: 18, LUK: 1, Attack: 87462, Defense: 86905, Current HP: 1000, A Avg: 109327, D Avg: 86905, [Dancing(155)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 993: HP: 543, STR: 240, VIT: 383, SPD: 16, LUK: 1, Attack: 86768, Defense: 84324, Current HP: 543, A Avg: 109327, D Avg: 84324, [Moon Knuckle(153)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 992: HP: 520, STR: 977, VIT: 595, SPD: 17, LUK: 1, Attack: 87466, Defense: 85186, Current HP: 520, A Avg: 109332, D Avg: 85186, [Cuttlefish(178)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 991: HP: 610, STR: 977, VIT: 610, SPD: 17, LUK: 1, Attack: 87466, Defense: 87528, Current HP: 610, A Avg: 109332, D Avg: 87528, [Cuttlefish(178)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 990: HP: 899, STR: 1024, VIT: 179, SPD: 17, LUK: 1, Attack: 86772, Defense: 86967, Current HP: 899, A Avg: 109332, D Avg: 86967, [Scythe of the Grim Reaper(148)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
