Rank 1000: HP: 760, STR: 1220, VIT: 788, SPD: 25, LUK: 1, Attack: 87709, Defense: 87706, Current HP: 760, A Avg: 109636, D Avg: 87706, [Cuttlefish(178)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 999: HP: 664, STR: 491, VIT: 514, SPD: 24, LUK: 1, Attack: 87019, Defense: 84520, Current HP: 664, A Avg: 109643, D Avg: 84520, [Moon Knuckle(153)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 998: HP: 782, STR: 531, VIT: 805, SPD: 24, LUK: 1, Attack: 87020, Defense: 84528, Current HP: 782, A Avg: 109645, D Avg: 84528, [Cuttlefish(178)[0, 0, 0], Pot Lid(201)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 997: HP: 782, STR: 531, VIT: 805, SPD: 24, LUK: 1, Attack: 87020, Defense: 84538, Current HP: 782, A Avg: 109645, D Avg: 84538, [Cuttlefish(178)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 996: HP: 748, STR: 531, VIT: 850, SPD: 24, LUK: 1, Attack: 87020, Defense: 84719, Current HP: 748, A Avg: 109645, D Avg: 84719, [Cuttlefish(178)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 995: HP: 748, STR: 531, VIT: 858, SPD: 24, LUK: 1, Attack: 87020, Defense: 84662, Current HP: 748, A Avg: 109645, D Avg: 84662, [Cuttlefish(178)[0, 0, 0], Iron Shield(204)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 994: HP: 748, STR: 531, VIT: 874, SPD: 24, LUK: 1, Attack: 87020, Defense: 84737, Current HP: 748, A Avg: 109645, D Avg: 84737, [Cuttlefish(178)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 993: HP: 748, STR: 531, VIT: 901, SPD: 24, LUK: 1, Attack: 87020, Defense: 84790, Current HP: 748, A Avg: 109645, D Avg: 84790, [Cuttlefish(178)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 992: HP: 782, STR: 531, VIT: 891, SPD: 24, LUK: 1, Attack: 87020, Defense: 84767, Current HP: 782, A Avg: 109645, D Avg: 84767, [Cuttlefish(178)[0, 0, 0], Magic Shield(207)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 991: HP: 924, STR: 531, VIT: 950, SPD: 24, LUK: 1, Attack: 87020, Defense: 84787, Current HP: 924, A Avg: 109645, D Avg: 84787, [Cuttlefish(178)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 990: HP: 851, STR: 531, VIT: 855, SPD: 24, LUK: 1, Attack: 87020, Defense: 84627, Current HP: 851, A Avg: 109645, D Avg: 84627, [Cuttlefish(178)[0, 0, 0], Clear Shield(211)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 989: HP: 897, STR: 531, VIT: 891, SPD: 24, LUK: 1, Attack: 87020, Defense: 84910, Current HP: 897, A Avg: 109645, D Avg: 84910, [Cuttlefish(178)[0, 0, 0], Prism Shield(212)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 988: HP: 836, STR: 531, VIT: 888, SPD: 24, LUK: 1, Attack: 87020, Defense: 84816, Current HP: 836, A Avg: 109645, D Avg: 84816, [Cuttlefish(178)[0, 0, 0], Tower Shield(213)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 987: HP: 1122, STR: 531, VIT: 1013, SPD: 24, LUK: 1, Attack: 87020, Defense: 85575, Current HP: 1122, A Avg: 109645, D Avg: 85575, [Cuttlefish(178)[0, 0, 0], Slime Shield(221)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 986: HP: 1038, STR: 531, VIT: 874, SPD: 24, LUK: 1, Attack: 87020, Defense: 84802, Current HP: 1038, A Avg: 109645, D Avg: 84802, [Cuttlefish(178)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 985: HP: 782, STR: 531, VIT: 1450, SPD: 24, LUK: 1, Attack: 87020, Defense: 88238, Current HP: 782, A Avg: 109645, D Avg: 88238, [Cuttlefish(178)[0, 0, 0], Energy Shield(227)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 984: HP: 2310, STR: 531, VIT: 837, SPD: 24, LUK: 1, Attack: 87020, Defense: 86754, Current HP: 2310, A Avg: 109645, D Avg: 86754, [Cuttlefish(178)[0, 0, 0], Frying Pan(231)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 983: HP: 1315, STR: 531, VIT: 1076, SPD: 24, LUK: 1, Attack: 87020, Defense: 85810, Current HP: 1315, A Avg: 109645, D Avg: 85810, [Cuttlefish(178)[0, 0, 0], Slafield(232)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 982: HP: 1104, STR: 531, VIT: 1013, SPD: 24, LUK: 1, Attack: 87020, Defense: 86488, Current HP: 1104, A Avg: 109645, D Avg: 86488, [Cuttlefish(178)[0, 0, 0], Mist Shield(233)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 981: HP: 968, STR: 531, VIT: 1215, SPD: 24, LUK: 1, Attack: 87020, Defense: 86183, Current HP: 968, A Avg: 109645, D Avg: 86183, [Cuttlefish(178)[0, 0, 0], Huge Shield(234)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 980: HP: 880, STR: 531, VIT: 1351, SPD: 24, LUK: 1, Attack: 87020, Defense: 88191, Current HP: 880, A Avg: 109645, D Avg: 88191, [Cuttlefish(178)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 979: HP: 1265, STR: 531, VIT: 1133, SPD: 24, LUK: 1, Attack: 87020, Defense: 88558, Current HP: 1265, A Avg: 109645, D Avg: 88558, [Cuttlefish(178)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 978: HP: 748, STR: 531, VIT: 805, SPD: 24, LUK: 1, Attack: 87020, Defense: 87594, Current HP: 748, A Avg: 109645, D Avg: 87594, [Cuttlefish(178)[0, 0, 0], Graffiti(243)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 977: HP: 748, STR: 531, VIT: 1533, SPD: 24, LUK: 1, Attack: 87020, Defense: 91311, Current HP: 748, A Avg: 109645, D Avg: 91311, [Cuttlefish(178)[0, 0, 0], Blank Shield(244)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
