Rank 1000: HP: 440, STR: 2035, VIT: 424, SPD: 34, LUK: 1, Attack: 87913, Defense: 84293, Current HP: 440, A Avg: 109891, D Avg: 84293, [Blue Sword(180)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 999: HP: 440, STR: 2035, VIT: 430, SPD: 34, LUK: 1, Attack: 87913, Defense: 84234, Current HP: 440, A Avg: 109891, D Avg: 84234, [Blue Sword(180)[0, 0, 0], Iron Shield(204)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 998: HP: 440, STR: 2035, VIT: 450, SPD: 34, LUK: 1, Attack: 87913, Defense: 84313, Current HP: 440, A Avg: 109891, D Avg: 84313, [Blue Sword(180)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 997: HP: 440, STR: 2035, VIT: 468, SPD: 34, LUK: 1, Attack: 87913, Defense: 84357, Current HP: 440, A Avg: 109891, D Avg: 84357, [Blue Sword(180)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 996: HP: 462, STR: 2035, VIT: 465, SPD: 34, LUK: 1, Attack: 87913, Defense: 84341, Current HP: 462, A Avg: 109891, D Avg: 84341, [Blue Sword(180)[0, 0, 0], Magic Shield(207)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 995: HP: 650, STR: 2035, VIT: 518, SPD: 34, LUK: 1, Attack: 87913, Defense: 84355, Current HP: 650, A Avg: 109891, D Avg: 84355, [Blue Sword(180)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 994: HP: 525, STR: 2035, VIT: 433, SPD: 34, LUK: 1, Attack: 87913, Defense: 84205, Current HP: 525, A Avg: 109891, D Avg: 84205, [Blue Sword(180)[0, 0, 0], Clear Shield(211)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 993: HP: 567, STR: 2035, VIT: 465, SPD: 34, LUK: 1, Attack: 87913, Defense: 84484, Current HP: 567, A Avg: 109891, D Avg: 84484, [Blue Sword(180)[0, 0, 0], Prism Shield(212)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 992: HP: 520, STR: 2035, VIT: 459, SPD: 34, LUK: 1, Attack: 87913, Defense: 84387, Current HP: 520, A Avg: 109891, D Avg: 84387, [Blue Sword(180)[0, 0, 0], Tower Shield(213)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 991: HP: 846, STR: 2035, VIT: 571, SPD: 34, LUK: 1, Attack: 87913, Defense: 85133, Current HP: 846, A Avg: 109891, D Avg: 85133, [Blue Sword(180)[0, 0, 0], Slime Shield(221)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 990: HP: 784, STR: 2035, VIT: 450, SPD: 34, LUK: 1, Attack: 87913, Defense: 84378, Current HP: 784, A Avg: 109891, D Avg: 84378, [Blue Sword(180)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 989: HP: 462, STR: 2035, VIT: 873, SPD: 34, LUK: 1, Attack: 87913, Defense: 87661, Current HP: 462, A Avg: 109891, D Avg: 87661, [Blue Sword(180)[0, 0, 0], Energy Shield(227)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 988: HP: 2010, STR: 2035, VIT: 415, SPD: 34, LUK: 1, Attack: 87913, Defense: 86332, Current HP: 2010, A Avg: 109891, D Avg: 86332, [Blue Sword(180)[0, 0, 0], Frying Pan(231)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 987: HP: 808, STR: 2035, VIT: 571, SPD: 34, LUK: 1, Attack: 87913, Defense: 86046, Current HP: 808, A Avg: 109891, D Avg: 86046, [Blue Sword(180)[0, 0, 0], Mist Shield(233)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 986: HP: 640, STR: 2035, VIT: 757, SPD: 34, LUK: 1, Attack: 87913, Defense: 85725, Current HP: 640, A Avg: 109891, D Avg: 85725, [Blue Sword(180)[0, 0, 0], Huge Shield(234)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 985: HP: 560, STR: 2035, VIT: 834, SPD: 34, LUK: 1, Attack: 87913, Defense: 87674, Current HP: 560, A Avg: 109891, D Avg: 87674, [Blue Sword(180)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 984: HP: 1060, STR: 2035, VIT: 683, SPD: 34, LUK: 1, Attack: 87913, Defense: 88108, Current HP: 1060, A Avg: 109891, D Avg: 88108, [Blue Sword(180)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 983: HP: 440, STR: 2035, VIT: 392, SPD: 34, LUK: 1, Attack: 87913, Defense: 87181, Current HP: 440, A Avg: 109891, D Avg: 87181, [Blue Sword(180)[0, 0, 0], Graffiti(243)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 982: HP: 440, STR: 2035, VIT: 1038, SPD: 34, LUK: 1, Attack: 87913, Defense: 90816, Current HP: 440, A Avg: 109891, D Avg: 90816, [Blue Sword(180)[0, 0, 0], Blank Shield(244)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 981: HP: 940, STR: 2035, VIT: 1450, SPD: 34, LUK: 1, Attack: 87913, Defense: 88238, Current HP: 940, A Avg: 109891, D Avg: 88238, [Blue Sword(180)[0, 0, 0], Golem Shield(245)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 980: HP: 740, STR: 2035, VIT: 668, SPD: 36, LUK: 1, Attack: 87913, Defense: 86546, Current HP: 740, A Avg: 109891, D Avg: 86546, [Blue Sword(180)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 979: HP: 1136, STR: 2035, VIT: 711, SPD: 34, LUK: 1, Attack: 87913, Defense: 86927, Current HP: 1136, A Avg: 109891, D Avg: 86927, [Blue Sword(180)[0, 0, 0], King Shield(248)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 978: HP: 882, STR: 2035, VIT: 861, SPD: 34, LUK: 1, Attack: 87913, Defense: 87896, Current HP: 882, A Avg: 109891, D Avg: 87896, [Blue Sword(180)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 977: HP: 462, STR: 2035, VIT: 780, SPD: 34, LUK: 1, Attack: 87913, Defense: 87828, Current HP: 462, A Avg: 109891, D Avg: 87828, [Blue Sword(180)[0, 0, 0], Ghost shield(251)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 976: HP: 638, STR: 1339, VIT: 920, SPD: 32, LUK: 1, Attack: 87217, Defense: 85511, Current HP: 638, A Avg: 109893, D Avg: 85511, [Blue Sword(180)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 975: HP: 847, STR: 1339, VIT: 969, SPD: 32, LUK: 1, Attack: 87217, Defense: 87887, Current HP: 847, A Avg: 109893, D Avg: 87887, [Blue Sword(180)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 974: HP: 1020, STR: 3129, VIT: 521, SPD: 36, LUK: 1, Attack: 87917, Defense: 87309, Current HP: 1020, A Avg: 109896, D Avg: 87309, [Pulse Knife(165)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 973: HP: 1177, STR: 736, VIT: 1611, SPD: 32, LUK: 1, Attack: 87225, Defense: 88412, Current HP: 1177, A Avg: 109903, D Avg: 88412, [Cuttlefish(178)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 972: HP: 556, STR: 876, VIT: 207, SPD: 34, LUK: 1, Attack: 87927, Defense: 84707, Current HP: 556, A Avg: 109908, D Avg: 84707, [Tekken(188)[0, 0, 0], Hard Wings of Beast(222)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 971: HP: 700, STR: 1442, VIT: 731, SPD: 34, LUK: 1, Attack: 87931, Defense: 84594, Current HP: 700, A Avg: 109913, D Avg: 84594, [Cuttlefish(178)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 970: HP: 709, STR: 880, VIT: 334, SPD: 34, LUK: 1, Attack: 87931, Defense: 85952, Current HP: 709, A Avg: 109913, D Avg: 85952, [Tekken(188)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 969: HP: 592, STR: 882, VIT: 489, SPD: 34, LUK: 1, Attack: 87933, Defense: 85327, Current HP: 592, A Avg: 109916, D Avg: 85327, [Tekken(188)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 968: HP: 440, STR: 3284, VIT: 134, SPD: 34, LUK: 1, Attack: 87940, Defense: 87962, Current HP: 440, A Avg: 109925, D Avg: 87962, [Penetra(161)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 967: HP: 634, STR: 2062, VIT: 527, SPD: 34, LUK: 1, Attack: 87940, Defense: 84468, Current HP: 634, A Avg: 109925, D Avg: 84468, [Blue Sword(180)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 1170, STR: 2615, VIT: 754, SPD: 34, LUK: 1, Attack: 87949, Defense: 85982, Current HP: 1170, A Avg: 109936, D Avg: 85982, [Impulse(166)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 965: HP: 1380, STR: 2097, VIT: 657, SPD: 34, LUK: 1, Attack: 87949, Defense: 85885, Current HP: 1380, A Avg: 109936, D Avg: 85885, [Santoku(159)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 964: HP: 720, STR: 1463, VIT: 935, SPD: 34, LUK: 1, Attack: 87952, Defense: 85526, Current HP: 720, A Avg: 109940, D Avg: 85526, [Cuttlefish(178)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 963: HP: 910, STR: 1463, VIT: 967, SPD: 34, LUK: 1, Attack: 87952, Defense: 87885, Current HP: 910, A Avg: 109940, D Avg: 87885, [Cuttlefish(178)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 962: HP: 616, STR: 1377, VIT: 608, SPD: 32, LUK: 1, Attack: 87255, Defense: 84471, Current HP: 616, A Avg: 109941, D Avg: 84471, [Blue Sword(180)[0, 0, 0], Small Sword(218)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 961: HP: 730, STR: 909, VIT: 289, SPD: 34, LUK: 1, Attack: 87960, Defense: 85153, Current HP: 730, A Avg: 109950, D Avg: 85153, [Tekken(188)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 960: HP: 650, STR: 909, VIT: 312, SPD: 36, LUK: 1, Attack: 87960, Defense: 84734, Current HP: 650, A Avg: 109950, D Avg: 84734, [Tekken(188)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 959: HP: 1334, STR: 1388, VIT: 998, SPD: 32, LUK: 1, Attack: 87266, Defense: 87110, Current HP: 1334, A Avg: 109955, D Avg: 87110, [Blue Sword(180)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 958: HP: 814, STR: 1728, VIT: 644, SPD: 34, LUK: 1, Attack: 87268, Defense: 84988, Current HP: 814, A Avg: 109957, D Avg: 84988, [Zodiac(184)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 957: HP: 1280, STR: 1478, VIT: 1514, SPD: 34, LUK: 1, Attack: 87967, Defense: 89082, Current HP: 1280, A Avg: 109958, D Avg: 89082, [Cuttlefish(178)[0, 0, 0], Storm Wall(242)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 956: HP: 650, STR: 3234, VIT: 265, SPD: 34, LUK: 1, Attack: 87968, Defense: 88093, Current HP: 650, A Avg: 109960, D Avg: 88093, [Irruption(154)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 955: HP: 1254, STR: 1399, VIT: 1806, SPD: 32, LUK: 1, Attack: 87277, Defense: 89374, Current HP: 1254, A Avg: 109969, D Avg: 89374, [Blue Sword(180)[0, 0, 0], Storm Wall(242)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 954: HP: 764, STR: 3010, VIT: 243, SPD: 34, LUK: 1, Attack: 87976, Defense: 88071, Current HP: 764, A Avg: 109970, D Avg: 88071, [Red Shark(134)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 953: HP: 440, STR: 2100, VIT: 465, SPD: 36, LUK: 1, Attack: 87978, Defense: 84490, Current HP: 440, A Avg: 109972, D Avg: 84490, [Blue Sword(180)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 952: HP: 1034, STR: 1404, VIT: 1228, SPD: 32, LUK: 1, Attack: 87282, Defense: 86222, Current HP: 1034, A Avg: 109975, D Avg: 86222, [Blue Sword(180)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 951: HP: 730, STR: 936, VIT: 523, SPD: 34, LUK: 1, Attack: 87987, Defense: 87324, Current HP: 730, A Avg: 109983, D Avg: 87324, [Tekken(188)[0, 0, 0], Riot(236)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 950: HP: 460, STR: 2111, VIT: 465, SPD: 34, LUK: 1, Attack: 87989, Defense: 84471, Current HP: 460, A Avg: 109986, D Avg: 84471, [Blue Sword(180)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 949: HP: 440, STR: 2111, VIT: 2007, SPD: 34, LUK: 1, Attack: 87989, Defense: 87677, Current HP: 440, A Avg: 109986, D Avg: 87677, [Blue Sword(180)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 948: HP: 1056, STR: 945, VIT: 522, SPD: 34, LUK: 1, Attack: 87291, Defense: 84658, Current HP: 1056, A Avg: 109986, D Avg: 84658, [Progress(147)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 947: HP: 730, STR: 2114, VIT: 529, SPD: 34, LUK: 1, Attack: 87992, Defense: 84769, Current HP: 730, A Avg: 109990, D Avg: 84769, [Blue Sword(180)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 946: HP: 858, STR: 1424, VIT: 644, SPD: 34, LUK: 1, Attack: 87302, Defense: 84988, Current HP: 858, A Avg: 110000, D Avg: 84988, [God Hand(179)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 945: HP: 902, STR: 817, VIT: 1375, SPD: 32, LUK: 1, Attack: 87306, Defense: 85966, Current HP: 902, A Avg: 110005, D Avg: 85966, [Cuttlefish(178)[0, 0, 0], Black Hole(229)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 944: HP: 1111, STR: 817, VIT: 1424, SPD: 32, LUK: 1, Attack: 87306, Defense: 88342, Current HP: 1111, A Avg: 110005, D Avg: 88342, [Cuttlefish(178)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 943: HP: 880, STR: 822, VIT: 1063, SPD: 32, LUK: 1, Attack: 87311, Defense: 84926, Current HP: 880, A Avg: 110011, D Avg: 84926, [Cuttlefish(178)[0, 0, 0], Small Sword(218)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 942: HP: 1040, STR: 3515, VIT: 596, SPD: 36, LUK: 1, Attack: 88015, Defense: 84940, Current HP: 1040, A Avg: 110018, D Avg: 84940, [Divine Dragon Sword(181)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 941: HP: 1485, STR: 1347, VIT: 361, SPD: 34, LUK: 1, Attack: 87316, Defense: 87149, Current HP: 1485, A Avg: 110018, D Avg: 87149, [Fire Chariot(138)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
