Rank 1000: HP: 736, STR: 460, VIT: 176, SPD: 40, LUK: 1, Attack: 87511, Defense: 83899, Current HP: 736, A Avg: 110263, D Avg: 83899, [Tekken(188)[0, 0, 0], Pot Lid(201)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 999: HP: 736, STR: 460, VIT: 176, SPD: 40, LUK: 1, Attack: 87511, Defense: 83909, Current HP: 736, A Avg: 110263, D Avg: 83909, [Tekken(188)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 998: HP: 704, STR: 460, VIT: 197, SPD: 40, LUK: 1, Attack: 87511, Defense: 84066, Current HP: 704, A Avg: 110263, D Avg: 84066, [Tekken(188)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 997: HP: 704, STR: 460, VIT: 205, SPD: 40, LUK: 1, Attack: 87511, Defense: 84009, Current HP: 704, A Avg: 110263, D Avg: 84009, [Tekken(188)[0, 0, 0], Iron Shield(204)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 996: HP: 704, STR: 460, VIT: 248, SPD: 40, LUK: 1, Attack: 87511, Defense: 84111, Current HP: 704, A Avg: 110263, D Avg: 84111, [Tekken(188)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 995: HP: 704, STR: 460, VIT: 275, SPD: 40, LUK: 1, Attack: 87511, Defense: 84164, Current HP: 704, A Avg: 110263, D Avg: 84164, [Tekken(188)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 994: HP: 736, STR: 460, VIT: 314, SPD: 40, LUK: 1, Attack: 87511, Defense: 84190, Current HP: 736, A Avg: 110263, D Avg: 84190, [Tekken(188)[0, 0, 0], Magic Shield(207)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 993: HP: 990, STR: 460, VIT: 378, SPD: 40, LUK: 1, Attack: 87511, Defense: 84215, Current HP: 990, A Avg: 110263, D Avg: 84215, [Tekken(188)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 992: HP: 805, STR: 460, VIT: 252, SPD: 40, LUK: 1, Attack: 87511, Defense: 84024, Current HP: 805, A Avg: 110263, D Avg: 84024, [Tekken(188)[0, 0, 0], Clear Shield(211)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 991: HP: 851, STR: 460, VIT: 314, SPD: 40, LUK: 1, Attack: 87511, Defense: 84333, Current HP: 851, A Avg: 110263, D Avg: 84333, [Tekken(188)[0, 0, 0], Prism Shield(212)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 990: HP: 792, STR: 460, VIT: 261, SPD: 40, LUK: 1, Attack: 87511, Defense: 84189, Current HP: 792, A Avg: 110263, D Avg: 84189, [Tekken(188)[0, 0, 0], Tower Shield(213)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 989: HP: 1237, STR: 460, VIT: 514, SPD: 40, LUK: 1, Attack: 87511, Defense: 85076, Current HP: 1237, A Avg: 110263, D Avg: 85076, [Tekken(188)[0, 0, 0], Slime Shield(221)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 988: HP: 1170, STR: 460, VIT: 248, SPD: 40, LUK: 1, Attack: 87511, Defense: 84176, Current HP: 1170, A Avg: 110263, D Avg: 84176, [Tekken(188)[0, 0, 0], Hardwood Shield(223)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 987: HP: 736, STR: 460, VIT: 1003, SPD: 40, LUK: 1, Attack: 87511, Defense: 87791, Current HP: 736, A Avg: 110263, D Avg: 87791, [Tekken(188)[0, 0, 0], Energy Shield(227)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 986: HP: 2596, STR: 460, VIT: 183, SPD: 40, LUK: 1, Attack: 87511, Defense: 86100, Current HP: 2596, A Avg: 110263, D Avg: 86100, [Tekken(188)[0, 0, 0], Frying Pan(231)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 985: HP: 1453, STR: 460, VIT: 603, SPD: 40, LUK: 1, Attack: 87511, Defense: 85337, Current HP: 1453, A Avg: 110263, D Avg: 85337, [Tekken(188)[0, 0, 0], Slafield(232)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 984: HP: 1173, STR: 460, VIT: 514, SPD: 40, LUK: 1, Attack: 87511, Defense: 85989, Current HP: 1173, A Avg: 110263, D Avg: 85989, [Tekken(188)[0, 0, 0], Mist Shield(233)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 983: HP: 924, STR: 460, VIT: 831, SPD: 40, LUK: 1, Attack: 87511, Defense: 85799, Current HP: 924, A Avg: 110263, D Avg: 85799, [Tekken(188)[0, 0, 0], Huge Shield(234)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 982: HP: 836, STR: 460, VIT: 982, SPD: 40, LUK: 1, Attack: 87511, Defense: 87822, Current HP: 836, A Avg: 110263, D Avg: 87822, [Tekken(188)[0, 0, 0], Aurora Shield(240)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 981: HP: 1564, STR: 460, VIT: 738, SPD: 40, LUK: 1, Attack: 87511, Defense: 88163, Current HP: 1564, A Avg: 110263, D Avg: 88163, [Tekken(188)[0, 0, 0], Cloud Shield(241)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 980: HP: 704, STR: 460, VIT: 176, SPD: 40, LUK: 1, Attack: 87511, Defense: 86965, Current HP: 704, A Avg: 110263, D Avg: 86965, [Tekken(188)[0, 0, 0], Graffiti(243)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 979: HP: 704, STR: 460, VIT: 1424, SPD: 40, LUK: 1, Attack: 87511, Defense: 91202, Current HP: 704, A Avg: 110263, D Avg: 91202, [Tekken(188)[0, 0, 0], Blank Shield(244)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 978: HP: 1254, STR: 460, VIT: 2073, SPD: 40, LUK: 1, Attack: 87511, Defense: 88861, Current HP: 1254, A Avg: 110263, D Avg: 88861, [Tekken(188)[0, 0, 0], Golem Shield(245)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 977: HP: 1034, STR: 460, VIT: 701, SPD: 42, LUK: 1, Attack: 87511, Defense: 86579, Current HP: 1034, A Avg: 110263, D Avg: 86579, [Tekken(188)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 976: HP: 1601, STR: 460, VIT: 707, SPD: 40, LUK: 1, Attack: 87511, Defense: 86923, Current HP: 1601, A Avg: 110263, D Avg: 86923, [Tekken(188)[0, 0, 0], King Shield(248)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 975: HP: 1196, STR: 460, VIT: 946, SPD: 40, LUK: 1, Attack: 87511, Defense: 87981, Current HP: 1196, A Avg: 110263, D Avg: 87981, [Tekken(188)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 974: HP: 736, STR: 460, VIT: 925, SPD: 40, LUK: 1, Attack: 87511, Defense: 87973, Current HP: 736, A Avg: 110263, D Avg: 87973, [Tekken(188)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 973: HP: 1140, STR: 2878, VIT: 724, SPD: 45, LUK: 1, Attack: 88212, Defense: 85068, Current HP: 1140, A Avg: 110265, D Avg: 85068, [Impulse(166)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 972: HP: 560, STR: 1164, VIT: 192, SPD: 42, LUK: 1, Attack: 88215, Defense: 84055, Current HP: 560, A Avg: 110268, D Avg: 84055, [Tekken(188)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 971: HP: 1408, STR: 1027, VIT: 1971, SPD: 40, LUK: 1, Attack: 87516, Defense: 86965, Current HP: 1408, A Avg: 110270, D Avg: 86965, [Cuttlefish(178)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 970: HP: 1140, STR: 2683, VIT: 1069, SPD: 42, LUK: 1, Attack: 88223, Defense: 86063, Current HP: 1140, A Avg: 110278, D Avg: 86063, [Zodiac(184)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
