Rank 1000: HP: 1243, STR: 665, VIT: 999, SPD: 48, LUK: 1, Attack: 87716, Defense: 87800, Current HP: 1243, A Avg: 110522, D Avg: 87800, [Tekken(188)[0, 0, 0], Riot(236)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 999: HP: 1672, STR: 2788, VIT: 202, SPD: 51, LUK: 1, Attack: 87717, Defense: 86990, Current HP: 1672, A Avg: 110523, D Avg: 86990, [Jack Knife(185)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 998: HP: 1650, STR: 2567, VIT: 695, SPD: 54, LUK: 1, Attack: 88419, Defense: 85039, Current HP: 1650, A Avg: 110523, D Avg: 85039, [Santoku(159)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 997: HP: 1240, STR: 3923, VIT: 749, SPD: 54, LUK: 1, Attack: 88423, Defense: 84885, Current HP: 1240, A Avg: 110528, D Avg: 84885, [Divine Dragon Sword(181)[0, 0, 0], Magnum(237)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 996: HP: 1260, STR: 1848, VIT: 1268, SPD: 48, LUK: 1, Attack: 87726, Defense: 86886, Current HP: 1260, A Avg: 110534, D Avg: 86886, [Blue Sword(180)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 995: HP: 1069, STR: 1849, VIT: 1547, SPD: 48, LUK: 1, Attack: 87727, Defense: 86385, Current HP: 1069, A Avg: 110536, D Avg: 86385, [Blue Sword(180)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 994: HP: 660, STR: 3852, VIT: 209, SPD: 51, LUK: 1, Attack: 88430, Defense: 84072, Current HP: 660, A Avg: 110537, D Avg: 84072, [Magical(187)[0, 0, 0], Small Sword(218)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 993: HP: 970, STR: 2881, VIT: 1130, SPD: 51, LUK: 1, Attack: 88434, Defense: 86358, Current HP: 970, A Avg: 110542, D Avg: 86358, [Hammer of Justice(186)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 992: HP: 836, STR: 1858, VIT: 969, SPD: 48, LUK: 1, Attack: 87736, Defense: 84975, Current HP: 836, A Avg: 110547, D Avg: 84975, [Blue Sword(180)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 991: HP: 814, STR: 1858, VIT: 4575, SPD: 48, LUK: 1, Attack: 87736, Defense: 90245, Current HP: 814, A Avg: 110547, D Avg: 90245, [Blue Sword(180)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 990: HP: 920, STR: 1949, VIT: 1275, SPD: 51, LUK: 1, Attack: 88438, Defense: 85866, Current HP: 920, A Avg: 110547, D Avg: 85866, [Cuttlefish(178)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
