Rank 1000: HP: 1342, STR: 899, VIT: 925, SPD: 56, LUK: 1, Attack: 87950, Defense: 87843, Current HP: 1342, A Avg: 110817, D Avg: 87843, [Tekken(188)[0, 0, 0], White Hole(230)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 999: HP: 1188, STR: 2073, VIT: 5532, SPD: 56, LUK: 1, Attack: 87951, Defense: 91202, Current HP: 1188, A Avg: 110818, D Avg: 91202, [God Hand(179)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 998: HP: 1140, STR: 1607, VIT: 283, SPD: 59, LUK: 1, Attack: 88658, Defense: 84172, Current HP: 1140, A Avg: 110822, D Avg: 84172, [Tekken(188)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 997: HP: 1716, STR: 1616, VIT: 873, SPD: 59, LUK: 1, Attack: 87962, Defense: 85217, Current HP: 1716, A Avg: 110832, D Avg: 85217, [Progress(147)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 996: HP: 1535, STR: 2929, VIT: 865, SPD: 56, LUK: 1, Attack: 87972, Defense: 88693, Current HP: 1535, A Avg: 110844, D Avg: 88693, [White Snake(160)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 995: HP: 1900, STR: 2824, VIT: 788, SPD: 63, LUK: 1, Attack: 88676, Defense: 85132, Current HP: 1900, A Avg: 110845, D Avg: 85132, [Santoku(159)[0, 0, 0], V Magnum(238)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 994: HP: 760, STR: 4099, VIT: 283, SPD: 59, LUK: 1, Attack: 88677, Defense: 84289, Current HP: 760, A Avg: 110846, D Avg: 84289, [Magical(187)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 993: HP: 740, STR: 4099, VIT: 3049, SPD: 59, LUK: 1, Attack: 88677, Defense: 88719, Current HP: 740, A Avg: 110846, D Avg: 88719, [Magical(187)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 992: HP: 2024, STR: 924, VIT: 915, SPD: 56, LUK: 1, Attack: 87975, Defense: 87027, Current HP: 2024, A Avg: 110848, D Avg: 87027, [Tekken(188)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 991: HP: 940, STR: 3140, VIT: 861, SPD: 63, LUK: 1, Attack: 88680, Defense: 84886, Current HP: 940, A Avg: 110850, D Avg: 84886, [Zodiac(184)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 990: HP: 1020, STR: 2192, VIT: 1445, SPD: 59, LUK: 1, Attack: 88681, Defense: 86036, Current HP: 1020, A Avg: 110851, D Avg: 86036, [Cuttlefish(178)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
