Rank 1000: HP: 1127, STR: 180, VIT: 293, SPD: 64, LUK: 1, Attack: 88347, Defense: 84026, Current HP: 1127, A Avg: 111317, D Avg: 84026, [Basic(169)[0, 0, 0], High Pot Lid(202)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 999: HP: 1078, STR: 180, VIT: 318, SPD: 64, LUK: 1, Attack: 88347, Defense: 84187, Current HP: 1078, A Avg: 111317, D Avg: 84187, [Basic(169)[0, 0, 0], Wooden Shield(203)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 998: HP: 1078, STR: 180, VIT: 326, SPD: 64, LUK: 1, Attack: 88347, Defense: 84130, Current HP: 1078, A Avg: 111317, D Avg: 84130, [Basic(169)[0, 0, 0], Iron Shield(204)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 997: HP: 1078, STR: 180, VIT: 410, SPD: 64, LUK: 1, Attack: 88347, Defense: 84273, Current HP: 1078, A Avg: 111317, D Avg: 84273, [Basic(169)[0, 0, 0], Titanium Shield(205)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 996: HP: 1078, STR: 180, VIT: 437, SPD: 64, LUK: 1, Attack: 88347, Defense: 84326, Current HP: 1078, A Avg: 111317, D Avg: 84326, [Basic(169)[0, 0, 0], Large iron Shield(206)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 995: HP: 1127, STR: 180, VIT: 509, SPD: 64, LUK: 1, Attack: 88347, Defense: 84385, Current HP: 1127, A Avg: 111317, D Avg: 84385, [Basic(169)[0, 0, 0], Magic Shield(207)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 994: HP: 1529, STR: 180, VIT: 621, SPD: 64, LUK: 1, Attack: 88347, Defense: 84458, Current HP: 1529, A Avg: 111317, D Avg: 84458, [Basic(169)[0, 0, 0], Emerald Shield(209)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 993: HP: 1196, STR: 180, VIT: 408, SPD: 64, LUK: 1, Attack: 88347, Defense: 84180, Current HP: 1196, A Avg: 111317, D Avg: 84180, [Basic(169)[0, 0, 0], Clear Shield(211)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 992: HP: 1242, STR: 180, VIT: 509, SPD: 64, LUK: 1, Attack: 88347, Defense: 84528, Current HP: 1242, A Avg: 111317, D Avg: 84528, [Basic(169)[0, 0, 0], Prism Shield(212)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 991: HP: 1166, STR: 180, VIT: 423, SPD: 64, LUK: 1, Attack: 88347, Defense: 84351, Current HP: 1166, A Avg: 111317, D Avg: 84351, [Basic(169)[0, 0, 0], Tower Shield(213)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 990: HP: 1869, STR: 180, VIT: 826, SPD: 64, LUK: 1, Attack: 88347, Defense: 85388, Current HP: 1869, A Avg: 111317, D Avg: 85388, [Basic(169)[0, 0, 0], Slime Shield(221)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
