Rank 1000: HP: 950, STR: 5437, VIT: 193, SPD: 76, LUK: 1, Attack: 89336, Defense: 88021, Current HP: 950, A Avg: 111670, D Avg: 88021, [Sylph(119)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 999: HP: 960, STR: 5451, VIT: 176, SPD: 76, LUK: 1, Attack: 89340, Defense: 88004, Current HP: 960, A Avg: 111675, D Avg: 88004, [Iron Lumps(108)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 998: HP: 1672, STR: 3702, VIT: 769, SPD: 72, LUK: 1, Attack: 88631, Defense: 85997, Current HP: 1672, A Avg: 111675, D Avg: 85997, [Jack Knife(185)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 997: HP: 1914, STR: 2144, VIT: 2573, SPD: 76, LUK: 1, Attack: 88633, Defense: 86995, Current HP: 1914, A Avg: 111677, D Avg: 86995, [Cuttlefish(178)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 996: HP: 1144, STR: 3981, VIT: 280, SPD: 72, LUK: 1, Attack: 88637, Defense: 88108, Current HP: 1144, A Avg: 111682, D Avg: 88108, [Penetra(161)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 995: HP: 1364, STR: 3097, VIT: 1424, SPD: 76, LUK: 1, Attack: 88637, Defense: 85560, Current HP: 1364, A Avg: 111682, D Avg: 85560, [Zodiac(184)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 994: HP: 2400, STR: 3500, VIT: 975, SPD: 76, LUK: 1, Attack: 89352, Defense: 85163, Current HP: 2400, A Avg: 111690, D Avg: 85163, [Santoku(159)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 993: HP: 1210, STR: 484, VIT: 447, SPD: 72, LUK: 1, Attack: 88651, Defense: 84310, Current HP: 1210, A Avg: 111700, D Avg: 84310, [Basic(169)[0, 0, 0], Small Sword(218)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 992: HP: 1680, STR: 3483, VIT: 1082, SPD: 76, LUK: 1, Attack: 89361, Defense: 84971, Current HP: 1680, A Avg: 111701, D Avg: 84971, [God Hand(179)[0, 0, 0], Small Lion(219)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 991: HP: 950, STR: 5437, VIT: 193, SPD: 76, LUK: 1, Attack: 89363, Defense: 88021, Current HP: 950, A Avg: 111703, D Avg: 88021, [Gnome(120)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 990: HP: 1812, STR: 2784, VIT: 1892, SPD: 72, LUK: 1, Attack: 88662, Defense: 87510, Current HP: 1812, A Avg: 111714, D Avg: 87510, [Blue Sword(180)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
