Rank 1000: HP: 7414, STR: 3043, VIT: 2121, SPD: 85, LUK: 1, Attack: 88856, Defense: 87999, Current HP: 7414, A Avg: 111958, D Avg: 87999, [Spear of Regression(182)[0, 0, 0], Sticky thread shield(247)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 999: HP: 8641, STR: 3043, VIT: 2046, SPD: 80, LUK: 1, Attack: 88856, Defense: 88262, Current HP: 8641, A Avg: 111958, D Avg: 88262, [Spear of Regression(182)[0, 0, 0], King Shield(248)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 998: HP: 7866, STR: 3043, VIT: 2105, SPD: 80, LUK: 1, Attack: 88856, Defense: 89140, Current HP: 7866, A Avg: 111958, D Avg: 89140, [Spear of Regression(182)[0, 0, 0], Warrior's Shield(249)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 997: HP: 7406, STR: 3043, VIT: 2605, SPD: 80, LUK: 1, Attack: 88856, Defense: 89653, Current HP: 7406, A Avg: 111958, D Avg: 89653, [Spear of Regression(182)[0, 0, 0], Ghost shield(251)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 996: HP: 1394, STR: 4642, VIT: 368, SPD: 85, LUK: 1, Attack: 89571, Defense: 84374, Current HP: 1394, A Avg: 111963, D Avg: 84374, [Jack Knife(185)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 995: HP: 1903, STR: 693, VIT: 613, SPD: 80, LUK: 1, Attack: 88860, Defense: 84502, Current HP: 1903, A Avg: 111963, D Avg: 84502, [Basic(169)[0, 0, 0], Small Lion(219)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 994: HP: 1738, STR: 700, VIT: 1425, SPD: 80, LUK: 1, Attack: 88867, Defense: 86419, Current HP: 1738, A Avg: 111972, D Avg: 86419, [Basic(169)[0, 0, 0], Metalization(228)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 993: HP: 2220, STR: 4741, VIT: 622, SPD: 90, LUK: 1, Attack: 89579, Defense: 87410, Current HP: 2220, A Avg: 111973, D Avg: 87410, [Classic(168)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 992: HP: 7495, STR: 3059, VIT: 1528, SPD: 80, LUK: 1, Attack: 88872, Defense: 85469, Current HP: 7495, A Avg: 111978, D Avg: 85469, [Spear of Regression(182)[0, 0, 0], Dragon's Scales(215)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 991: HP: 1100, STR: 5695, VIT: 185, SPD: 85, LUK: 1, Attack: 89597, Defense: 88013, Current HP: 1100, A Avg: 111996, D Avg: 88013, [Daydream(132)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 990: HP: 1254, STR: 3019, VIT: 1593, SPD: 85, LUK: 1, Attack: 88897, Defense: 85618, Current HP: 1254, A Avg: 112010, D Avg: 85618, [Blue Sword(180)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 989: HP: 1254, STR: 1848, VIT: 306, SPD: 85, LUK: 1, Attack: 88899, Defense: 84650, Current HP: 1254, A Avg: 112012, D Avg: 84650, [Tekken(188)[0, 0, 0], V Magnum(238)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 988: HP: 2552, STR: 3972, VIT: 306, SPD: 85, LUK: 1, Attack: 88901, Defense: 87094, Current HP: 2552, A Avg: 112015, D Avg: 87094, [Jack Knife(185)[0, 0, 0], C Magnum(239)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 987: HP: 2750, STR: 3931, VIT: 538, SPD: 85, LUK: 1, Attack: 89614, Defense: 85766, Current HP: 2750, A Avg: 112017, D Avg: 85766, [Dancing(155)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 986: HP: 1903, STR: 3027, VIT: 1790, SPD: 80, LUK: 1, Attack: 88905, Defense: 86030, Current HP: 1903, A Avg: 112020, D Avg: 86030, [Blue Sword(180)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 985: HP: 2820, STR: 3385, VIT: 185, SPD: 90, LUK: 1, Attack: 89627, Defense: 86973, Current HP: 2820, A Avg: 112033, D Avg: 86973, [Droid Hammer(177)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 984: HP: 1687, STR: 751, VIT: 626, SPD: 80, LUK: 1, Attack: 88918, Defense: 84632, Current HP: 1687, A Avg: 112036, D Avg: 84632, [Basic(169)[0, 0, 0], Small Dragon Sword(224)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 983: HP: 3810, STR: 4708, VIT: 685, SPD: 90, LUK: 1, Attack: 89631, Defense: 87473, Current HP: 3810, A Avg: 112038, D Avg: 87473, [Pangaea(164)[0, 0, 0], C Magnum(239)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 982: HP: 1320, STR: 3761, VIT: 1569, SPD: 85, LUK: 1, Attack: 89639, Defense: 86160, Current HP: 1320, A Avg: 112048, D Avg: 86160, [God Hand(179)[0, 0, 0], Black Hole(229)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 981: HP: 1810, STR: 3761, VIT: 1652, SPD: 85, LUK: 1, Attack: 89639, Defense: 88570, Current HP: 1810, A Avg: 112048, D Avg: 88570, [God Hand(179)[0, 0, 0], White Hole(230)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 980: HP: 2625, STR: 3763, VIT: 1620, SPD: 85, LUK: 1, Attack: 89641, Defense: 87732, Current HP: 2625, A Avg: 112051, D Avg: 87732, [God Hand(179)[0, 0, 0], Goblin Hand(250)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 979: HP: 2138, STR: 3967, VIT: 707, SPD: 80, LUK: 1, Attack: 88933, Defense: 88535, Current HP: 2138, A Avg: 112055, D Avg: 88535, [Red Shark(134)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 978: HP: 7084, STR: 3129, VIT: 1344, SPD: 85, LUK: 1, Attack: 88942, Defense: 85369, Current HP: 7084, A Avg: 112066, D Avg: 85369, [Spear of Regression(182)[0, 0, 0], Conductive Barrier(208)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 977: HP: 1040, STR: 5832, VIT: 185, SPD: 85, LUK: 1, Attack: 89656, Defense: 88013, Current HP: 1040, A Avg: 112070, D Avg: 88013, [Stun Knuckle(106)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 976: HP: 1040, STR: 5846, VIT: 185, SPD: 85, LUK: 1, Attack: 89657, Defense: 88013, Current HP: 1040, A Avg: 112071, D Avg: 88013, [Long Sword(104)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 975: HP: 1474, STR: 3409, VIT: 1580, SPD: 85, LUK: 1, Attack: 88949, Defense: 85716, Current HP: 1474, A Avg: 112075, D Avg: 85716, [Zodiac(184)[0, 0, 0], Magnum(237)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 974: HP: 7733, STR: 3137, VIT: 1530, SPD: 80, LUK: 1, Attack: 88950, Defense: 85770, Current HP: 7733, A Avg: 112077, D Avg: 85770, [Spear of Regression(182)[0, 0, 0], Dragon's Wings(216)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 973: HP: 1680, STR: 3790, VIT: 1789, SPD: 85, LUK: 1, Attack: 89668, Defense: 86783, Current HP: 1680, A Avg: 112085, D Avg: 86783, [God Hand(179)[0, 0, 0], Metalization(228)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 972: HP: 1040, STR: 4040, VIT: 1851, SPD: 85, LUK: 1, Attack: 89684, Defense: 86039, Current HP: 1040, A Avg: 112105, D Avg: 86039, [Portal Sword(176)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 971: HP: 1996, STR: 3096, VIT: 2100, SPD: 80, LUK: 1, Attack: 88974, Defense: 87718, Current HP: 1996, A Avg: 112107, D Avg: 87718, [Blue Sword(180)[0, 0, 0], Mask of the Grim Reaper(214)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 970: HP: 1685, STR: 3097, VIT: 2465, SPD: 80, LUK: 1, Attack: 88975, Defense: 87303, Current HP: 1685, A Avg: 112108, D Avg: 87303, [Blue Sword(180)[0, 0, 0], Bulletproof Shield(235)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 969: HP: 1837, STR: 4059, VIT: 847, SPD: 80, LUK: 1, Attack: 88988, Defense: 86075, Current HP: 1837, A Avg: 112124, D Avg: 86075, [Jack Knife(185)[0, 0, 0], Wave Motion Sword(226)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 968: HP: 1815, STR: 4256, VIT: 740, SPD: 80, LUK: 1, Attack: 88990, Defense: 88568, Current HP: 1815, A Avg: 112127, D Avg: 88568, [Irruption(154)[0, 0, 0], Black Sword Breath(252)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 967: HP: 2650, STR: 3850, VIT: 1069, SPD: 85, LUK: 1, Attack: 89702, Defense: 85257, Current HP: 2650, A Avg: 112127, D Avg: 85257, [Santoku(159)[0, 0, 0], Dragon Sword(225)[0, 0, 0], Oculus Ring(315)[0, 0, 0]]
Rank 966: HP: 1903, STR: 3113, VIT: 1922, SPD: 80, LUK: 1, Attack: 88991, Defense: 86786, Current HP: 1903, A Avg: 112128, D Avg: 86786, [Blue Sword(180)[0, 0, 0], Dragon's Head(217)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 965: HP: 1815, STR: 3113, VIT: 1988, SPD: 85, LUK: 1, Attack: 88991, Defense: 86410, Current HP: 1815, A Avg: 112128, D Avg: 86410, [Blue Sword(180)[0, 0, 0], Superconducting Barrier(220)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 964: HP: 1276, STR: 3116, VIT: 1593, SPD: 80, LUK: 1, Attack: 88994, Defense: 85599, Current HP: 1276, A Avg: 112132, D Avg: 85599, [Blue Sword(180)[0, 0, 0], Wings of Beast(210)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
Rank 963: HP: 1254, STR: 3116, VIT: 7695, SPD: 80, LUK: 1, Attack: 88994, Defense: 93365, Current HP: 1254, A Avg: 112132, D Avg: 93365, [Blue Sword(180)[0, 0, 0], Shield of Thousand(246)[0, 0, 0], Marriage Ring(321)[0, 0, 0]]
