Rank 1000: HP: 268, STR: 403678, VIT: 22, SPD: 1, LUK: 1, Attack: 489218, Defense: 85640, Current HP: 268, A Avg: 993112, D Avg: 85640, [Zodiac(184)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 999: HP: 247, STR: 403682, VIT: 24, SPD: 1, LUK: 1, Attack: 489222, Defense: 84049, Current HP: 247, A Avg: 993120, D Avg: 84049, [Zodiac(184)[230, 230, 230], Conductive Barrier(208)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 998: HP: 247, STR: 403682, VIT: 119, SPD: 1, LUK: 1, Attack: 489222, Defense: 84957, Current HP: 247, A Avg: 993120, D Avg: 84957, [Zodiac(184)[230, 230, 230], Bulletproof Shield(235)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 997: HP: 361, STR: 403892, VIT: 112, SPD: 1, LUK: 1, Attack: 489226, Defense: 84976, Current HP: 361, A Avg: 993128, D Avg: 84976, [Impulse(166)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 996: HP: 285, STR: 403892, VIT: 112, SPD: 1, LUK: 1, Attack: 489226, Defense: 84534, Current HP: 285, A Avg: 993128, D Avg: 84534, [Impulse(166)[230, 230, 230], Superconducting Barrier(220)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 995: HP: 342, STR: 403687, VIT: 119, SPD: 1, LUK: 1, Attack: 489227, Defense: 86920, Current HP: 342, A Avg: 993130, D Avg: 86920, [Zodiac(184)[230, 230, 230], Riot(236)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 994: HP: 76, STR: 403480, VIT: 108, SPD: 1, LUK: 1, Attack: 489228, Defense: 85726, Current HP: 76, A Avg: 993132, D Avg: 85726, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 993: HP: 285, STR: 288396, VIT: 64, SPD: 1, LUK: 1, Attack: 373364, Defense: 86982, Current HP: 285, A Avg: 993148, D Avg: 86982, [Cluster Bomb(170)[230, 230, 230], White Hole(230)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 992: HP: 323, STR: 403703, VIT: 25, SPD: 1, LUK: 1, Attack: 489243, Defense: 83966, Current HP: 323, A Avg: 993163, D Avg: 83966, [Zodiac(184)[230, 230, 230], Dragon's Scales(215)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 991: HP: 342, STR: 403703, VIT: 27, SPD: 1, LUK: 1, Attack: 489243, Defense: 84267, Current HP: 342, A Avg: 993163, D Avg: 84267, [Zodiac(184)[230, 230, 230], Dragon's Wings(216)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 990: HP: 342, STR: 403724, VIT: 27, SPD: 1, LUK: 1, Attack: 489264, Defense: 84891, Current HP: 342, A Avg: 993205, D Avg: 84891, [Zodiac(184)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 989: HP: 266, STR: 403724, VIT: 32, SPD: 1, LUK: 1, Attack: 489264, Defense: 84454, Current HP: 266, A Avg: 993205, D Avg: 84454, [Zodiac(184)[230, 230, 230], Superconducting Barrier(220)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 988: HP: 114, STR: 288288, VIT: 119, SPD: 1, LUK: 1, Attack: 373386, Defense: 84047, Current HP: 114, A Avg: 993206, D Avg: 84047, [Yggdrasil(126)[230, 230, 230], Hardwood Shield(223)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 987: HP: 114, STR: 288288, VIT: 119, SPD: 1, LUK: 1, Attack: 373386, Defense: 84047, Current HP: 114, A Avg: 993206, D Avg: 84047, [Yggdrasil(126)[230, 230, 230], Hardwood Shield(223)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 986: HP: 285, STR: 404351, VIT: 187, SPD: 1, LUK: 1, Attack: 489280, Defense: 86403, Current HP: 285, A Avg: 993238, D Avg: 86403, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 985: HP: 171, STR: 288750, VIT: 64, SPD: 1, LUK: 1, Attack: 373400, Defense: 87892, Current HP: 171, A Avg: 993243, D Avg: 87892, [Diamond Knuckle(152)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 984: HP: 171, STR: 288720, VIT: 64, SPD: 1, LUK: 1, Attack: 373402, Defense: 87892, Current HP: 171, A Avg: 993249, D Avg: 87892, [Thunder Whip(143)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 983: HP: 456, STR: 288072, VIT: 42, SPD: 1, LUK: 1, Attack: 373404, Defense: 83970, Current HP: 456, A Avg: 993254, D Avg: 83970, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 982: HP: 228, STR: 288072, VIT: 42, SPD: 1, LUK: 1, Attack: 373404, Defense: 83970, Current HP: 228, A Avg: 993254, D Avg: 83970, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 981: HP: 1235, STR: 403451, VIT: 102, SPD: 1, LUK: 1, Attack: 489303, Defense: 86019, Current HP: 1235, A Avg: 993285, D Avg: 86019, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 980: HP: 380, STR: 404375, VIT: 136, SPD: 1, LUK: 1, Attack: 489304, Defense: 86352, Current HP: 380, A Avg: 993287, D Avg: 86352, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 979: HP: 300, STR: 403451, VIT: 128, SPD: 1, LUK: 1, Attack: 489329, Defense: 84862, Current HP: 300, A Avg: 993337, D Avg: 84862, [Blue Sword(180)[230, 230, 230], Slafield(232)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 978: HP: 247, STR: 405341, VIT: 22, SPD: 1, LUK: 1, Attack: 489341, Defense: 86810, Current HP: 247, A Avg: 993362, D Avg: 86810, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
