Rank 1000: HP: 380, STR: 288330, VIT: 123, SPD: 8, LUK: 1, Attack: 373662, Defense: 83986, Current HP: 380, A Avg: 993940, D Avg: 83986, [Tower(149)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 999: HP: 433, STR: 288627, VIT: 155, SPD: 8, LUK: 1, Attack: 373670, Defense: 85383, Current HP: 433, A Avg: 993962, D Avg: 85383, [White Snake(160)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 998: HP: 547, STR: 404728, VIT: 197, SPD: 8, LUK: 1, Attack: 489657, Defense: 86413, Current HP: 547, A Avg: 994003, D Avg: 86413, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 997: HP: 456, STR: 288354, VIT: 129, SPD: 8, LUK: 1, Attack: 373686, Defense: 84018, Current HP: 456, A Avg: 994004, D Avg: 84018, [Tower(149)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 996: HP: 304, STR: 289185, VIT: 75, SPD: 8, LUK: 1, Attack: 373698, Defense: 87903, Current HP: 304, A Avg: 994036, D Avg: 87903, [Maximum Iron Mass(123)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 995: HP: 399, STR: 405677, VIT: 48, SPD: 8, LUK: 1, Attack: 489677, Defense: 86836, Current HP: 399, A Avg: 994044, D Avg: 86836, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 994: HP: 342, STR: 288388, VIT: 181, SPD: 8, LUK: 1, Attack: 373720, Defense: 84109, Current HP: 342, A Avg: 994095, D Avg: 84109, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 993: HP: 342, STR: 288388, VIT: 181, SPD: 8, LUK: 1, Attack: 373720, Defense: 84109, Current HP: 342, A Avg: 994095, D Avg: 84109, [Tower(149)[230, 230, 230], Tower Shield(213)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 992: HP: 340, STR: 404182, VIT: 86, SPD: 8, LUK: 1, Attack: 489722, Defense: 83809, Current HP: 340, A Avg: 994135, D Avg: 83809, [Zodiac(184)[230, 230, 230], Pot Lid(201)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 991: HP: 340, STR: 404182, VIT: 86, SPD: 8, LUK: 1, Attack: 489722, Defense: 83819, Current HP: 340, A Avg: 994135, D Avg: 83819, [Zodiac(184)[230, 230, 230], High Pot Lid(202)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 990: HP: 323, STR: 404182, VIT: 100, SPD: 8, LUK: 1, Attack: 489722, Defense: 83969, Current HP: 323, A Avg: 994135, D Avg: 83969, [Zodiac(184)[230, 230, 230], Wooden Shield(203)[230, 230, 230], Ring of power(314)[67, 68, 807]]
