Rank 1000: HP: 440, STR: 289436, VIT: 99, SPD: 16, LUK: 1, Attack: 374014, Defense: 84118, Current HP: 440, A Avg: 994877, D Avg: 84118, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 999: HP: 589, STR: 406097, VIT: 80, SPD: 17, LUK: 1, Attack: 490097, Defense: 86868, Current HP: 589, A Avg: 994896, D Avg: 86868, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 998: HP: 756, STR: 405169, VIT: 273, SPD: 16, LUK: 1, Attack: 490098, Defense: 86489, Current HP: 756, A Avg: 994898, D Avg: 86489, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 997: HP: 1046, STR: 288986, VIT: 468, SPD: 19, LUK: 1, Attack: 374029, Defense: 86580, Current HP: 1046, A Avg: 994917, D Avg: 86580, [White Snake(160)[230, 230, 230], Goblin Hand(250)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 996: HP: 580, STR: 289461, VIT: 110, SPD: 16, LUK: 1, Attack: 374039, Defense: 84129, Current HP: 580, A Avg: 994943, D Avg: 84129, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 995: HP: 974, STR: 289022, VIT: 635, SPD: 19, LUK: 1, Attack: 374065, Defense: 85629, Current HP: 974, A Avg: 995012, D Avg: 85629, [White Snake(160)[230, 230, 230], Metalization(228)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 994: HP: 978, STR: 405658, VIT: 515, SPD: 16, LUK: 1, Attack: 490158, Defense: 85379, Current HP: 978, A Avg: 995020, D Avg: 85379, [Divine Dragon Sword(181)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 993: HP: 1060, STR: 404833, VIT: 508, SPD: 16, LUK: 1, Attack: 490167, Defense: 86620, Current HP: 1060, A Avg: 995039, D Avg: 86620, [Impulse(166)[230, 230, 230], Goblin Hand(250)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 992: HP: 494, STR: 289770, VIT: 121, SPD: 16, LUK: 1, Attack: 374088, Defense: 87949, Current HP: 494, A Avg: 995074, D Avg: 87949, [Ruby Knuckle(151)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 991: HP: 642, STR: 289047, VIT: 251, SPD: 16, LUK: 1, Attack: 374090, Defense: 85479, Current HP: 642, A Avg: 995079, D Avg: 85479, [White Snake(160)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 990: HP: 988, STR: 404875, VIT: 678, SPD: 16, LUK: 1, Attack: 490209, Defense: 85672, Current HP: 988, A Avg: 995124, D Avg: 85672, [Impulse(166)[230, 230, 230], Metalization(228)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 989: HP: 342, STR: 288558, VIT: 417, SPD: 16, LUK: 1, Attack: 374111, Defense: 84280, Current HP: 342, A Avg: 995135, D Avg: 84280, [Hammer of Justice(186)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 988: HP: 693, STR: 406118, VIT: 80, SPD: 17, LUK: 1, Attack: 490239, Defense: 86868, Current HP: 693, A Avg: 995185, D Avg: 86868, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 987: HP: 323, STR: 405455, VIT: 264, SPD: 17, LUK: 1, Attack: 490243, Defense: 84400, Current HP: 323, A Avg: 995193, D Avg: 84400, [Pulse Knife(165)[230, 230, 230], Magnum(237)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 986: HP: 431, STR: 288594, VIT: 440, SPD: 16, LUK: 1, Attack: 374147, Defense: 84446, Current HP: 431, A Avg: 995231, D Avg: 84446, [Hammer of Justice(186)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 985: HP: 340, STR: 289580, VIT: 147, SPD: 16, LUK: 1, Attack: 374158, Defense: 84166, Current HP: 340, A Avg: 995260, D Avg: 84166, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 984: HP: 340, STR: 289580, VIT: 147, SPD: 16, LUK: 1, Attack: 374158, Defense: 84166, Current HP: 340, A Avg: 995260, D Avg: 84166, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 983: HP: 465, STR: 288612, VIT: 432, SPD: 16, LUK: 1, Attack: 374165, Defense: 84321, Current HP: 465, A Avg: 995278, D Avg: 84321, [Hammer of Justice(186)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 982: HP: 503, STR: 288837, VIT: 164, SPD: 16, LUK: 1, Attack: 374169, Defense: 84352, Current HP: 503, A Avg: 995289, D Avg: 84352, [Tower(149)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 981: HP: 684, STR: 290196, VIT: 112, SPD: 17, LUK: 1, Attack: 374196, Defense: 86900, Current HP: 684, A Avg: 995361, D Avg: 86900, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 980: HP: 589, STR: 290196, VIT: 96, SPD: 17, LUK: 1, Attack: 374196, Defense: 86884, Current HP: 589, A Avg: 995361, D Avg: 86884, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 979: HP: 684, STR: 290196, VIT: 140, SPD: 17, LUK: 1, Attack: 374196, Defense: 86928, Current HP: 684, A Avg: 995361, D Avg: 86928, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 978: HP: 684, STR: 290196, VIT: 112, SPD: 17, LUK: 1, Attack: 374196, Defense: 86900, Current HP: 684, A Avg: 995361, D Avg: 86900, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 977: HP: 360, STR: 437349, VIT: 518, SPD: 16, LUK: 1, Attack: 523877, Defense: 87306, Current HP: 360, A Avg: 995366, D Avg: 87306, [Moon Knuckle(153)[230, 230, 230], Energy Shield(227)[230, 230, 230], The Third Eye(322)[230, 68, 807]]
Rank 976: HP: 554, STR: 288460, VIT: 204, SPD: 16, LUK: 1, Attack: 374208, Defense: 85822, Current HP: 554, A Avg: 995393, D Avg: 85822, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 975: HP: 454, STR: 288460, VIT: 188, SPD: 16, LUK: 1, Attack: 374208, Defense: 85806, Current HP: 454, A Avg: 995393, D Avg: 85806, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 974: HP: 554, STR: 288460, VIT: 233, SPD: 16, LUK: 1, Attack: 374208, Defense: 85851, Current HP: 554, A Avg: 995393, D Avg: 85851, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 973: HP: 554, STR: 288460, VIT: 204, SPD: 16, LUK: 1, Attack: 374208, Defense: 85822, Current HP: 554, A Avg: 995393, D Avg: 85822, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 972: HP: 817, STR: 290221, VIT: 123, SPD: 17, LUK: 1, Attack: 374221, Defense: 86911, Current HP: 817, A Avg: 995427, D Avg: 86911, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 971: HP: 440, STR: 404833, VIT: 174, SPD: 16, LUK: 1, Attack: 490373, Defense: 83897, Current HP: 440, A Avg: 995457, D Avg: 83897, [Zodiac(184)[230, 230, 230], Pot Lid(201)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 970: HP: 440, STR: 404833, VIT: 174, SPD: 16, LUK: 1, Attack: 490373, Defense: 83907, Current HP: 440, A Avg: 995457, D Avg: 83907, [Zodiac(184)[230, 230, 230], High Pot Lid(202)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 969: HP: 418, STR: 404833, VIT: 193, SPD: 16, LUK: 1, Attack: 490373, Defense: 84062, Current HP: 418, A Avg: 995457, D Avg: 84062, [Zodiac(184)[230, 230, 230], Wooden Shield(203)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 968: HP: 418, STR: 404833, VIT: 198, SPD: 16, LUK: 1, Attack: 490373, Defense: 84002, Current HP: 418, A Avg: 995457, D Avg: 84002, [Zodiac(184)[230, 230, 230], Iron Shield(204)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 967: HP: 418, STR: 404833, VIT: 200, SPD: 16, LUK: 1, Attack: 490373, Defense: 84063, Current HP: 418, A Avg: 995457, D Avg: 84063, [Zodiac(184)[230, 230, 230], Titanium Shield(205)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 966: HP: 418, STR: 404833, VIT: 217, SPD: 16, LUK: 1, Attack: 490373, Defense: 84106, Current HP: 418, A Avg: 995457, D Avg: 84106, [Zodiac(184)[230, 230, 230], Large iron Shield(206)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 965: HP: 440, STR: 404833, VIT: 211, SPD: 16, LUK: 1, Attack: 490373, Defense: 84087, Current HP: 440, A Avg: 995457, D Avg: 84087, [Zodiac(184)[230, 230, 230], Magic Shield(207)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 964: HP: 522, STR: 404833, VIT: 231, SPD: 16, LUK: 1, Attack: 490373, Defense: 84068, Current HP: 522, A Avg: 995457, D Avg: 84068, [Zodiac(184)[230, 230, 230], Emerald Shield(209)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 963: HP: 500, STR: 404833, VIT: 196, SPD: 16, LUK: 1, Attack: 490373, Defense: 83968, Current HP: 500, A Avg: 995457, D Avg: 83968, [Zodiac(184)[230, 230, 230], Clear Shield(211)[230, 230, 230], Ring of power(314)[67, 68, 807]]
