Rank 1000: HP: 988, STR: 288132, VIT: 1190, SPD: 24, LUK: 1, Attack: 374374, Defense: 86860, Current HP: 988, A Avg: 995834, D Avg: 86860, [Droid Hammer(177)[230, 230, 230], Shield of Thousand(246)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 999: HP: 764, STR: 288640, VIT: 284, SPD: 24, LUK: 1, Attack: 374388, Defense: 85902, Current HP: 764, A Avg: 995872, D Avg: 85902, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 998: HP: 664, STR: 288640, VIT: 268, SPD: 24, LUK: 1, Attack: 374388, Defense: 85886, Current HP: 664, A Avg: 995872, D Avg: 85886, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 997: HP: 764, STR: 288640, VIT: 329, SPD: 24, LUK: 1, Attack: 374388, Defense: 85947, Current HP: 764, A Avg: 995872, D Avg: 85947, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 996: HP: 764, STR: 288640, VIT: 284, SPD: 24, LUK: 1, Attack: 374388, Defense: 85902, Current HP: 764, A Avg: 995872, D Avg: 85902, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 995: HP: 874, STR: 288424, VIT: 363, SPD: 25, LUK: 1, Attack: 374393, Defense: 86241, Current HP: 874, A Avg: 995885, D Avg: 86241, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 994: HP: 779, STR: 288424, VIT: 347, SPD: 25, LUK: 1, Attack: 374393, Defense: 86225, Current HP: 779, A Avg: 995885, D Avg: 86225, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 993: HP: 874, STR: 288424, VIT: 408, SPD: 25, LUK: 1, Attack: 374393, Defense: 86286, Current HP: 874, A Avg: 995885, D Avg: 86286, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Mobius Ring(316)[68, 803, 807]]
Rank 992: HP: 874, STR: 288424, VIT: 363, SPD: 25, LUK: 1, Attack: 374393, Defense: 86241, Current HP: 874, A Avg: 995885, D Avg: 86241, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 991: HP: 554, STR: 288849, VIT: 560, SPD: 24, LUK: 1, Attack: 374402, Defense: 84566, Current HP: 554, A Avg: 995909, D Avg: 84566, [Hammer of Justice(186)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 990: HP: 760, STR: 290293, VIT: 337, SPD: 30, LUK: 1, Attack: 374403, Defense: 84681, Current HP: 760, A Avg: 995911, D Avg: 84681, [Serpent(144)[230, 230, 230], V Magnum(238)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 989: HP: 608, STR: 288852, VIT: 552, SPD: 24, LUK: 1, Attack: 374405, Defense: 84441, Current HP: 608, A Avg: 995917, D Avg: 84441, [Hammer of Justice(186)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 988: HP: 988, STR: 288852, VIT: 1155, SPD: 24, LUK: 1, Attack: 374405, Defense: 88723, Current HP: 988, A Avg: 995917, D Avg: 88723, [Hammer of Justice(186)[230, 230, 230], Storm Wall(242)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 987: HP: 1360, STR: 405274, VIT: 684, SPD: 24, LUK: 1, Attack: 490608, Defense: 86796, Current HP: 1360, A Avg: 995934, D Avg: 86796, [Impulse(166)[230, 230, 230], Goblin Hand(250)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 986: HP: 1416, STR: 289400, VIT: 660, SPD: 28, LUK: 1, Attack: 374443, Defense: 86772, Current HP: 1416, A Avg: 996018, D Avg: 86772, [White Snake(160)[230, 230, 230], Goblin Hand(250)[230, 230, 67], Black Box(323)[68, 803, 807]]
