Rank 1000: HP: 750, STR: 289092, VIT: 672, SPD: 32, LUK: 1, Attack: 374645, Defense: 84561, Current HP: 750, A Avg: 996555, D Avg: 84561, [Hammer of Justice(186)[230, 230, 230], Small Lion(219)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 999: HP: 921, STR: 288676, VIT: 515, SPD: 34, LUK: 1, Attack: 374645, Defense: 86393, Current HP: 921, A Avg: 996555, D Avg: 86393, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 998: HP: 921, STR: 288676, VIT: 515, SPD: 34, LUK: 1, Attack: 374645, Defense: 86393, Current HP: 921, A Avg: 996555, D Avg: 86393, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 997: HP: 1026, STR: 405585, VIT: 812, SPD: 32, LUK: 1, Attack: 490919, Defense: 85403, Current HP: 1026, A Avg: 996565, D Avg: 85403, [Impulse(166)[230, 230, 230], Black Hole(229)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 996: HP: 1206, STR: 405585, VIT: 843, SPD: 32, LUK: 1, Attack: 490919, Defense: 87761, Current HP: 1206, A Avg: 996565, D Avg: 87761, [Impulse(166)[230, 230, 230], White Hole(230)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 995: HP: 1102, STR: 288408, VIT: 116, SPD: 32, LUK: 1, Attack: 374650, Defense: 83979, Current HP: 1102, A Avg: 996568, D Avg: 83979, [Droid Hammer(177)[230, 230, 230], Small Sword(218)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 994: HP: 678, STR: 289104, VIT: 680, SPD: 32, LUK: 1, Attack: 374657, Defense: 84686, Current HP: 678, A Avg: 996587, D Avg: 84686, [Hammer of Justice(186)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 993: HP: 969, STR: 406937, VIT: 144, SPD: 34, LUK: 1, Attack: 490937, Defense: 86932, Current HP: 969, A Avg: 996602, D Avg: 86932, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 992: HP: 1263, STR: 406450, VIT: 736, SPD: 32, LUK: 1, Attack: 490950, Defense: 85600, Current HP: 1263, A Avg: 996628, D Avg: 85600, [Divine Dragon Sword(181)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 991: HP: 931, STR: 289848, VIT: 356, SPD: 32, LUK: 1, Attack: 374673, Defense: 85584, Current HP: 931, A Avg: 996630, D Avg: 85584, [Kraken(145)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 990: HP: 526, STR: 290871, VIT: 108, SPD: 32, LUK: 1, Attack: 374687, Defense: 87936, Current HP: 526, A Avg: 996667, D Avg: 87936, [Hand Axe(140)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
