Rank 1000: HP: 1064, STR: 288928, VIT: 539, SPD: 42, LUK: 1, Attack: 374897, Defense: 86417, Current HP: 1064, A Avg: 997226, D Avg: 86417, [Fire Chariot(138)[230, 230, 230], Sticky thread shield(247)[230, 230, 67], Ring of power(314)[68, 803, 807]]
Rank 999: HP: 801, STR: 289359, VIT: 800, SPD: 40, LUK: 1, Attack: 374912, Defense: 84806, Current HP: 801, A Avg: 997265, D Avg: 84806, [Hammer of Justice(186)[230, 230, 230], Small Dragon Sword(224)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 998: HP: 1349, STR: 290274, VIT: 467, SPD: 40, LUK: 1, Attack: 374924, Defense: 85695, Current HP: 1349, A Avg: 997297, D Avg: 85695, [Diamond Knuckle(152)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 997: HP: 2850, STR: 290095, VIT: 710, SPD: 47, LUK: 1, Attack: 374933, Defense: 86627, Current HP: 2850, A Avg: 997321, D Avg: 86627, [Willow Blade(157)[230, 230, 230], Frying Pan(231)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 996: HP: 1324, STR: 289188, VIT: 528, SPD: 40, LUK: 1, Attack: 374936, Defense: 86146, Current HP: 1324, A Avg: 997329, D Avg: 86146, [Scythe of the Grim Reaper(148)[230, 230, 230], Mask of the Grim Reaper(214)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 995: HP: 1687, STR: 289897, VIT: 1191, SPD: 47, LUK: 1, Attack: 374940, Defense: 87992, Current HP: 1687, A Avg: 997340, D Avg: 87992, [White Snake(160)[230, 230, 230], Riot(236)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 994: HP: 1406, STR: 406846, VIT: 846, SPD: 40, LUK: 1, Attack: 491346, Defense: 85710, Current HP: 1406, A Avg: 997432, D Avg: 85710, [Divine Dragon Sword(181)[230, 230, 230], Dragon's Head(217)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 993: HP: 1159, STR: 407357, VIT: 176, SPD: 42, LUK: 1, Attack: 491357, Defense: 86964, Current HP: 1159, A Avg: 997454, D Avg: 86964, [Kirisame(129)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 992: HP: 2000, STR: 290163, VIT: 934, SPD: 47, LUK: 1, Attack: 374988, Defense: 87046, Current HP: 2000, A Avg: 997468, D Avg: 87046, [Kraken(145)[230, 230, 230], Goblin Hand(250)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 991: HP: 1216, STR: 406047, VIT: 988, SPD: 40, LUK: 1, Attack: 491381, Defense: 85579, Current HP: 1216, A Avg: 997503, D Avg: 85579, [Impulse(166)[230, 230, 230], Black Hole(229)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 990: HP: 1444, STR: 406047, VIT: 1027, SPD: 40, LUK: 1, Attack: 491381, Defense: 87945, Current HP: 1444, A Avg: 997503, D Avg: 87945, [Impulse(166)[230, 230, 230], White Hole(230)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 989: HP: 608, STR: 291282, VIT: 86, SPD: 40, LUK: 1, Attack: 375008, Defense: 87914, Current HP: 608, A Avg: 997521, D Avg: 87914, [Wooden Stick(101)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 988: HP: 3059, STR: 289166, VIT: 550, SPD: 40, LUK: 1, Attack: 375018, Defense: 86467, Current HP: 3059, A Avg: 997547, D Avg: 86467, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 66], The Third Eye(322)[67, 68, 807]]
Rank 987: HP: 3059, STR: 289166, VIT: 550, SPD: 40, LUK: 1, Attack: 375018, Defense: 86467, Current HP: 3059, A Avg: 997547, D Avg: 86467, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], The Third Eye(322)[68, 803, 807]]
Rank 986: HP: 1596, STR: 290199, VIT: 1105, SPD: 47, LUK: 1, Attack: 375024, Defense: 86099, Current HP: 1596, A Avg: 997563, D Avg: 86099, [Kraken(145)[230, 230, 230], Metalization(228)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 985: HP: 1383, STR: 406492, VIT: 503, SPD: 40, LUK: 1, Attack: 491421, Defense: 86719, Current HP: 1383, A Avg: 997584, D Avg: 86719, [Jack Knife(185)[230, 230, 230], King Shield(248)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 984: HP: 608, STR: 291282, VIT: 86, SPD: 40, LUK: 1, Attack: 375047, Defense: 87914, Current HP: 608, A Avg: 997625, D Avg: 87914, [Club(102)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 983: HP: 608, STR: 291282, VIT: 86, SPD: 40, LUK: 1, Attack: 375050, Defense: 87914, Current HP: 608, A Avg: 997632, D Avg: 87914, [Decorative Swords(109)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 982: HP: 2090, STR: 290131, VIT: 1139, SPD: 47, LUK: 1, Attack: 375054, Defense: 87940, Current HP: 2090, A Avg: 997643, D Avg: 87940, [Pangaea(164)[230, 230, 230], Riot(236)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 981: HP: 1121, STR: 290253, VIT: 428, SPD: 40, LUK: 1, Attack: 375078, Defense: 85656, Current HP: 1121, A Avg: 997707, D Avg: 85656, [Kraken(145)[230, 230, 230], Wave Motion Sword(226)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 980: HP: 1960, STR: 406156, VIT: 1036, SPD: 40, LUK: 1, Attack: 491490, Defense: 87148, Current HP: 1960, A Avg: 997724, D Avg: 87148, [Impulse(166)[230, 230, 230], Goblin Hand(250)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 979: HP: 1406, STR: 407378, VIT: 176, SPD: 42, LUK: 1, Attack: 491499, Defense: 86964, Current HP: 1406, A Avg: 997742, D Avg: 86964, [Black Kirisame(130)[230, 230, 230], C Magnum(239)[230, 230, 230], Ring of power(314)[67, 68, 807]]
Rank 978: HP: 931, STR: 289782, VIT: 332, SPD: 40, LUK: 1, Attack: 375114, Defense: 84520, Current HP: 931, A Avg: 997803, D Avg: 84520, [Tower(149)[230, 230, 230], Dragon Sword(225)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 977: HP: 1558, STR: 406198, VIT: 1213, SPD: 40, LUK: 1, Attack: 491532, Defense: 86207, Current HP: 1558, A Avg: 997809, D Avg: 86207, [Impulse(166)[230, 230, 230], Metalization(228)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 976: HP: 640, STR: 406994, VIT: 219, SPD: 40, LUK: 1, Attack: 491572, Defense: 84238, Current HP: 640, A Avg: 997891, D Avg: 84238, [Magical(187)[230, 230, 230], Prism Shield(212)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 975: HP: 2964, STR: 289310, VIT: 601, SPD: 40, LUK: 1, Attack: 375162, Defense: 86518, Current HP: 2964, A Avg: 997930, D Avg: 86518, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 66], Oculus Ring(315)[67, 803, 807]]
Rank 974: HP: 2964, STR: 289310, VIT: 601, SPD: 40, LUK: 1, Attack: 375162, Defense: 86518, Current HP: 2964, A Avg: 997930, D Avg: 86518, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], Oculus Ring(315)[68, 803, 807]]
Rank 973: HP: 1402, STR: 290134, VIT: 996, SPD: 47, LUK: 1, Attack: 375177, Defense: 85587, Current HP: 1402, A Avg: 997970, D Avg: 85587, [White Snake(160)[230, 230, 230], Black Hole(229)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 972: HP: 1630, STR: 290134, VIT: 1035, SPD: 47, LUK: 1, Attack: 375177, Defense: 87953, Current HP: 1630, A Avg: 997970, D Avg: 87953, [White Snake(160)[230, 230, 230], White Hole(230)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 971: HP: 608, STR: 291354, VIT: 86, SPD: 40, LUK: 1, Attack: 375178, Defense: 87914, Current HP: 608, A Avg: 997973, D Avg: 87914, [Stun Knuckle(106)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
Rank 970: HP: 3192, STR: 289353, VIT: 639, SPD: 40, LUK: 1, Attack: 375205, Defense: 86556, Current HP: 3192, A Avg: 998045, D Avg: 86556, [Santoku(159)[230, 230, 230], Frying Pan(231)[230, 230, 67], Seal of the High King(319)[68, 803, 807]]
Rank 969: HP: 988, STR: 405183, VIT: 969, SPD: 42, LUK: 1, Attack: 491672, Defense: 85391, Current HP: 988, A Avg: 998094, D Avg: 85391, [Cuttlefish(178)[230, 230, 230], Superconducting Barrier(220)[230, 230, 230], Oculus Ring(315)[230, 67, 807]]
Rank 968: HP: 1235, STR: 291121, VIT: 561, SPD: 50, LUK: 1, Attack: 375231, Defense: 84905, Current HP: 1235, A Avg: 998114, D Avg: 84905, [Serpent(144)[230, 230, 230], V Magnum(238)[230, 230, 67], Black Box(323)[68, 803, 807]]
Rank 967: HP: 608, STR: 406904, VIT: 624, SPD: 42, LUK: 1, Attack: 491692, Defense: 84760, Current HP: 608, A Avg: 998134, D Avg: 84760, [Pulse Knife(165)[230, 230, 230], Magnum(237)[230, 230, 230], Mobius Ring(316)[67, 68, 807]]
Rank 966: HP: 621, STR: 291441, VIT: 124, SPD: 40, LUK: 1, Attack: 375257, Defense: 87952, Current HP: 621, A Avg: 998183, D Avg: 87952, [Hand Axe(140)[230, 230, 230], Black Sword Breath(252)[230, 230, 230], The Third Eye(322)[67, 68, 807]]
