Rank 1000: HP: 1560, STR: 500046, VIT: 468, SPD: 48, LUK: 1, Attack: 584169, Defense: 86580, Current HP: 1560, A Avg: 1109921, D Avg: 86580, [Pinpoint(112)[630, 630, 630], Goblin Hand(250)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 999: HP: 1497, STR: 332348, VIT: 447, SPD: 48, LUK: 1, Attack: 417277, Defense: 86663, Current HP: 1497, A Avg: 1109956, D Avg: 86663, [Jack Knife(185)[630, 630, 630], King Shield(248)[630, 630, 67], Ring of power(314)[68, 803, 807]]
Rank 998: HP: 1083, STR: 500085, VIT: 601, SPD: 48, LUK: 1, Attack: 584208, Defense: 85595, Current HP: 1083, A Avg: 1109995, D Avg: 85595, [Pinpoint(112)[630, 630, 630], Metalization(228)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 997: HP: 1620, STR: 332251, VIT: 862, SPD: 60, LUK: 1, Attack: 417294, Defense: 84998, Current HP: 1620, A Avg: 1110002, D Avg: 84998, [White Snake(160)[630, 630, 630], Magnum(237)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 996: HP: 1254, STR: 333030, VIT: 249, SPD: 48, LUK: 1, Attack: 417348, Defense: 88077, Current HP: 1254, A Avg: 1110145, D Avg: 88077, [Ruby Knuckle(151)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 995: HP: 1035, STR: 330297, VIT: 195, SPD: 48, LUK: 1, Attack: 417348, Defense: 84084, Current HP: 1035, A Avg: 1110145, D Avg: 84084, [Tekken(188)[630, 630, 630], Small Lion(219)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 994: HP: 1016, STR: 331827, VIT: 1016, SPD: 48, LUK: 1, Attack: 417380, Defense: 86244, Current HP: 1016, A Avg: 1110230, D Avg: 86244, [Hammer of Justice(186)[630, 630, 630], Wave Motion Sword(226)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 993: HP: 2679, STR: 462085, VIT: 447, SPD: 48, LUK: 1, Attack: 546923, Defense: 86364, Current HP: 2679, A Avg: 1110253, D Avg: 86364, [Willow Blade(157)[630, 630, 630], Frying Pan(231)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 992: HP: 925, STR: 330339, VIT: 203, SPD: 48, LUK: 1, Attack: 417390, Defense: 84209, Current HP: 925, A Avg: 1110257, D Avg: 84209, [Tekken(188)[630, 630, 630], Small Dragon Sword(224)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 991: HP: 1548, STR: 332902, VIT: 957, SPD: 48, LUK: 1, Attack: 417402, Defense: 85821, Current HP: 1548, A Avg: 1110289, D Avg: 85821, [Divine Dragon Sword(181)[630, 630, 630], Dragon's Head(217)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 990: HP: 1548, STR: 332902, VIT: 957, SPD: 48, LUK: 1, Attack: 417402, Defense: 85821, Current HP: 1548, A Avg: 1110289, D Avg: 85821, [Divine Dragon Sword(181)[630, 630, 630], Dragon's Head(217)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
Rank 989: HP: 1377, STR: 462209, VIT: 1650, SPD: 48, LUK: 1, Attack: 546943, Defense: 88438, Current HP: 1377, A Avg: 1110294, D Avg: 88438, [Irruption(154)[630, 630, 630], Golem Shield(245)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 988: HP: 1656, STR: 461882, VIT: 329, SPD: 48, LUK: 1, Attack: 546980, Defense: 84257, Current HP: 1656, A Avg: 1110369, D Avg: 84257, [Yggdrasil(126)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 987: HP: 1340, STR: 499757, VIT: 907, SPD: 48, LUK: 1, Attack: 584407, Defense: 87695, Current HP: 1340, A Avg: 1110373, D Avg: 87695, [Diamond Knuckle(152)[630, 630, 630], Energy Shield(227)[630, 630, 630], The Third Eye(322)[630, 68, 807]]
Rank 986: HP: 1225, STR: 330951, VIT: 1073, SPD: 51, LUK: 1, Attack: 417440, Defense: 85495, Current HP: 1225, A Avg: 1110390, D Avg: 85495, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 985: HP: 1225, STR: 330951, VIT: 1073, SPD: 51, LUK: 1, Attack: 417440, Defense: 85495, Current HP: 1225, A Avg: 1110390, D Avg: 85495, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 984: HP: 1453, STR: 332632, VIT: 728, SPD: 60, LUK: 1, Attack: 417457, Defense: 85072, Current HP: 1453, A Avg: 1110435, D Avg: 85072, [Kraken(145)[630, 630, 630], V Magnum(238)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 983: HP: 1900, STR: 333467, VIT: 672, SPD: 60, LUK: 1, Attack: 417467, Defense: 87460, Current HP: 1900, A Avg: 1110462, D Avg: 87460, [Kirisame(129)[630, 630, 630], C Magnum(239)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 982: HP: 2774, STR: 462197, VIT: 494, SPD: 48, LUK: 1, Attack: 547035, Defense: 86411, Current HP: 2774, A Avg: 1110481, D Avg: 86411, [Willow Blade(157)[630, 630, 630], Frying Pan(231)[630, 630, 630], Mobius Ring(316)[67, 68, 807]]
Rank 981: HP: 1919, STR: 462139, VIT: 943, SPD: 48, LUK: 1, Attack: 547062, Defense: 87744, Current HP: 1919, A Avg: 1110535, D Avg: 87744, [Pangaea(164)[630, 630, 630], Riot(236)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 980: HP: 1776, STR: 332999, VIT: 1020, SPD: 48, LUK: 1, Attack: 417499, Defense: 85884, Current HP: 1776, A Avg: 1110547, D Avg: 85884, [Divine Dragon Sword(181)[630, 630, 630], Dragon's Head(217)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 979: HP: 1240, STR: 330987, VIT: 1462, SPD: 57, LUK: 1, Attack: 417515, Defense: 88250, Current HP: 1240, A Avg: 1110589, D Avg: 88250, [Moon Knuckle(153)[630, 630, 630], Energy Shield(227)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 978: HP: 703, STR: 332682, VIT: 94, SPD: 48, LUK: 1, Attack: 417523, Defense: 87922, Current HP: 703, A Avg: 1110611, D Avg: 87922, [Grand Slam(163)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 977: HP: 1016, STR: 333045, VIT: 195, SPD: 48, LUK: 1, Attack: 417558, Defense: 88023, Current HP: 1016, A Avg: 1110704, D Avg: 88023, [Maximum Iron Mass(123)[630, 630, 630], Black Sword Breath(252)[630, 630, 630], The Third Eye(322)[67, 68, 807]]
Rank 976: HP: 1130, STR: 331095, VIT: 1121, SPD: 51, LUK: 1, Attack: 417584, Defense: 85543, Current HP: 1130, A Avg: 1110773, D Avg: 85543, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
Rank 975: HP: 1130, STR: 331095, VIT: 1121, SPD: 51, LUK: 1, Attack: 417584, Defense: 85543, Current HP: 1130, A Avg: 1110773, D Avg: 85543, [Cuttlefish(178)[630, 630, 630], Superconducting Barrier(220)[630, 630, 67], Oculus Ring(315)[68, 803, 807]]
