Rank 1000: HP: 1155, STR: 540554, VIT: 806, SPD: 56, LUK: 1, Attack: 624976, Defense: 87646, Current HP: 1155, A Avg: 1268701, D Avg: 87646, [Dreaming Sword(128)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 999: HP: 3820, STR: 389267, VIT: 2089, SPD: 56, LUK: 1, Attack: 477095, Defense: 89514, Current HP: 3820, A Avg: 1269072, D Avg: 89514, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 998: HP: 3720, STR: 389267, VIT: 2073, SPD: 56, LUK: 1, Attack: 477095, Defense: 89498, Current HP: 3720, A Avg: 1269072, D Avg: 89498, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Petit Magic Circle(308)[68, 803, 807]]
Rank 997: HP: 3820, STR: 389267, VIT: 2198, SPD: 56, LUK: 1, Attack: 477095, Defense: 89623, Current HP: 3820, A Avg: 1269072, D Avg: 89623, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Mobius Ring(316)[68, 803, 807]]
Rank 996: HP: 3820, STR: 389267, VIT: 2089, SPD: 56, LUK: 1, Attack: 477095, Defense: 89514, Current HP: 3820, A Avg: 1269072, D Avg: 89514, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 995: HP: 2204, STR: 391226, VIT: 1408, SPD: 66, LUK: 1, Attack: 477104, Defense: 86142, Current HP: 2204, A Avg: 1269096, D Avg: 86142, [Blue Sword(180)[630, 630, 630], Slafield(232)[630, 630, 67], Black Box(323)[68, 803, 807]]
Rank 994: HP: 1520, STR: 540666, VIT: 804, SPD: 56, LUK: 1, Attack: 625179, Defense: 87839, Current HP: 1520, A Avg: 1269113, D Avg: 87839, [Maximum Iron Mass(123)[630, 630, 630], Warrior's Shield(249)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 993: HP: 1599, STR: 541001, VIT: 132, SPD: 56, LUK: 1, Attack: 625189, Defense: 84060, Current HP: 1599, A Avg: 1269133, D Avg: 84060, [Sword of the Spirit Tree(125)[630, 630, 630], Hardwood Shield(223)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 992: HP: 4408, STR: 391348, VIT: 1568, SPD: 56, LUK: 1, Attack: 477161, Defense: 91346, Current HP: 4408, A Avg: 1269248, D Avg: 91346, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 66], The Third Eye(322)[67, 68, 807]]
Rank 991: HP: 4408, STR: 391348, VIT: 1568, SPD: 56, LUK: 1, Attack: 477161, Defense: 91346, Current HP: 4408, A Avg: 1269248, D Avg: 91346, [Spear of Regression(182)[630, 630, 630], Blank Shield(244)[630, 630, 67], The Third Eye(322)[68, 803, 807]]
Rank 990: HP: 1155, STR: 540850, VIT: 726, SPD: 56, LUK: 1, Attack: 625272, Defense: 87566, Current HP: 1155, A Avg: 1269302, D Avg: 87566, [Dreaming Sword(128)[630, 630, 630], Aurora Shield(240)[630, 630, 630], Ring of power(314)[67, 68, 807]]
Rank 989: HP: 1520, STR: 540792, VIT: 2012, SPD: 56, LUK: 1, Attack: 625305, Defense: 88800, Current HP: 1520, A Avg: 1269369, D Avg: 88800, [Volcano(142)[630, 630, 630], Golem Shield(245)[630, 630, 630], Oculus Ring(315)[630, 67, 807]]
Rank 988: HP: 3720, STR: 389411, VIT: 2137, SPD: 56, LUK: 1, Attack: 477239, Defense: 89562, Current HP: 3720, A Avg: 1269455, D Avg: 89562, [Stargazer(183)[630, 630, 630], Cloud Shield(241)[630, 630, 66], Oculus Ring(315)[67, 803, 807]]
