Rank 1000: HP: 1080, STR: 449193, VIT: 265, SPD: 64, LUK: 1, Attack: 536854, Defense: 83988, Current HP: 1080, A Avg: 1428031, D Avg: 83988, [Neural Edge(190)[630, 630, 630], Pot Lid(201)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 999: HP: 1080, STR: 449193, VIT: 265, SPD: 64, LUK: 1, Attack: 536854, Defense: 83998, Current HP: 1080, A Avg: 1428031, D Avg: 83998, [Neural Edge(190)[630, 630, 630], High Pot Lid(202)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 998: HP: 1026, STR: 449193, VIT: 290, SPD: 64, LUK: 1, Attack: 536854, Defense: 84159, Current HP: 1026, A Avg: 1428031, D Avg: 84159, [Neural Edge(190)[630, 630, 630], Wooden Shield(203)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 997: HP: 1026, STR: 449193, VIT: 295, SPD: 64, LUK: 1, Attack: 536854, Defense: 84099, Current HP: 1026, A Avg: 1428031, D Avg: 84099, [Neural Edge(190)[630, 630, 630], Iron Shield(204)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 996: HP: 1026, STR: 449193, VIT: 348, SPD: 64, LUK: 1, Attack: 536854, Defense: 84211, Current HP: 1026, A Avg: 1428031, D Avg: 84211, [Neural Edge(190)[630, 630, 630], Titanium Shield(205)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 995: HP: 1026, STR: 449193, VIT: 365, SPD: 64, LUK: 1, Attack: 536854, Defense: 84254, Current HP: 1026, A Avg: 1428031, D Avg: 84254, [Neural Edge(190)[630, 630, 630], Large iron Shield(206)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 994: HP: 1080, STR: 449193, VIT: 398, SPD: 64, LUK: 1, Attack: 536854, Defense: 84274, Current HP: 1080, A Avg: 1428031, D Avg: 84274, [Neural Edge(190)[630, 630, 630], Magic Shield(207)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 993: HP: 1415, STR: 449193, VIT: 481, SPD: 64, LUK: 1, Attack: 536854, Defense: 84318, Current HP: 1415, A Avg: 1428031, D Avg: 84318, [Neural Edge(190)[630, 630, 630], Emerald Shield(209)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 992: HP: 1140, STR: 449193, VIT: 336, SPD: 64, LUK: 1, Attack: 536854, Defense: 84108, Current HP: 1140, A Avg: 1428031, D Avg: 84108, [Neural Edge(190)[630, 630, 630], Clear Shield(211)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 991: HP: 1180, STR: 449193, VIT: 398, SPD: 64, LUK: 1, Attack: 536854, Defense: 84417, Current HP: 1180, A Avg: 1428031, D Avg: 84417, [Neural Edge(190)[630, 630, 630], Prism Shield(212)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 990: HP: 1102, STR: 449193, VIT: 357, SPD: 64, LUK: 1, Attack: 536854, Defense: 84285, Current HP: 1102, A Avg: 1428031, D Avg: 84285, [Neural Edge(190)[630, 630, 630], Tower Shield(213)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
