Rank 1000: HP: 1121, STR: 506685, VIT: 329, SPD: 72, LUK: 1, Attack: 594346, Defense: 84133, Current HP: 1121, A Avg: 1580960, D Avg: 84133, [Neural Edge(190)[630, 630, 630], Iron Shield(204)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 999: HP: 1121, STR: 506685, VIT: 391, SPD: 72, LUK: 1, Attack: 594346, Defense: 84254, Current HP: 1121, A Avg: 1580960, D Avg: 84254, [Neural Edge(190)[630, 630, 630], Titanium Shield(205)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 998: HP: 1121, STR: 506685, VIT: 408, SPD: 72, LUK: 1, Attack: 594346, Defense: 84297, Current HP: 1121, A Avg: 1580960, D Avg: 84297, [Neural Edge(190)[630, 630, 630], Large iron Shield(206)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 997: HP: 1180, STR: 506685, VIT: 446, SPD: 72, LUK: 1, Attack: 594346, Defense: 84322, Current HP: 1180, A Avg: 1580960, D Avg: 84322, [Neural Edge(190)[630, 630, 630], Magic Shield(207)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 996: HP: 1558, STR: 506685, VIT: 540, SPD: 72, LUK: 1, Attack: 594346, Defense: 84377, Current HP: 1558, A Avg: 1580960, D Avg: 84377, [Neural Edge(190)[630, 630, 630], Emerald Shield(209)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 995: HP: 1240, STR: 506685, VIT: 376, SPD: 72, LUK: 1, Attack: 594346, Defense: 84148, Current HP: 1240, A Avg: 1580960, D Avg: 84148, [Neural Edge(190)[630, 630, 630], Clear Shield(211)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 994: HP: 1280, STR: 506685, VIT: 446, SPD: 72, LUK: 1, Attack: 594346, Defense: 84465, Current HP: 1280, A Avg: 1580960, D Avg: 84465, [Neural Edge(190)[630, 630, 630], Prism Shield(212)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 993: HP: 1197, STR: 506685, VIT: 399, SPD: 72, LUK: 1, Attack: 594346, Defense: 84327, Current HP: 1197, A Avg: 1580960, D Avg: 84327, [Neural Edge(190)[630, 630, 630], Tower Shield(213)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 992: HP: 1896, STR: 506685, VIT: 665, SPD: 72, LUK: 1, Attack: 594346, Defense: 85227, Current HP: 1896, A Avg: 1580960, D Avg: 85227, [Neural Edge(190)[630, 630, 630], Slime Shield(221)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 991: HP: 1827, STR: 506685, VIT: 391, SPD: 72, LUK: 1, Attack: 594346, Defense: 84319, Current HP: 1827, A Avg: 1580960, D Avg: 84319, [Neural Edge(190)[630, 630, 630], Hardwood Shield(223)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 990: HP: 1180, STR: 506685, VIT: 1030, SPD: 72, LUK: 1, Attack: 594346, Defense: 87818, Current HP: 1180, A Avg: 1580960, D Avg: 87818, [Neural Edge(190)[630, 630, 630], Energy Shield(227)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 989: HP: 3325, STR: 506685, VIT: 316, SPD: 72, LUK: 1, Attack: 594346, Defense: 86233, Current HP: 3325, A Avg: 1580960, D Avg: 86233, [Neural Edge(190)[630, 630, 630], Frying Pan(231)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 988: HP: 2124, STR: 506685, VIT: 752, SPD: 72, LUK: 1, Attack: 594346, Defense: 85486, Current HP: 2124, A Avg: 1580960, D Avg: 85486, [Neural Edge(190)[630, 630, 630], Slafield(232)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 987: HP: 1760, STR: 506685, VIT: 665, SPD: 72, LUK: 1, Attack: 594346, Defense: 86140, Current HP: 1760, A Avg: 1580960, D Avg: 86140, [Neural Edge(190)[630, 630, 630], Mist Shield(233)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 986: HP: 1311, STR: 506685, VIT: 1064, SPD: 72, LUK: 1, Attack: 594346, Defense: 86032, Current HP: 1311, A Avg: 1580960, D Avg: 86032, [Neural Edge(190)[630, 630, 630], Huge Shield(234)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 985: HP: 1235, STR: 506685, VIT: 1113, SPD: 72, LUK: 1, Attack: 594346, Defense: 87953, Current HP: 1235, A Avg: 1580960, D Avg: 87953, [Neural Edge(190)[630, 630, 630], Aurora Shield(240)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 984: HP: 2500, STR: 506685, VIT: 931, SPD: 72, LUK: 1, Attack: 594346, Defense: 88356, Current HP: 2500, A Avg: 1580960, D Avg: 88356, [Neural Edge(190)[630, 630, 630], Cloud Shield(241)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
Rank 983: HP: 1121, STR: 506685, VIT: 297, SPD: 72, LUK: 1, Attack: 594346, Defense: 87086, Current HP: 1121, A Avg: 1580960, D Avg: 87086, [Neural Edge(190)[630, 630, 630], Graffiti(243)[630, 630, 67], Seal of the High King(319)[68, 803, 807]]
