Rank 1000: HP: 171, STR: 101, VIT: 48, SPD: 1, LUK: 1, Attack: 84107, Defense: 89826, Current HP: 171, A Avg: 90415, D Avg: 89826, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 999: HP: 290, STR: 44, VIT: 48, SPD: 1, LUK: 1, Attack: 84557, Defense: 89826, Current HP: 290, A Avg: 88784, D Avg: 89826, [Maximum Iron Mass[123, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 998: HP: 123, STR: 16, VIT: 48, SPD: 2, LUK: 1, Attack: 84009, Defense: 89826, Current HP: 123, A Avg: 88209, D Avg: 89826, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 997: HP: 161, STR: 77, VIT: 48, SPD: 1, LUK: 1, Attack: 84070, Defense: 89826, Current HP: 161, A Avg: 88273, D Avg: 89826, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 996: HP: 161, STR: 87, VIT: 48, SPD: 1, LUK: 1, Attack: 84080, Defense: 89826, Current HP: 161, A Avg: 90386, D Avg: 89826, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 995: HP: 133, STR: 38, VIT: 48, SPD: 2, LUK: 1, Attack: 84226, Defense: 89826, Current HP: 133, A Avg: 88437, D Avg: 89826, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 994: HP: 171, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 84291, Defense: 89826, Current HP: 171, A Avg: 88505, D Avg: 89826, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 993: HP: 171, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 84291, Defense: 89826, Current HP: 171, A Avg: 90612, D Avg: 89826, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 992: HP: 95, STR: 44, VIT: 48, SPD: 2, LUK: 1, Attack: 85142, Defense: 89826, Current HP: 95, A Avg: 89399, D Avg: 89826, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 991: HP: 95, STR: 48, VIT: 48, SPD: 1, LUK: 2, Attack: 85146, Defense: 89826, Current HP: 95, A Avg: 89403, D Avg: 89826, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 990: HP: 76, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 85201, Defense: 89826, Current HP: 76, A Avg: 89461, D Avg: 89826, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 989: HP: 123, STR: 24, VIT: 48, SPD: 2, LUK: 1, Attack: 84023, Defense: 89826, Current HP: 123, A Avg: 88224, D Avg: 89826, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 988: HP: 161, STR: 90, VIT: 48, SPD: 1, LUK: 1, Attack: 84089, Defense: 89826, Current HP: 161, A Avg: 88293, D Avg: 89826, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 987: HP: 161, STR: 101, VIT: 48, SPD: 1, LUK: 1, Attack: 84100, Defense: 89826, Current HP: 161, A Avg: 90407, D Avg: 89826, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 986: HP: 129, STR: 34, VIT: 48, SPD: 2, LUK: 1, Attack: 84456, Defense: 89826, Current HP: 129, A Avg: 88678, D Avg: 89826, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 985: HP: 167, STR: 98, VIT: 48, SPD: 1, LUK: 1, Attack: 84520, Defense: 89826, Current HP: 167, A Avg: 88746, D Avg: 89826, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 984: HP: 167, STR: 98, VIT: 48, SPD: 1, LUK: 1, Attack: 84520, Defense: 89826, Current HP: 167, A Avg: 90859, D Avg: 89826, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 983: HP: 133, STR: 32, VIT: 48, SPD: 2, LUK: 1, Attack: 83807, Defense: 89826, Current HP: 133, A Avg: 87997, D Avg: 89826, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 982: HP: 171, STR: 103, VIT: 48, SPD: 1, LUK: 1, Attack: 83878, Defense: 89826, Current HP: 171, A Avg: 88071, D Avg: 89826, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
