Rank 1000: HP: 247, STR: 278, VIT: 233, SPD: 8, LUK: 1, Attack: 86806, Defense: 90011, Current HP: 247, A Avg: 93316, D Avg: 90011, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 999: HP: 285, STR: 326, VIT: 233, SPD: 8, LUK: 1, Attack: 85164, Defense: 90011, Current HP: 285, A Avg: 89422, D Avg: 90011, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 998: HP: 456, STR: 192, VIT: 233, SPD: 8, LUK: 1, Attack: 85115, Defense: 90011, Current HP: 456, A Avg: 89370, D Avg: 90011, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 997: HP: 190, STR: 292, VIT: 233, SPD: 12, LUK: 1, Attack: 86170, Defense: 90011, Current HP: 190, A Avg: 90478, D Avg: 90011, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 996: HP: 228, STR: 452, VIT: 233, SPD: 8, LUK: 1, Attack: 86330, Defense: 90011, Current HP: 228, A Avg: 92804, D Avg: 90011, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 995: HP: 190, STR: 105, VIT: 233, SPD: 12, LUK: 1, Attack: 84943, Defense: 90011, Current HP: 190, A Avg: 89190, D Avg: 90011, [Classic[168, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 994: HP: 228, STR: 223, VIT: 233, SPD: 8, LUK: 1, Attack: 85061, Defense: 90011, Current HP: 228, A Avg: 91440, D Avg: 90011, [Classic[168, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 993: HP: 247, STR: 152, VIT: 233, SPD: 12, LUK: 1, Attack: 84886, Defense: 90011, Current HP: 247, A Avg: 89130, D Avg: 90011, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 992: HP: 285, STR: 259, VIT: 233, SPD: 8, LUK: 1, Attack: 84993, Defense: 90011, Current HP: 285, A Avg: 91367, D Avg: 90011, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 991: HP: 461, STR: 263, VIT: 234, SPD: 9, LUK: 1, Attack: 85101, Defense: 90012, Current HP: 461, A Avg: 89356, D Avg: 90012, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 990: HP: 650, STR: 184, VIT: 234, SPD: 9, LUK: 1, Attack: 85107, Defense: 90012, Current HP: 650, A Avg: 89362, D Avg: 90012, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
