Rank 1000: HP: 399, STR: 566, VIT: 462, SPD: 19, LUK: 1, Attack: 85222, Defense: 90240, Current HP: 399, A Avg: 89483, D Avg: 90240, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 999: HP: 399, STR: 283, VIT: 462, SPD: 19, LUK: 1, Attack: 85124, Defense: 90240, Current HP: 399, A Avg: 89380, D Avg: 90240, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 998: HP: 589, STR: 283, VIT: 462, SPD: 19, LUK: 1, Attack: 85251, Defense: 90240, Current HP: 589, A Avg: 89513, D Avg: 90240, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 997: HP: 969, STR: 283, VIT: 462, SPD: 19, LUK: 1, Attack: 92469, Defense: 90240, Current HP: 969, A Avg: 97092, D Avg: 90240, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 996: HP: 1425, STR: 283, VIT: 462, SPD: 19, LUK: 1, Attack: 85336, Defense: 90240, Current HP: 1425, A Avg: 89602, D Avg: 90240, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 995: HP: 969, STR: 283, VIT: 462, SPD: 19, LUK: 1, Attack: 86525, Defense: 90240, Current HP: 969, A Avg: 90851, D Avg: 90240, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 994: HP: 660, STR: 366, VIT: 462, SPD: 16, LUK: 2, Attack: 86244, Defense: 90240, Current HP: 660, A Avg: 90556, D Avg: 90240, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 993: HP: 456, STR: 777, VIT: 462, SPD: 16, LUK: 1, Attack: 86655, Defense: 90240, Current HP: 456, A Avg: 90987, D Avg: 90240, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 992: HP: 456, STR: 395, VIT: 462, SPD: 16, LUK: 2, Attack: 86273, Defense: 90240, Current HP: 456, A Avg: 90586, D Avg: 90240, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 991: HP: 616, STR: 510, VIT: 462, SPD: 16, LUK: 2, Attack: 86050, Defense: 90240, Current HP: 616, A Avg: 90352, D Avg: 90240, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 990: HP: 418, STR: 1633, VIT: 462, SPD: 16, LUK: 1, Attack: 87173, Defense: 90240, Current HP: 418, A Avg: 91531, D Avg: 90240, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
