Rank 1000: HP: 570, STR: 742, VIT: 697, SPD: 24, LUK: 1, Attack: 85580, Defense: 90475, Current HP: 570, A Avg: 89859, D Avg: 90475, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 999: HP: 931, STR: 478, VIT: 697, SPD: 24, LUK: 1, Attack: 85401, Defense: 90475, Current HP: 931, A Avg: 89671, D Avg: 90475, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 998: HP: 380, STR: 976, VIT: 697, SPD: 38, LUK: 1, Attack: 86854, Defense: 90475, Current HP: 380, A Avg: 91196, D Avg: 90475, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 997: HP: 418, STR: 1388, VIT: 697, SPD: 24, LUK: 1, Attack: 87266, Defense: 90475, Current HP: 418, A Avg: 93810, D Avg: 90475, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 996: HP: 671, STR: 224, VIT: 698, SPD: 27, LUK: 1, Attack: 84412, Defense: 90476, Current HP: 671, A Avg: 88632, D Avg: 90476, [Cagliostro[133, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 995: HP: 619, STR: 397, VIT: 703, SPD: 27, LUK: 1, Attack: 84507, Defense: 90481, Current HP: 619, A Avg: 88732, D Avg: 90481, [Windmill[137, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 994: HP: 512, STR: 426, VIT: 703, SPD: 25, LUK: 1, Attack: 84536, Defense: 90481, Current HP: 512, A Avg: 105670, D Avg: 90481, [Dragon Killer[139, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 993: HP: 500, STR: 432, VIT: 703, SPD: 25, LUK: 1, Attack: 84945, Defense: 90481, Current HP: 500, A Avg: 106181, D Avg: 90481, [Volcano[142, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 992: HP: 608, STR: 341, VIT: 705, SPD: 27, LUK: 1, Attack: 84341, Defense: 90483, Current HP: 608, A Avg: 88558, D Avg: 90483, [Kirisame[129, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 991: HP: 776, STR: 355, VIT: 705, SPD: 27, LUK: 1, Attack: 84476, Defense: 90483, Current HP: 776, A Avg: 88699, D Avg: 90483, [Black Kirisame[130, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 990: HP: 764, STR: 470, VIT: 705, SPD: 27, LUK: 1, Attack: 86218, Defense: 90483, Current HP: 764, A Avg: 90528, D Avg: 90483, [Scythe of the Grim Reaper[148, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 989: HP: 520, STR: 426, VIT: 705, SPD: 25, LUK: 1, Attack: 86395, Defense: 90483, Current HP: 520, A Avg: 107993, D Avg: 90483, [Fire Chariot[138, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 988: HP: 797, STR: 355, VIT: 707, SPD: 27, LUK: 1, Attack: 84465, Defense: 90485, Current HP: 797, A Avg: 88688, D Avg: 90485, [Serpent[144, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 987: HP: 500, STR: 648, VIT: 707, SPD: 25, LUK: 1, Attack: 85382, Defense: 90485, Current HP: 500, A Avg: 106727, D Avg: 90485, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 986: HP: 589, STR: 426, VIT: 710, SPD: 28, LUK: 1, Attack: 84152, Defense: 90488, Current HP: 589, A Avg: 88359, D Avg: 90488, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 985: HP: 589, STR: 426, VIT: 710, SPD: 28, LUK: 1, Attack: 84191, Defense: 90488, Current HP: 589, A Avg: 88400, D Avg: 90488, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 984: HP: 589, STR: 434, VIT: 710, SPD: 28, LUK: 1, Attack: 84206, Defense: 90488, Current HP: 589, A Avg: 88416, D Avg: 90488, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 983: HP: 589, STR: 475, VIT: 710, SPD: 28, LUK: 1, Attack: 84286, Defense: 90488, Current HP: 589, A Avg: 88500, D Avg: 90488, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 982: HP: 589, STR: 499, VIT: 710, SPD: 28, LUK: 1, Attack: 84271, Defense: 90488, Current HP: 589, A Avg: 88484, D Avg: 90488, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 981: HP: 589, STR: 462, VIT: 710, SPD: 28, LUK: 1, Attack: 84286, Defense: 90488, Current HP: 589, A Avg: 88500, D Avg: 90488, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 980: HP: 589, STR: 512, VIT: 710, SPD: 28, LUK: 1, Attack: 84355, Defense: 90488, Current HP: 589, A Avg: 88572, D Avg: 90488, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 979: HP: 608, STR: 512, VIT: 710, SPD: 28, LUK: 1, Attack: 84401, Defense: 90488, Current HP: 608, A Avg: 88621, D Avg: 90488, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 978: HP: 589, STR: 426, VIT: 710, SPD: 28, LUK: 1, Attack: 84194, Defense: 90488, Current HP: 589, A Avg: 88403, D Avg: 90488, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 977: HP: 589, STR: 538, VIT: 710, SPD: 28, LUK: 1, Attack: 84661, Defense: 90488, Current HP: 589, A Avg: 88894, D Avg: 90488, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 976: HP: 608, STR: 548, VIT: 710, SPD: 28, LUK: 1, Attack: 84554, Defense: 90488, Current HP: 608, A Avg: 88781, D Avg: 90488, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 975: HP: 598, STR: 462, VIT: 710, SPD: 28, LUK: 1, Attack: 84455, Defense: 90488, Current HP: 598, A Avg: 88677, D Avg: 90488, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 974: HP: 741, STR: 597, VIT: 710, SPD: 28, LUK: 1, Attack: 84785, Defense: 90488, Current HP: 741, A Avg: 89024, D Avg: 90488, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
