Rank 1000: HP: 840, STR: 626, VIT: 926, SPD: 34, LUK: 1, Attack: 85724, Defense: 90704, Current HP: 840, A Avg: 107155, D Avg: 90704, [Yggdrasil[126, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 999: HP: 650, STR: 583, VIT: 926, SPD: 34, LUK: 1, Attack: 85408, Defense: 90704, Current HP: 650, A Avg: 106760, D Avg: 90704, [Kraken[145, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 998: HP: 710, STR: 510, VIT: 926, SPD: 34, LUK: 1, Attack: 85322, Defense: 90704, Current HP: 710, A Avg: 106652, D Avg: 90704, [Granada[150, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 997: HP: 494, STR: 337, VIT: 929, SPD: 51, LUK: 1, Attack: 86865, Defense: 90707, Current HP: 494, A Avg: 91208, D Avg: 90707, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 996: HP: 532, STR: 669, VIT: 929, SPD: 32, LUK: 1, Attack: 87197, Defense: 90707, Current HP: 532, A Avg: 93736, D Avg: 90707, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 995: HP: 712, STR: 950, VIT: 929, SPD: 32, LUK: 1, Attack: 85788, Defense: 90707, Current HP: 712, A Avg: 90077, D Avg: 90707, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 994: HP: 1168, STR: 621, VIT: 929, SPD: 32, LUK: 1, Attack: 85544, Defense: 90707, Current HP: 1168, A Avg: 89821, D Avg: 90707, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 993: HP: 475, STR: 1318, VIT: 929, SPD: 51, LUK: 1, Attack: 87196, Defense: 90707, Current HP: 475, A Avg: 91555, D Avg: 90707, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 992: HP: 513, STR: 1856, VIT: 929, SPD: 32, LUK: 1, Attack: 87734, Defense: 90707, Current HP: 513, A Avg: 94314, D Avg: 90707, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 991: HP: 726, STR: 523, VIT: 929, SPD: 34, LUK: 1, Attack: 84555, Defense: 90707, Current HP: 726, A Avg: 105693, D Avg: 90707, [Alucard[146, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 990: HP: 3146, STR: 3543, VIT: 936, SPD: 32, LUK: 2, Attack: 89356, Defense: 90714, Current HP: 3146, A Avg: 93823, D Avg: 90714, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 989: HP: 2603, STR: 5158, VIT: 936, SPD: 32, LUK: 1, Attack: 90971, Defense: 90714, Current HP: 2603, A Avg: 95519, D Avg: 90714, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 988: HP: 2603, STR: 3642, VIT: 936, SPD: 32, LUK: 2, Attack: 89455, Defense: 90714, Current HP: 2603, A Avg: 93927, D Avg: 90714, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 987: HP: 776, STR: 294, VIT: 941, SPD: 36, LUK: 1, Attack: 84482, Defense: 90719, Current HP: 776, A Avg: 88706, D Avg: 90719, [Cagliostro[133, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 986: HP: 650, STR: 510, VIT: 941, SPD: 34, LUK: 1, Attack: 84451, Defense: 90719, Current HP: 650, A Avg: 105563, D Avg: 90719, [Rusty Knife[156, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
