Rank 1000: HP: 1112, STR: 579, VIT: 1150, SPD: 45, LUK: 1, Attack: 85092, Defense: 90928, Current HP: 1112, A Avg: 89346, D Avg: 90928, [Maximum Iron Mass[123, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 999: HP: 3192, STR: 3686, VIT: 1152, SPD: 64, LUK: 1, Attack: 89499, Defense: 90930, Current HP: 3192, A Avg: 93973, D Avg: 90930, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 998: HP: 3192, STR: 3712, VIT: 1152, SPD: 40, LUK: 2, Attack: 89525, Defense: 90930, Current HP: 3192, A Avg: 94001, D Avg: 90930, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 997: HP: 3173, STR: 5608, VIT: 1152, SPD: 40, LUK: 1, Attack: 91421, Defense: 90930, Current HP: 3173, A Avg: 95992, D Avg: 90930, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 996: HP: 957, STR: 574, VIT: 1153, SPD: 40, LUK: 1, Attack: 87102, Defense: 90931, Current HP: 957, A Avg: 91457, D Avg: 90931, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 995: HP: 928, STR: 1406, VIT: 1153, SPD: 40, LUK: 1, Attack: 87284, Defense: 90931, Current HP: 928, A Avg: 91648, D Avg: 90931, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 994: HP: 4988, STR: 3699, VIT: 1160, SPD: 40, LUK: 1, Attack: 89512, Defense: 90938, Current HP: 4988, A Avg: 93987, D Avg: 90938, [Spear of Regression[182, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 993: HP: 589, STR: 409, VIT: 1161, SPD: 64, LUK: 1, Attack: 86937, Defense: 90939, Current HP: 589, A Avg: 91283, D Avg: 90939, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 992: HP: 627, STR: 800, VIT: 1161, SPD: 40, LUK: 1, Attack: 87328, Defense: 90939, Current HP: 627, A Avg: 93877, D Avg: 90939, [Moon Knuckle[153, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 991: HP: 855, STR: 1158, VIT: 1161, SPD: 40, LUK: 1, Attack: 85996, Defense: 90939, Current HP: 855, A Avg: 90295, D Avg: 90939, [Willow Blade[157, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 990: HP: 1406, STR: 764, VIT: 1161, SPD: 40, LUK: 1, Attack: 85687, Defense: 90939, Current HP: 1406, A Avg: 89971, D Avg: 90939, [Pangaea[164, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 989: HP: 570, STR: 1660, VIT: 1161, SPD: 64, LUK: 1, Attack: 87538, Defense: 90939, Current HP: 570, A Avg: 91914, D Avg: 90939, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 988: HP: 608, STR: 2324, VIT: 1161, SPD: 40, LUK: 1, Attack: 88202, Defense: 90939, Current HP: 608, A Avg: 94817, D Avg: 90939, [Blue Sword[180, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 987: HP: 800, STR: 591, VIT: 1162, SPD: 42, LUK: 1, Attack: 84532, Defense: 90940, Current HP: 800, A Avg: 105665, D Avg: 90940, [Rusty Knife[156, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
