Rank 1000: HP: 1249, STR: 691, VIT: 1434, SPD: 54, LUK: 1, Attack: 84812, Defense: 91212, Current HP: 1249, A Avg: 89052, D Avg: 91212, [Black Kirisame[130, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 999: HP: 1236, STR: 932, VIT: 1434, SPD: 54, LUK: 1, Attack: 86680, Defense: 91212, Current HP: 1236, A Avg: 91014, D Avg: 91212, [Scythe of the Grim Reaper[148, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 998: HP: 1270, STR: 691, VIT: 1436, SPD: 54, LUK: 1, Attack: 84801, Defense: 91214, Current HP: 1270, A Avg: 89041, D Avg: 91214, [Serpent[144, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 997: HP: 1432, STR: 859, VIT: 1440, SPD: 54, LUK: 1, Attack: 85825, Defense: 91218, Current HP: 1432, A Avg: 90116, D Avg: 91218, [Red Shark[134, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 996: HP: 1532, STR: 677, VIT: 1445, SPD: 54, LUK: 1, Attack: 84995, Defense: 91223, Current HP: 1532, A Avg: 89244, D Avg: 91223, [Ruby Knuckle[151, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 995: HP: 1030, STR: 764, VIT: 1450, SPD: 51, LUK: 1, Attack: 86096, Defense: 91228, Current HP: 1030, A Avg: 107620, D Avg: 91228, [Tower[149, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 994: HP: 1164, STR: 699, VIT: 1451, SPD: 48, LUK: 1, Attack: 85742, Defense: 91229, Current HP: 1164, A Avg: 90029, D Avg: 91229, [White Snake[160, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 993: HP: 1159, STR: 855, VIT: 1454, SPD: 57, LUK: 1, Attack: 84581, Defense: 91232, Current HP: 1159, A Avg: 88810, D Avg: 91232, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 992: HP: 1159, STR: 855, VIT: 1454, SPD: 57, LUK: 1, Attack: 84620, Defense: 91232, Current HP: 1159, A Avg: 88851, D Avg: 91232, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 991: HP: 1159, STR: 863, VIT: 1454, SPD: 57, LUK: 1, Attack: 84635, Defense: 91232, Current HP: 1159, A Avg: 88866, D Avg: 91232, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 990: HP: 1159, STR: 943, VIT: 1454, SPD: 57, LUK: 1, Attack: 84754, Defense: 91232, Current HP: 1159, A Avg: 88991, D Avg: 91232, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 989: HP: 1159, STR: 1006, VIT: 1454, SPD: 57, LUK: 1, Attack: 84778, Defense: 91232, Current HP: 1159, A Avg: 89016, D Avg: 91232, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 988: HP: 1159, STR: 930, VIT: 1454, SPD: 57, LUK: 1, Attack: 84754, Defense: 91232, Current HP: 1159, A Avg: 88991, D Avg: 91232, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 987: HP: 1159, STR: 1019, VIT: 1454, SPD: 57, LUK: 1, Attack: 84862, Defense: 91232, Current HP: 1159, A Avg: 89105, D Avg: 91232, [Battle Scythe[107, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 986: HP: 1178, STR: 1019, VIT: 1454, SPD: 57, LUK: 1, Attack: 84908, Defense: 91232, Current HP: 1178, A Avg: 89153, D Avg: 91232, [Iron Lumps[108, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 985: HP: 1159, STR: 855, VIT: 1454, SPD: 57, LUK: 1, Attack: 84623, Defense: 91232, Current HP: 1159, A Avg: 88854, D Avg: 91232, [Decorative Swords[109, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 984: HP: 1159, STR: 1045, VIT: 1454, SPD: 57, LUK: 1, Attack: 85168, Defense: 91232, Current HP: 1159, A Avg: 89426, D Avg: 91232, [Pinpoint[112, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 983: HP: 1178, STR: 1094, VIT: 1454, SPD: 57, LUK: 1, Attack: 85100, Defense: 91232, Current HP: 1178, A Avg: 89355, D Avg: 91232, [Great Iron Mass[122, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 982: HP: 1168, STR: 930, VIT: 1454, SPD: 57, LUK: 1, Attack: 84923, Defense: 91232, Current HP: 1168, A Avg: 89169, D Avg: 91232, [Sword of Wood[124, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 981: HP: 1453, STR: 1182, VIT: 1454, SPD: 57, LUK: 1, Attack: 85370, Defense: 91232, Current HP: 1453, A Avg: 89638, D Avg: 91232, [Sword of the Spirit Tree[125, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 980: HP: 1168, STR: 1019, VIT: 1454, SPD: 57, LUK: 1, Attack: 85018, Defense: 91232, Current HP: 1168, A Avg: 89268, D Avg: 91232, [Greatsword[127, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 979: HP: 1449, STR: 1102, VIT: 1454, SPD: 57, LUK: 1, Attack: 85524, Defense: 91232, Current HP: 1449, A Avg: 89800, D Avg: 91232, [Dreaming Sword[128, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 978: HP: 1178, STR: 881, VIT: 1454, SPD: 57, LUK: 1, Attack: 84656, Defense: 91232, Current HP: 1178, A Avg: 88888, D Avg: 91232, [Peacemaker[131, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 977: HP: 1216, STR: 855, VIT: 1454, SPD: 57, LUK: 1, Attack: 84757, Defense: 91232, Current HP: 1216, A Avg: 88994, D Avg: 91232, [Daydream[132, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 976: HP: 1900, STR: 1232, VIT: 1454, SPD: 57, LUK: 1, Attack: 86915, Defense: 91232, Current HP: 1900, A Avg: 91260, D Avg: 91232, [Dancing[155, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 975: HP: 1159, STR: 1710, VIT: 1454, SPD: 57, LUK: 1, Attack: 86366, Defense: 91232, Current HP: 1159, A Avg: 90684, D Avg: 91232, [Penetra[161, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 974: HP: 1159, STR: 855, VIT: 1454, SPD: 57, LUK: 1, Attack: 85696, Defense: 91232, Current HP: 1159, A Avg: 89980, D Avg: 91232, [Grand Slam[163, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 973: HP: 1349, STR: 855, VIT: 1454, SPD: 57, LUK: 1, Attack: 85823, Defense: 91232, Current HP: 1349, A Avg: 90114, D Avg: 91232, [Cluster Bomb[170, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 972: HP: 1729, STR: 855, VIT: 1454, SPD: 57, LUK: 1, Attack: 93041, Defense: 91232, Current HP: 1729, A Avg: 97693, D Avg: 91232, [Big Bang[171, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 971: HP: 4465, STR: 855, VIT: 1454, SPD: 57, LUK: 1, Attack: 85908, Defense: 91232, Current HP: 4465, A Avg: 90203, D Avg: 91232, [Common Key[174, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 970: HP: 1729, STR: 855, VIT: 1454, SPD: 57, LUK: 1, Attack: 87097, Defense: 91232, Current HP: 1729, A Avg: 91451, D Avg: 91232, [Droid Hammer[177, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 969: HP: 1100, STR: 1038, VIT: 1454, SPD: 48, LUK: 2, Attack: 86916, Defense: 91232, Current HP: 1100, A Avg: 91261, D Avg: 91232, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 968: HP: 836, STR: 1869, VIT: 1454, SPD: 48, LUK: 1, Attack: 87747, Defense: 91232, Current HP: 836, A Avg: 92134, D Avg: 91232, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 967: HP: 836, STR: 1131, VIT: 1454, SPD: 48, LUK: 2, Attack: 87009, Defense: 91232, Current HP: 836, A Avg: 91359, D Avg: 91232, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 966: HP: 1056, STR: 1502, VIT: 1454, SPD: 48, LUK: 2, Attack: 87042, Defense: 91232, Current HP: 1056, A Avg: 91394, D Avg: 91232, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 965: HP: 798, STR: 4237, VIT: 1454, SPD: 48, LUK: 1, Attack: 89777, Defense: 91232, Current HP: 798, A Avg: 94265, D Avg: 91232, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 964: HP: 798, STR: 1595, VIT: 1454, SPD: 48, LUK: 2, Attack: 87135, Defense: 91232, Current HP: 798, A Avg: 91491, D Avg: 91232, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 963: HP: 1159, STR: 3013, VIT: 1454, SPD: 57, LUK: 1, Attack: 87942, Defense: 91232, Current HP: 1159, A Avg: 92339, D Avg: 91232, [Jack Knife[185, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 962: HP: 1159, STR: 3871, VIT: 1454, SPD: 57, LUK: 1, Attack: 88449, Defense: 91232, Current HP: 1159, A Avg: 92871, D Avg: 91232, [Magical[187, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 961: HP: 1159, STR: 1492, VIT: 1454, SPD: 57, LUK: 1, Attack: 88543, Defense: 91232, Current HP: 1159, A Avg: 92970, D Avg: 91232, [Tekken[188, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 960: HP: 1159, STR: -74470, VIT: 1454, SPD: 57, LUK: 1, Attack: 24796, Defense: 91232, Current HP: 1159, A Avg: 26035, D Avg: 91232, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
