Rank 1000: HP: 1363, STR: 1702, VIT: 1710, SPD: 56, LUK: 1, Attack: 87242, Defense: 91488, Current HP: 1363, A Avg: 91604, D Avg: 91488, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 999: HP: 931, STR: 1702, VIT: 1710, SPD: 101, LUK: 1, Attack: 87242, Defense: 91488, Current HP: 931, A Avg: 91604, D Avg: 109785, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 998: HP: 1535, STR: 1750, VIT: 1710, SPD: 56, LUK: 1, Attack: 87290, Defense: 91488, Current HP: 1535, A Avg: 91654, D Avg: 91488, [Zodiac[184, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 997: HP: 1672, STR: 1281, VIT: 1712, SPD: 66, LUK: 1, Attack: 85248, Defense: 91490, Current HP: 1672, A Avg: 89510, D Avg: 91490, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 996: HP: 1358, STR: 1175, VIT: 1718, SPD: 66, LUK: 1, Attack: 85018, Defense: 91496, Current HP: 1358, A Avg: 89268, D Avg: 91496, [Salamander[110, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 995: HP: 1349, STR: 1263, VIT: 1718, SPD: 66, LUK: 1, Attack: 85347, Defense: 91496, Current HP: 1349, A Avg: 89614, D Avg: 91496, [Phantom Scythe[116, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 994: HP: 1358, STR: 1175, VIT: 1718, SPD: 66, LUK: 1, Attack: 85047, Defense: 91496, Current HP: 1358, A Avg: 89299, D Avg: 91496, [Undine[118, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 993: HP: 1358, STR: 1175, VIT: 1718, SPD: 66, LUK: 1, Attack: 85074, Defense: 91496, Current HP: 1358, A Avg: 89327, D Avg: 91496, [Sylph[119, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 992: HP: 1358, STR: 1175, VIT: 1718, SPD: 66, LUK: 1, Attack: 85101, Defense: 91496, Current HP: 1358, A Avg: 89356, D Avg: 91496, [Gnome[120, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 991: HP: 950, STR: 1158, VIT: 1718, SPD: 90, LUK: 1, Attack: 87036, Defense: 91496, Current HP: 950, A Avg: 91387, D Avg: 91496, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 990: HP: 950, STR: 1174, VIT: 1718, SPD: 56, LUK: 2, Attack: 87052, Defense: 91496, Current HP: 950, A Avg: 91404, D Avg: 91496, [God Hand[179, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
