Rank 1000: HP: 2118, STR: 725, VIT: 6167, SPD: 64, LUK: 1, Attack: 84666, Defense: 91837, Current HP: 2118, A Avg: 88899, D Avg: 91837, [Rusty Knife[156, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 999: HP: 2204, STR: 987, VIT: 5049, SPD: 64, LUK: 1, Attack: 86540, Defense: 91837, Current HP: 2204, A Avg: 90867, D Avg: 91837, [Hammer of Justice[186, 0, 0, 0], Golem Shield[245, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 998: HP: 1564, STR: 929, VIT: 2071, SPD: 72, LUK: 1, Attack: 86404, Defense: 91849, Current HP: 1564, A Avg: 90724, D Avg: 91849, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 997: HP: 1973, STR: 1176, VIT: 2071, SPD: 72, LUK: 1, Attack: 85826, Defense: 91849, Current HP: 1973, A Avg: 90117, D Avg: 91849, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 996: HP: 1947, STR: 1344, VIT: 2075, SPD: 76, LUK: 1, Attack: 85200, Defense: 91853, Current HP: 1947, A Avg: 89460, D Avg: 91853, [Emerald Sword[115, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 995: HP: 1056, STR: 1222, VIT: 2075, SPD: 64, LUK: 2, Attack: 86010, Defense: 91853, Current HP: 1056, A Avg: 90310, D Avg: 91853, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 994: HP: 798, STR: 2168, VIT: 2075, SPD: 64, LUK: 1, Attack: 86956, Defense: 91853, Current HP: 798, A Avg: 91303, D Avg: 91853, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 993: HP: 798, STR: 1347, VIT: 2075, SPD: 64, LUK: 2, Attack: 86135, Defense: 91853, Current HP: 798, A Avg: 90441, D Avg: 91853, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 992: HP: 1133, STR: 1590, VIT: 2075, SPD: 72, LUK: 1, Attack: 86428, Defense: 91853, Current HP: 1133, A Avg: 90749, D Avg: 91853, [Classic[168, 0, 0, 0], Blank Shield[244, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 991: HP: 1761, STR: 1458, VIT: 2078, SPD: 76, LUK: 1, Attack: 85360, Defense: 91856, Current HP: 1761, A Avg: 89628, D Avg: 91856, [Crossed Shuriken[136, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 990: HP: 1947, STR: 1559, VIT: 2083, SPD: 76, LUK: 1, Attack: 86072, Defense: 91861, Current HP: 1947, A Avg: 90375, D Avg: 91861, [Maximum Iron Mass[123, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 989: HP: 1218, STR: 1174, VIT: 2083, SPD: 64, LUK: 1, Attack: 85962, Defense: 91861, Current HP: 1218, A Avg: 90260, D Avg: 91861, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 988: HP: 836, STR: 1174, VIT: 2083, SPD: 116, LUK: 1, Attack: 85962, Defense: 91861, Current HP: 836, A Avg: 90260, D Avg: 110233, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 987: HP: 1375, STR: 1222, VIT: 2083, SPD: 64, LUK: 1, Attack: 86010, Defense: 91861, Current HP: 1375, A Avg: 90310, D Avg: 91861, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 986: HP: 2118, STR: 668, VIT: 6193, SPD: 64, LUK: 1, Attack: 86143, Defense: 91863, Current HP: 2118, A Avg: 90450, D Avg: 91863, [Elemental[121, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 985: HP: 2489, STR: 817, VIT: 6193, SPD: 64, LUK: 1, Attack: 85467, Defense: 91863, Current HP: 2489, A Avg: 89740, D Avg: 91863, [Diamond Knuckle[152, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 984: HP: 1729, STR: 1069, VIT: 6198, SPD: 64, LUK: 1, Attack: 85907, Defense: 91868, Current HP: 1729, A Avg: 90202, D Avg: 91868, [Classic[168, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 983: HP: 1616, STR: 880, VIT: 5080, SPD: 72, LUK: 1, Attack: 86433, Defense: 91868, Current HP: 1616, A Avg: 90754, D Avg: 91868, [Hammer of Justice[186, 0, 0, 0], Golem Shield[245, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 982: HP: 817, STR: 1174, VIT: 2091, SPD: 103, LUK: 1, Attack: 85962, Defense: 91869, Current HP: 817, A Avg: 90260, D Avg: 91869, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 981: HP: 817, STR: 1190, VIT: 2091, SPD: 64, LUK: 2, Attack: 85978, Defense: 91869, Current HP: 817, A Avg: 90276, D Avg: 91869, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 980: HP: 798, STR: 2186, VIT: 2091, SPD: 64, LUK: 1, Attack: 86974, Defense: 91869, Current HP: 798, A Avg: 91322, D Avg: 91869, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 979: HP: 1363, STR: 1182, VIT: 2099, SPD: 64, LUK: 1, Attack: 85970, Defense: 91877, Current HP: 1363, A Avg: 90268, D Avg: 91877, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Glazed[309, 0, 0, 0]]
