Rank 1000: HP: 2166, STR: 2391, VIT: 2441, SPD: 85, LUK: 1, Attack: 87125, Defense: 92219, Current HP: 2166, A Avg: 91481, D Avg: 92219, [Irruption[154, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 999: HP: 1320, STR: 308, VIT: 2443, SPD: 72, LUK: 1, Attack: 84275, Defense: 92221, Current HP: 1320, A Avg: 88488, D Avg: 92221, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 998: HP: 1311, STR: 316, VIT: 2443, SPD: 72, LUK: 1, Attack: 84283, Defense: 92221, Current HP: 1311, A Avg: 88497, D Avg: 92221, [Phantom Sword[117, 0, 0, 0], Blank Shield[244, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 997: HP: 2010, STR: 1242, VIT: 2449, SPD: 72, LUK: 1, Attack: 86886, Defense: 92227, Current HP: 2010, A Avg: 91230, D Avg: 92227, [Gladius[162, 0, 0, 0], Blank Shield[244, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 996: HP: 1472, STR: 261, VIT: 4664, SPD: 72, LUK: 1, Attack: 84649, Defense: 92232, Current HP: 1472, A Avg: 88881, D Avg: 92232, [Encryption Key[173, 0, 0, 0], Storm Wall[242, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 995: HP: 1463, STR: 365, VIT: 4664, SPD: 72, LUK: 1, Attack: 84753, Defense: 92232, Current HP: 1463, A Avg: 88990, D Avg: 92232, [Encryption Key[173, 0, 0, 0], Storm Wall[242, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 994: HP: 6488, STR: 2131, VIT: 4664, SPD: 72, LUK: 1, Attack: 90013, Defense: 92232, Current HP: 6488, A Avg: 94513, D Avg: 92232, [Wild Card[175, 0, 0, 0], Storm Wall[242, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 993: HP: 6479, STR: 2895, VIT: 4664, SPD: 72, LUK: 1, Attack: 90777, Defense: 92232, Current HP: 6479, A Avg: 95315, D Avg: 92232, [Wild Card[175, 0, 0, 0], Storm Wall[242, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 992: HP: 1472, STR: 1159, VIT: 4664, SPD: 72, LUK: 1, Attack: 86803, Defense: 92232, Current HP: 1472, A Avg: 91143, D Avg: 92232, [Portal Sword[176, 0, 0, 0], Storm Wall[242, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 991: HP: 1463, STR: 1167, VIT: 4664, SPD: 72, LUK: 1, Attack: 86811, Defense: 92232, Current HP: 1463, A Avg: 91151, D Avg: 92232, [Portal Sword[176, 0, 0, 0], Storm Wall[242, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 990: HP: 893, STR: 94, VIT: 2454, SPD: 72, LUK: 1, Attack: 83820, Defense: 92232, Current HP: 893, A Avg: 88011, D Avg: 92232, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 989: HP: 1254, STR: 86, VIT: 2454, SPD: 72, LUK: 1, Attack: 83812, Defense: 92232, Current HP: 1254, A Avg: 88002, D Avg: 92232, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 988: HP: 893, STR: 94, VIT: 2454, SPD: 72, LUK: 1, Attack: 83859, Defense: 92232, Current HP: 893, A Avg: 88051, D Avg: 92232, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 987: HP: 1254, STR: 86, VIT: 2454, SPD: 72, LUK: 1, Attack: 83851, Defense: 92232, Current HP: 1254, A Avg: 88043, D Avg: 92232, [Club[102, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 986: HP: 893, STR: 99, VIT: 2454, SPD: 72, LUK: 1, Attack: 83871, Defense: 92232, Current HP: 893, A Avg: 88064, D Avg: 92232, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 985: HP: 1254, STR: 91, VIT: 2454, SPD: 72, LUK: 1, Attack: 83863, Defense: 92232, Current HP: 1254, A Avg: 88056, D Avg: 92232, [Short Sword[103, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 984: HP: 893, STR: 172, VIT: 2454, SPD: 72, LUK: 1, Attack: 83983, Defense: 92232, Current HP: 893, A Avg: 88182, D Avg: 92232, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 983: HP: 1254, STR: 164, VIT: 2454, SPD: 72, LUK: 1, Attack: 83975, Defense: 92232, Current HP: 1254, A Avg: 88173, D Avg: 92232, [Long Sword[104, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 982: HP: 893, STR: 323, VIT: 2454, SPD: 72, LUK: 1, Attack: 84095, Defense: 92232, Current HP: 893, A Avg: 88299, D Avg: 92232, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 981: HP: 1254, STR: 227, VIT: 2454, SPD: 72, LUK: 1, Attack: 83999, Defense: 92232, Current HP: 1254, A Avg: 88198, D Avg: 92232, [Wasp Knife[105, 0, 0, 0], Blank Shield[244, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 980: HP: 893, STR: 164, VIT: 2454, SPD: 72, LUK: 1, Attack: 83988, Defense: 92232, Current HP: 893, A Avg: 88187, D Avg: 92232, [Stun Knuckle[106, 0, 0, 0], Blank Shield[244, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
