Rank 1000: HP: 2248, STR: 612, VIT: 6949, SPD: 80, LUK: 1, Attack: 85578, Defense: 92619, Current HP: 2248, A Avg: 89856, D Avg: 92619, [Red Shark[134, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 999: HP: 1273, STR: 1164, VIT: 2841, SPD: 129, LUK: 1, Attack: 87653, Defense: 92619, Current HP: 1273, A Avg: 92035, D Avg: 92619, [Cuttlefish[178, 0, 0, 0], Blank Shield[244, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 998: HP: 1311, STR: 1944, VIT: 2841, SPD: 80, LUK: 1, Attack: 88433, Defense: 92619, Current HP: 1311, A Avg: 95065, D Avg: 92619, [Cuttlefish[178, 0, 0, 0], Blank Shield[244, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 997: HP: 2068, STR: 1259, VIT: 5832, SPD: 80, LUK: 1, Attack: 87748, Defense: 92620, Current HP: 2068, A Avg: 110562, D Avg: 92620, [Cuttlefish[178, 0, 0, 0], Golem Shield[245, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 996: HP: 1919, STR: 442, VIT: 6957, SPD: 80, LUK: 1, Attack: 84760, Defense: 92627, Current HP: 1919, A Avg: 88998, D Avg: 92627, [Ruby Knuckle[151, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 995: HP: 2442, STR: 433, VIT: 6957, SPD: 80, LUK: 1, Attack: 84751, Defense: 92627, Current HP: 2442, A Avg: 88988, D Avg: 92627, [Ruby Knuckle[151, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 994: HP: 1482, STR: 901, VIT: 6957, SPD: 80, LUK: 1, Attack: 85635, Defense: 92627, Current HP: 1482, A Avg: 89916, D Avg: 92627, [Irruption[154, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 993: HP: 1472, STR: 909, VIT: 6957, SPD: 80, LUK: 1, Attack: 85643, Defense: 92627, Current HP: 1472, A Avg: 89925, D Avg: 92627, [Irruption[154, 0, 0, 0], Shield of Thousand[246, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 992: HP: 1040, STR: 2575, VIT: 2850, SPD: 85, LUK: 1, Attack: 87363, Defense: 92628, Current HP: 1040, A Avg: 109203, D Avg: 92628, [Pulse Knife[165, 0, 0, 0], Blank Shield[244, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 991: HP: 2403, STR: 1962, VIT: 2854, SPD: 95, LUK: 1, Attack: 87437, Defense: 92632, Current HP: 2403, A Avg: 91808, D Avg: 92632, [Elemental[121, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 990: HP: 2869, STR: 2243, VIT: 2854, SPD: 95, LUK: 1, Attack: 86893, Defense: 92632, Current HP: 2869, A Avg: 91237, D Avg: 92632, [Diamond Knuckle[152, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 989: HP: 1254, STR: 188, VIT: 2854, SPD: 80, LUK: 1, Attack: 83914, Defense: 92632, Current HP: 1254, A Avg: 105731, D Avg: 92632, [Wooden Stick[101, 0, 0, 0], Blank Shield[244, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
