Rank 1000: HP: 293, STR: 126, VIT: 417861, SPD: 1, LUK: 1, Attack: 85601, Defense: 501750, Current HP: 293, A Avg: 89881, D Avg: 501750, [Elemental[121, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 999: HP: 293, STR: 126, VIT: 417861, SPD: 1, LUK: 1, Attack: 85224, Defense: 501750, Current HP: 293, A Avg: 89485, D Avg: 501750, [Yggdrasil[126, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 998: HP: 293, STR: 126, VIT: 417861, SPD: 1, LUK: 1, Attack: 84808, Defense: 501750, Current HP: 293, A Avg: 89048, D Avg: 501750, [Thunder Whip[143, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 997: HP: 293, STR: 131, VIT: 417861, SPD: 1, LUK: 1, Attack: 84956, Defense: 501750, Current HP: 293, A Avg: 89203, D Avg: 501750, [Kraken[145, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 996: HP: 314, STR: 126, VIT: 417861, SPD: 1, LUK: 1, Attack: 86472, Defense: 501750, Current HP: 314, A Avg: 90795, D Avg: 501750, [Progress[147, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 995: HP: 377, STR: 126, VIT: 417861, SPD: 1, LUK: 1, Attack: 85458, Defense: 501750, Current HP: 377, A Avg: 89730, D Avg: 501750, [Tower[149, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 994: HP: 356, STR: 117, VIT: 417861, SPD: 1, LUK: 1, Attack: 84929, Defense: 501750, Current HP: 356, A Avg: 89175, D Avg: 501750, [Granada[150, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 993: HP: 272, STR: 108, VIT: 417861, SPD: 1, LUK: 1, Attack: 84426, Defense: 501750, Current HP: 272, A Avg: 88647, D Avg: 501750, [Ruby Knuckle[151, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 992: HP: 293, STR: 144, VIT: 417861, SPD: 1, LUK: 1, Attack: 84794, Defense: 501750, Current HP: 293, A Avg: 89033, D Avg: 501750, [Diamond Knuckle[152, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 991: HP: 335, STR: 120, VIT: 417823, SPD: 1, LUK: 1, Attack: 85086, Defense: 501751, Current HP: 335, A Avg: 89340, D Avg: 501751, [Red Shark[134, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 990: HP: 356, STR: 117, VIT: 417823, SPD: 1, LUK: 1, Attack: 84019, Defense: 501751, Current HP: 356, A Avg: 88219, D Avg: 501751, [Crossed Shuriken[136, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 989: HP: 373, STR: 117, VIT: 417823, SPD: 1, LUK: 1, Attack: 84123, Defense: 501751, Current HP: 373, A Avg: 88329, D Avg: 501751, [Crescent[141, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 988: HP: 398, STR: 120, VIT: 417823, SPD: 1, LUK: 1, Attack: 85163, Defense: 501751, Current HP: 398, A Avg: 89421, D Avg: 501751, [White Snake[160, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 987: HP: 419, STR: 162, VIT: 417890, SPD: 1, LUK: 1, Attack: 86014, Defense: 501753, Current HP: 419, A Avg: 90314, D Avg: 501753, [Santoku[159, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 986: HP: 398, STR: 324, VIT: 417890, SPD: 1, LUK: 1, Attack: 85658, Defense: 501753, Current HP: 398, A Avg: 89940, D Avg: 501753, [Impulse[166, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 985: HP: 367, STR: 118, VIT: 417826, SPD: 1, LUK: 1, Attack: 84228, Defense: 501754, Current HP: 367, A Avg: 88439, D Avg: 501754, [Windmill[137, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 984: HP: 293, STR: 126, VIT: 417866, SPD: 1, LUK: 1, Attack: 84158, Defense: 501755, Current HP: 293, A Avg: 88365, D Avg: 501755, [Alucard[146, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 983: HP: 272, STR: 129, VIT: 417866, SPD: 1, LUK: 1, Attack: 84967, Defense: 501755, Current HP: 272, A Avg: 89215, D Avg: 501755, [Classic[168, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 982: HP: 713, STR: 1306, VIT: 417919, SPD: 1, LUK: 1, Attack: 91215, Defense: 501756, Current HP: 713, A Avg: 95775, D Avg: 501756, [Spectral Sword Shigure[172, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 981: HP: 356, STR: 108, VIT: 417829, SPD: 1, LUK: 1, Attack: 84108, Defense: 501757, Current HP: 356, A Avg: 88313, D Avg: 501757, [Kirisame[129, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 980: HP: 377, STR: 117, VIT: 417829, SPD: 1, LUK: 1, Attack: 84238, Defense: 501757, Current HP: 377, A Avg: 88449, D Avg: 501757, [Black Kirisame[130, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 979: HP: 377, STR: 118, VIT: 417829, SPD: 1, LUK: 1, Attack: 84631, Defense: 501757, Current HP: 377, A Avg: 88862, D Avg: 501757, [Volcano[142, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 978: HP: 365, STR: 115, VIT: 417829, SPD: 1, LUK: 1, Attack: 85863, Defense: 501757, Current HP: 365, A Avg: 90156, D Avg: 501757, [Scythe of the Grim Reaper[148, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 977: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 83852, Defense: 501758, Current HP: 356, A Avg: 88044, D Avg: 501758, [Wooden Stick[101, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 976: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 83891, Defense: 501758, Current HP: 356, A Avg: 88085, D Avg: 501758, [Club[102, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 975: HP: 356, STR: 131, VIT: 417817, SPD: 1, LUK: 1, Attack: 83903, Defense: 501758, Current HP: 356, A Avg: 88098, D Avg: 501758, [Short Sword[103, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 974: HP: 356, STR: 135, VIT: 417817, SPD: 1, LUK: 1, Attack: 83946, Defense: 501758, Current HP: 356, A Avg: 88143, D Avg: 501758, [Long Sword[104, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 973: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 83898, Defense: 501758, Current HP: 356, A Avg: 88092, D Avg: 501758, [Wasp Knife[105, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 972: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 83950, Defense: 501758, Current HP: 356, A Avg: 88147, D Avg: 501758, [Stun Knuckle[106, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 971: HP: 356, STR: 135, VIT: 417817, SPD: 1, LUK: 1, Attack: 83978, Defense: 501758, Current HP: 356, A Avg: 88176, D Avg: 501758, [Battle Scythe[107, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 970: HP: 377, STR: 135, VIT: 417817, SPD: 1, LUK: 1, Attack: 84024, Defense: 501758, Current HP: 377, A Avg: 88225, D Avg: 501758, [Iron Lumps[108, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 969: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 83894, Defense: 501758, Current HP: 356, A Avg: 88088, D Avg: 501758, [Decorative Swords[109, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 968: HP: 356, STR: 135, VIT: 417817, SPD: 1, LUK: 1, Attack: 84011, Defense: 501758, Current HP: 356, A Avg: 88211, D Avg: 501758, [Tornado[111, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 967: HP: 356, STR: 153, VIT: 417817, SPD: 1, LUK: 1, Attack: 84276, Defense: 501758, Current HP: 356, A Avg: 88489, D Avg: 501758, [Pinpoint[112, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 966: HP: 356, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 84151, Defense: 501758, Current HP: 356, A Avg: 88358, D Avg: 501758, [Fairy Sword[113, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 965: HP: 356, STR: 144, VIT: 417817, SPD: 1, LUK: 1, Attack: 84293, Defense: 501758, Current HP: 356, A Avg: 88507, D Avg: 501758, [Giant Tornado[114, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 964: HP: 398, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 83982, Defense: 501758, Current HP: 398, A Avg: 88181, D Avg: 501758, [Emerald Sword[115, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 963: HP: 377, STR: 135, VIT: 417817, SPD: 1, LUK: 1, Attack: 84141, Defense: 501758, Current HP: 377, A Avg: 88348, D Avg: 501758, [Great Iron Mass[122, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 962: HP: 367, STR: 126, VIT: 417817, SPD: 1, LUK: 1, Attack: 84119, Defense: 501758, Current HP: 367, A Avg: 88324, D Avg: 501758, [Sword of Wood[124, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
