Rank 1000: HP: 491, STR: 172, VIT: 417887, SPD: 9, LUK: 1, Attack: 85920, Defense: 501815, Current HP: 491, A Avg: 90216, D Avg: 501815, [Scythe of the Grim Reaper[148, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 999: HP: 466, STR: 156, VIT: 417875, SPD: 9, LUK: 1, Attack: 84032, Defense: 501816, Current HP: 466, A Avg: 88233, D Avg: 501816, [Tornado[111, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 998: HP: 508, STR: 147, VIT: 417875, SPD: 9, LUK: 1, Attack: 84172, Defense: 501816, Current HP: 508, A Avg: 88380, D Avg: 501816, [Fairy Sword[113, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 997: HP: 466, STR: 172, VIT: 417875, SPD: 9, LUK: 1, Attack: 84321, Defense: 501816, Current HP: 466, A Avg: 88537, D Avg: 501816, [Giant Tornado[114, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 996: HP: 480, STR: 156, VIT: 417875, SPD: 9, LUK: 1, Attack: 83972, Defense: 501816, Current HP: 480, A Avg: 88170, D Avg: 501816, [Hand Axe[140, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 995: HP: 487, STR: 154, VIT: 417875, SPD: 9, LUK: 1, Attack: 84147, Defense: 501816, Current HP: 487, A Avg: 88354, D Avg: 501816, [Wooden Boomerang[167, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 994: HP: 524, STR: 153, VIT: 417890, SPD: 9, LUK: 1, Attack: 84263, Defense: 501818, Current HP: 524, A Avg: 88476, D Avg: 501818, [Serpent[144, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 993: HP: 550, STR: 144, VIT: 417890, SPD: 9, LUK: 1, Attack: 84462, Defense: 501818, Current HP: 550, A Avg: 88685, D Avg: 501818, [Ruby Knuckle[151, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 992: HP: 461, STR: 183, VIT: 417930, SPD: 9, LUK: 1, Attack: 85281, Defense: 501819, Current HP: 461, A Avg: 89545, D Avg: 501819, [Yggdrasil[126, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 991: HP: 419, STR: 181, VIT: 417930, SPD: 9, LUK: 1, Attack: 85006, Defense: 501819, Current HP: 419, A Avg: 89256, D Avg: 501819, [Kraken[145, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 990: HP: 482, STR: 160, VIT: 417930, SPD: 9, LUK: 1, Attack: 84972, Defense: 501819, Current HP: 482, A Avg: 89220, D Avg: 501819, [Granada[150, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 989: HP: 501, STR: 160, VIT: 417878, SPD: 9, LUK: 1, Attack: 83958, Defense: 501819, Current HP: 501, A Avg: 88155, D Avg: 501819, [Ninja[135, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 988: HP: 482, STR: 156, VIT: 417881, SPD: 9, LUK: 1, Attack: 84162, Defense: 501822, Current HP: 482, A Avg: 88370, D Avg: 501822, [Crescent[141, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
