Rank 1000: HP: 661, STR: 216, VIT: 417985, SPD: 18, LUK: 1, Attack: 84729, Defense: 501913, Current HP: 661, A Avg: 88965, D Avg: 501913, [Volcano[142, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 999: HP: 965, STR: 1598, VIT: 417985, SPD: 18, LUK: 1, Attack: 91507, Defense: 501913, Current HP: 965, A Avg: 96082, D Avg: 501913, [Spectral Sword Shigure[172, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 998: HP: 678, STR: 250, VIT: 418046, SPD: 18, LUK: 1, Attack: 85293, Defense: 501915, Current HP: 678, A Avg: 89557, D Avg: 501915, [White Snake[160, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 997: HP: 739, STR: 174, VIT: 417974, SPD: 18, LUK: 1, Attack: 84030, Defense: 501915, Current HP: 739, A Avg: 88231, D Avg: 501915, [Emerald Sword[115, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 996: HP: 682, STR: 212, VIT: 417988, SPD: 18, LUK: 1, Attack: 86181, Defense: 501916, Current HP: 682, A Avg: 90490, D Avg: 501916, [Fire Chariot[138, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 995: HP: 770, STR: 244, VIT: 417988, SPD: 18, LUK: 1, Attack: 85069, Defense: 501916, Current HP: 770, A Avg: 89322, D Avg: 501916, [Kraken[145, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 994: HP: 833, STR: 214, VIT: 417988, SPD: 18, LUK: 1, Attack: 85026, Defense: 501916, Current HP: 833, A Avg: 89277, D Avg: 501916, [Granada[150, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 993: HP: 713, STR: 448, VIT: 418113, SPD: 18, LUK: 1, Attack: 86326, Defense: 501917, Current HP: 713, A Avg: 90642, D Avg: 501917, [God Hand[179, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 992: HP: 671, STR: 610, VIT: 418113, SPD: 18, LUK: 1, Attack: 86150, Defense: 501917, Current HP: 671, A Avg: 90457, D Avg: 501917, [Zodiac[184, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 991: HP: 718, STR: 225, VIT: 417977, SPD: 18, LUK: 1, Attack: 84907, Defense: 501918, Current HP: 718, A Avg: 89152, D Avg: 501918, [Thunder Whip[143, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 990: HP: 770, STR: 324, VIT: 417991, SPD: 18, LUK: 1, Attack: 85058, Defense: 501919, Current HP: 770, A Avg: 89310, D Avg: 501919, [Irruption[154, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
