Rank 1000: HP: 734, STR: 268, VIT: 418116, SPD: 27, LUK: 1, Attack: 84209, Defense: 502005, Current HP: 734, A Avg: 88419, D Avg: 502005, [Rusty Knife[156, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 999: HP: 818, STR: 414, VIT: 418078, SPD: 27, LUK: 1, Attack: 85148, Defense: 502006, Current HP: 818, A Avg: 89405, D Avg: 502006, [Irruption[154, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 998: HP: 827, STR: 235, VIT: 418066, SPD: 27, LUK: 1, Attack: 84137, Defense: 502007, Current HP: 827, A Avg: 88343, D Avg: 502007, [Crossed Shuriken[136, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 997: HP: 1070, STR: 277, VIT: 418081, SPD: 27, LUK: 1, Attack: 84309, Defense: 502009, Current HP: 1070, A Avg: 88524, D Avg: 502009, [Alucard[146, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 996: HP: 1012, STR: 268, VIT: 418087, SPD: 27, LUK: 1, Attack: 84209, Defense: 502015, Current HP: 1012, A Avg: 88419, D Avg: 502015, [Rusty Knife[156, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 995: HP: 928, STR: 261, VIT: 418075, SPD: 27, LUK: 1, Attack: 84774, Defense: 502016, Current HP: 928, A Avg: 89012, D Avg: 502016, [Maximum Iron Mass[123, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 994: HP: 965, STR: 327, VIT: 418090, SPD: 27, LUK: 1, Attack: 85425, Defense: 502018, Current HP: 965, A Avg: 89696, D Avg: 502018, [Yggdrasil[126, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 993: HP: 818, STR: 307, VIT: 418090, SPD: 27, LUK: 1, Attack: 85132, Defense: 502018, Current HP: 818, A Avg: 89388, D Avg: 502018, [Kraken[145, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 992: HP: 881, STR: 268, VIT: 418090, SPD: 27, LUK: 1, Attack: 85080, Defense: 502018, Current HP: 881, A Avg: 89334, D Avg: 502018, [Granada[150, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 991: HP: 818, STR: 302, VIT: 418156, SPD: 27, LUK: 1, Attack: 85634, Defense: 502019, Current HP: 818, A Avg: 89915, D Avg: 502019, [Tower[149, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 990: HP: 877, STR: 277, VIT: 418095, SPD: 27, LUK: 1, Attack: 84309, Defense: 502023, Current HP: 877, A Avg: 88524, D Avg: 502023, [Alucard[146, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 989: HP: 818, STR: 268, VIT: 418101, SPD: 27, LUK: 1, Attack: 84209, Defense: 502029, Current HP: 818, A Avg: 88419, D Avg: 502029, [Rusty Knife[156, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
