Rank 1000: HP: 1396, STR: 484, VIT: 418243, SPD: 36, LUK: 1, Attack: 85407, Defense: 502106, Current HP: 1396, A Avg: 89677, D Avg: 502106, [Pangaea[164, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 999: HP: 892, STR: 322, VIT: 418217, SPD: 36, LUK: 1, Attack: 84263, Defense: 502106, Current HP: 892, A Avg: 88476, D Avg: 502106, [Rusty Knife[156, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 998: HP: 1312, STR: 399, VIT: 418272, SPD: 36, LUK: 1, Attack: 85497, Defense: 502109, Current HP: 1312, A Avg: 89771, D Avg: 502109, [Yggdrasil[126, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 997: HP: 1112, STR: 370, VIT: 418272, SPD: 36, LUK: 1, Attack: 85195, Defense: 502109, Current HP: 1112, A Avg: 89454, D Avg: 502109, [Kraken[145, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 996: HP: 1175, STR: 322, VIT: 418272, SPD: 36, LUK: 1, Attack: 85134, Defense: 502109, Current HP: 1175, A Avg: 89390, D Avg: 502109, [Granada[150, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 995: HP: 1056, STR: 331, VIT: 418182, SPD: 36, LUK: 1, Attack: 84363, Defense: 502110, Current HP: 1056, A Avg: 88581, D Avg: 502110, [Alucard[146, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 994: HP: 1192, STR: 331, VIT: 418278, SPD: 36, LUK: 1, Attack: 84363, Defense: 502115, Current HP: 1192, A Avg: 88581, D Avg: 502115, [Alucard[146, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 993: HP: 1253, STR: 322, VIT: 418188, SPD: 36, LUK: 1, Attack: 84263, Defense: 502116, Current HP: 1253, A Avg: 88476, D Avg: 502116, [Rusty Knife[156, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 992: HP: 692, STR: 469, VIT: 418322, SPD: 36, LUK: 1, Attack: 86997, Defense: 502126, Current HP: 692, A Avg: 91346, D Avg: 502126, [Moon Knuckle[153, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 991: HP: 671, STR: 1339, VIT: 418322, SPD: 36, LUK: 1, Attack: 87217, Defense: 502126, Current HP: 671, A Avg: 91577, D Avg: 502126, [Blue Sword[180, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 990: HP: 976, STR: 322, VIT: 418203, SPD: 36, LUK: 1, Attack: 84263, Defense: 502131, Current HP: 976, A Avg: 88476, D Avg: 502131, [Rusty Knife[156, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 989: HP: 1112, STR: 322, VIT: 418298, SPD: 36, LUK: 1, Attack: 84263, Defense: 502135, Current HP: 1112, A Avg: 88476, D Avg: 502135, [Rusty Knife[156, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 988: HP: 976, STR: 365, VIT: 418272, SPD: 36, LUK: 1, Attack: 85697, Defense: 502135, Current HP: 976, A Avg: 89981, D Avg: 502135, [Tower[149, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 987: HP: 892, STR: 297, VIT: 418246, SPD: 36, LUK: 1, Attack: 85772, Defense: 502135, Current HP: 892, A Avg: 90060, D Avg: 502135, [Elemental[121, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 986: HP: 1091, STR: 383, VIT: 418246, SPD: 36, LUK: 1, Attack: 85033, Defense: 502135, Current HP: 1091, A Avg: 89284, D Avg: 502135, [Diamond Knuckle[152, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 985: HP: 671, STR: 505, VIT: 418252, SPD: 36, LUK: 1, Attack: 85343, Defense: 502141, Current HP: 671, A Avg: 89610, D Avg: 502141, [Classic[168, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 984: HP: 938, STR: 194, VIT: 418203, SPD: 36, LUK: 1, Attack: 84382, Defense: 502144, Current HP: 938, A Avg: 88601, D Avg: 502144, [Cagliostro[133, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 983: HP: 1253, STR: 297, VIT: 418217, SPD: 36, LUK: 1, Attack: 85772, Defense: 502145, Current HP: 1253, A Avg: 90060, D Avg: 502145, [Elemental[121, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
