Rank 1000: HP: 1322, STR: 601, VIT: 418412, SPD: 45, LUK: 1, Attack: 86947, Defense: 502216, Current HP: 1322, A Avg: 91294, D Avg: 502216, [Progress[147, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 999: HP: 1495, STR: 376, VIT: 418290, SPD: 45, LUK: 1, Attack: 84317, Defense: 502218, Current HP: 1495, A Avg: 88532, D Avg: 502218, [Rusty Knife[156, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 998: HP: 1049, STR: 705, VIT: 418359, SPD: 45, LUK: 1, Attack: 85543, Defense: 502222, Current HP: 1049, A Avg: 89820, D Avg: 502222, [Willow Blade[157, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 997: HP: 1658, STR: 583, VIT: 418359, SPD: 45, LUK: 1, Attack: 85506, Defense: 502222, Current HP: 1658, A Avg: 89781, D Avg: 502222, [Pangaea[164, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 996: HP: 1574, STR: 471, VIT: 418388, SPD: 45, LUK: 1, Attack: 85569, Defense: 502225, Current HP: 1574, A Avg: 89847, D Avg: 502225, [Yggdrasil[126, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 995: HP: 1322, STR: 433, VIT: 418388, SPD: 45, LUK: 1, Attack: 85258, Defense: 502225, Current HP: 1322, A Avg: 89520, D Avg: 502225, [Kraken[145, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 994: HP: 1385, STR: 376, VIT: 418388, SPD: 45, LUK: 1, Attack: 85188, Defense: 502225, Current HP: 1385, A Avg: 89447, D Avg: 502225, [Granada[150, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 993: HP: 1423, STR: 385, VIT: 418394, SPD: 45, LUK: 1, Attack: 84417, Defense: 502231, Current HP: 1423, A Avg: 88637, D Avg: 502231, [Alucard[146, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 992: HP: 1133, STR: 376, VIT: 418304, SPD: 45, LUK: 1, Attack: 84317, Defense: 502232, Current HP: 1133, A Avg: 88532, D Avg: 502232, [Rusty Knife[156, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 991: HP: 1049, STR: 342, VIT: 418348, SPD: 45, LUK: 1, Attack: 85817, Defense: 502237, Current HP: 1049, A Avg: 90107, D Avg: 502237, [Elemental[121, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 990: HP: 1301, STR: 446, VIT: 418348, SPD: 45, LUK: 1, Attack: 85096, Defense: 502237, Current HP: 1301, A Avg: 89350, D Avg: 502237, [Diamond Knuckle[152, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 989: HP: 776, STR: 604, VIT: 418354, SPD: 45, LUK: 1, Attack: 85442, Defense: 502243, Current HP: 776, A Avg: 89714, D Avg: 502243, [Classic[168, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 988: HP: 1075, STR: 212, VIT: 418304, SPD: 45, LUK: 1, Attack: 84400, Defense: 502245, Current HP: 1075, A Avg: 88620, D Avg: 502245, [Cagliostro[133, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 987: HP: 1495, STR: 342, VIT: 418319, SPD: 45, LUK: 1, Attack: 85817, Defense: 502247, Current HP: 1495, A Avg: 90107, D Avg: 502247, [Elemental[121, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 986: HP: 1747, STR: 446, VIT: 418319, SPD: 45, LUK: 1, Attack: 85096, Defense: 502247, Current HP: 1747, A Avg: 89350, D Avg: 502247, [Diamond Knuckle[152, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 985: HP: 1133, STR: 428, VIT: 418388, SPD: 45, LUK: 1, Attack: 85760, Defense: 502251, Current HP: 1133, A Avg: 90048, D Avg: 502251, [Tower[149, 330, 330, 330], Titanium Shield[205, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 984: HP: 1222, STR: 604, VIT: 418325, SPD: 45, LUK: 1, Attack: 85442, Defense: 502253, Current HP: 1222, A Avg: 89714, D Avg: 502253, [Classic[168, 330, 330, 330], Hardwood Shield[223, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 983: HP: 1022, STR: 396, VIT: 418313, SPD: 45, LUK: 1, Attack: 84506, Defense: 502254, Current HP: 1022, A Avg: 88731, D Avg: 502254, [Windmill[137, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 982: HP: 797, STR: 550, VIT: 418452, SPD: 45, LUK: 1, Attack: 87078, Defense: 502256, Current HP: 797, A Avg: 91431, D Avg: 502256, [Moon Knuckle[153, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 981: HP: 776, STR: 1663, VIT: 418452, SPD: 45, LUK: 1, Attack: 87541, Defense: 502256, Current HP: 776, A Avg: 91918, D Avg: 502256, [Blue Sword[180, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 980: HP: 1012, STR: 342, VIT: 418316, SPD: 45, LUK: 1, Attack: 84342, Defense: 502257, Current HP: 1012, A Avg: 88559, D Avg: 502257, [Kirisame[129, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 979: HP: 1285, STR: 351, VIT: 418316, SPD: 45, LUK: 1, Attack: 84472, Defense: 502257, Current HP: 1285, A Avg: 88695, D Avg: 502257, [Black Kirisame[130, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 978: HP: 1272, STR: 478, VIT: 418316, SPD: 45, LUK: 1, Attack: 86226, Defense: 502257, Current HP: 1272, A Avg: 90537, D Avg: 502257, [Scythe of the Grim Reaper[148, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 977: HP: 1306, STR: 351, VIT: 418319, SPD: 45, LUK: 1, Attack: 84461, Defense: 502260, Current HP: 1306, A Avg: 88684, D Avg: 502260, [Serpent[144, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 976: HP: 1133, STR: 342, VIT: 418333, SPD: 45, LUK: 1, Attack: 85817, Defense: 502261, Current HP: 1133, A Avg: 90107, D Avg: 502261, [Elemental[121, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 975: HP: 1385, STR: 446, VIT: 418333, SPD: 45, LUK: 1, Attack: 85096, Defense: 502261, Current HP: 1385, A Avg: 89350, D Avg: 502261, [Diamond Knuckle[152, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 974: HP: 1213, STR: 466, VIT: 418394, SPD: 45, LUK: 1, Attack: 85509, Defense: 502263, Current HP: 1213, A Avg: 89784, D Avg: 502263, [White Snake[160, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 973: HP: 1322, STR: 376, VIT: 418429, SPD: 45, LUK: 1, Attack: 84317, Defense: 502266, Current HP: 1322, A Avg: 88532, D Avg: 502266, [Rusty Knife[156, 330, 330, 330], Emerald Shield[209, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 972: HP: 1436, STR: 441, VIT: 418325, SPD: 45, LUK: 1, Attack: 85407, Defense: 502266, Current HP: 1436, A Avg: 89677, D Avg: 502266, [Red Shark[134, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 971: HP: 860, STR: 604, VIT: 418339, SPD: 45, LUK: 1, Attack: 85442, Defense: 502267, Current HP: 860, A Avg: 89714, D Avg: 502267, [Classic[168, 330, 330, 330], Tower Shield[213, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 970: HP: 3716, STR: 2642, VIT: 418464, SPD: 45, LUK: 1, Attack: 88455, Defense: 502268, Current HP: 3716, A Avg: 92877, D Avg: 502268, [Spear of Regression[182, 330, 330, 330], Iron Shield[204, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 969: HP: 1322, STR: 601, VIT: 418403, SPD: 45, LUK: 1, Attack: 86947, Defense: 502272, Current HP: 1322, A Avg: 91294, D Avg: 502272, [Progress[147, 330, 330, 330], Wooden Shield[203, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 968: HP: 1516, STR: 342, VIT: 418333, SPD: 45, LUK: 1, Attack: 84660, Defense: 502274, Current HP: 1516, A Avg: 88893, D Avg: 502274, [Ruby Knuckle[151, 330, 330, 330], Dragon's Scales[215, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 967: HP: 1049, STR: 705, VIT: 418388, SPD: 45, LUK: 1, Attack: 85543, Defense: 502277, Current HP: 1049, A Avg: 89820, D Avg: 502277, [Willow Blade[157, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
Rank 966: HP: 1658, STR: 583, VIT: 418388, SPD: 45, LUK: 1, Attack: 85506, Defense: 502277, Current HP: 1658, A Avg: 89781, D Avg: 502277, [Pangaea[164, 330, 330, 330], Large iron Shield[206, 330, 330, 330], Endpoint[318, 330, 330, 330]]
