Rank 1000: HP: 1553, STR: 428, VIT: 477737, SPD: 54, LUK: 1, Attack: 86397, Defense: 561574, Current HP: 1553, A Avg: 90716, D Avg: 561574, [Fire Chariot[138, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 999: HP: 1532, STR: 700, VIT: 477775, SPD: 54, LUK: 1, Attack: 87046, Defense: 561579, Current HP: 1532, A Avg: 91398, D Avg: 561579, [Progress[147, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 998: HP: 1291, STR: 430, VIT: 477653, SPD: 54, LUK: 1, Attack: 84371, Defense: 561581, Current HP: 1291, A Avg: 88589, D Avg: 561581, [Rusty Knife[156, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 997: HP: 1207, STR: 387, VIT: 477696, SPD: 54, LUK: 1, Attack: 85862, Defense: 561585, Current HP: 1207, A Avg: 90155, D Avg: 561585, [Elemental[121, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 996: HP: 1511, STR: 509, VIT: 477696, SPD: 54, LUK: 1, Attack: 85159, Defense: 561585, Current HP: 1511, A Avg: 89416, D Avg: 561585, [Diamond Knuckle[152, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 995: HP: 1207, STR: 822, VIT: 477722, SPD: 54, LUK: 1, Attack: 85660, Defense: 561585, Current HP: 1207, A Avg: 89943, D Avg: 561585, [Willow Blade[157, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 994: HP: 1921, STR: 682, VIT: 477722, SPD: 54, LUK: 1, Attack: 85605, Defense: 561585, Current HP: 1921, A Avg: 89885, D Avg: 561585, [Pangaea[164, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 993: HP: 4346, STR: 2795, VIT: 477783, SPD: 54, LUK: 1, Attack: 88608, Defense: 561587, Current HP: 4346, A Avg: 93038, D Avg: 561587, [Spear of Regression[182, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 992: HP: 1837, STR: 543, VIT: 477751, SPD: 54, LUK: 1, Attack: 85641, Defense: 561588, Current HP: 1837, A Avg: 89923, D Avg: 561588, [Yggdrasil[126, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 991: HP: 1532, STR: 496, VIT: 477751, SPD: 54, LUK: 1, Attack: 85321, Defense: 561588, Current HP: 1532, A Avg: 89587, D Avg: 561588, [Kraken[145, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 990: HP: 1595, STR: 430, VIT: 477751, SPD: 54, LUK: 1, Attack: 85242, Defense: 561588, Current HP: 1595, A Avg: 89504, D Avg: 561588, [Granada[150, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
