Rank 1000: HP: 1713, STR: 482, VIT: 560065, SPD: 63, LUK: 1, Attack: 84592, Defense: 643902, Current HP: 1713, A Avg: 88821, D Avg: 643902, [Dragon Killer[139, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 999: HP: 1742, STR: 486, VIT: 560065, SPD: 63, LUK: 1, Attack: 84999, Defense: 643902, Current HP: 1742, A Avg: 89248, D Avg: 643902, [Volcano[142, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 998: HP: 1364, STR: 432, VIT: 560013, SPD: 63, LUK: 1, Attack: 85907, Defense: 643902, Current HP: 1364, A Avg: 90202, D Avg: 643902, [Elemental[121, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 997: HP: 1721, STR: 572, VIT: 560013, SPD: 63, LUK: 1, Attack: 85222, Defense: 643902, Current HP: 1721, A Avg: 89483, D Avg: 643902, [Diamond Knuckle[152, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 996: HP: 1763, STR: 482, VIT: 560068, SPD: 63, LUK: 1, Attack: 86451, Defense: 643905, Current HP: 1763, A Avg: 90773, D Avg: 643905, [Fire Chariot[138, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 995: HP: 986, STR: 802, VIT: 560019, SPD: 63, LUK: 1, Attack: 85640, Defense: 643908, Current HP: 986, A Avg: 89922, D Avg: 643908, [Classic[168, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 994: HP: 1742, STR: 799, VIT: 560106, SPD: 63, LUK: 1, Attack: 87145, Defense: 643910, Current HP: 1742, A Avg: 91502, D Avg: 643910, [Progress[147, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 993: HP: 1348, STR: 248, VIT: 559969, SPD: 63, LUK: 1, Attack: 84436, Defense: 643910, Current HP: 1348, A Avg: 88657, D Avg: 643910, [Cagliostro[133, 730, 730, 730], Dragon's Scales[215, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 992: HP: 1978, STR: 432, VIT: 559984, SPD: 63, LUK: 1, Attack: 85907, Defense: 643912, Current HP: 1978, A Avg: 90202, D Avg: 643912, [Elemental[121, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 991: HP: 2335, STR: 572, VIT: 559984, SPD: 63, LUK: 1, Attack: 85222, Defense: 643912, Current HP: 2335, A Avg: 89483, D Avg: 643912, [Diamond Knuckle[152, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 990: HP: 1364, STR: 939, VIT: 560053, SPD: 63, LUK: 1, Attack: 85777, Defense: 643916, Current HP: 1364, A Avg: 90065, D Avg: 643916, [Willow Blade[157, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 989: HP: 2183, STR: 781, VIT: 560053, SPD: 63, LUK: 1, Attack: 85704, Defense: 643916, Current HP: 2183, A Avg: 89989, D Avg: 643916, [Pangaea[164, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 988: HP: 1448, STR: 248, VIT: 559676, SPD: 63, LUK: 1, Attack: 83974, Defense: 643916, Current HP: 1448, A Avg: 88172, D Avg: 643916, [Wooden Stick[101, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 987: HP: 1448, STR: 248, VIT: 559676, SPD: 63, LUK: 1, Attack: 84013, Defense: 643916, Current HP: 1448, A Avg: 88213, D Avg: 643916, [Club[102, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 986: HP: 1448, STR: 253, VIT: 559676, SPD: 63, LUK: 1, Attack: 84025, Defense: 643916, Current HP: 1448, A Avg: 88226, D Avg: 643916, [Short Sword[103, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 985: HP: 1448, STR: 318, VIT: 559676, SPD: 63, LUK: 1, Attack: 84129, Defense: 643916, Current HP: 1448, A Avg: 88335, D Avg: 643916, [Long Sword[104, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 984: HP: 1448, STR: 370, VIT: 559676, SPD: 63, LUK: 1, Attack: 84142, Defense: 643916, Current HP: 1448, A Avg: 88349, D Avg: 643916, [Wasp Knife[105, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 983: HP: 1448, STR: 309, VIT: 559676, SPD: 63, LUK: 1, Attack: 84133, Defense: 643916, Current HP: 1448, A Avg: 88339, D Avg: 643916, [Stun Knuckle[106, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 982: HP: 1448, STR: 379, VIT: 559676, SPD: 63, LUK: 1, Attack: 84222, Defense: 643916, Current HP: 1448, A Avg: 88433, D Avg: 643916, [Battle Scythe[107, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 981: HP: 1469, STR: 379, VIT: 559676, SPD: 63, LUK: 1, Attack: 84268, Defense: 643916, Current HP: 1469, A Avg: 88481, D Avg: 643916, [Iron Lumps[108, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 980: HP: 1448, STR: 248, VIT: 559676, SPD: 63, LUK: 1, Attack: 84016, Defense: 643916, Current HP: 1448, A Avg: 88216, D Avg: 643916, [Decorative Swords[109, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 979: HP: 1448, STR: 397, VIT: 559676, SPD: 63, LUK: 1, Attack: 84520, Defense: 643916, Current HP: 1448, A Avg: 88746, D Avg: 643916, [Pinpoint[112, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 978: HP: 1469, STR: 441, VIT: 559676, SPD: 63, LUK: 1, Attack: 84447, Defense: 643916, Current HP: 1469, A Avg: 88669, D Avg: 643916, [Great Iron Mass[122, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 977: HP: 1459, STR: 309, VIT: 559676, SPD: 63, LUK: 1, Attack: 84302, Defense: 643916, Current HP: 1459, A Avg: 88517, D Avg: 643916, [Sword of Wood[124, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 976: HP: 1826, STR: 511, VIT: 559676, SPD: 63, LUK: 1, Attack: 84699, Defense: 643916, Current HP: 1826, A Avg: 88933, D Avg: 643916, [Sword of the Spirit Tree[125, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 975: HP: 1459, STR: 379, VIT: 559676, SPD: 63, LUK: 1, Attack: 84378, Defense: 643916, Current HP: 1459, A Avg: 88596, D Avg: 643916, [Greatsword[127, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 974: HP: 1822, STR: 446, VIT: 559676, SPD: 63, LUK: 1, Attack: 84868, Defense: 643916, Current HP: 1822, A Avg: 89111, D Avg: 643916, [Dreaming Sword[128, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
