Rank 1000: HP: 1606, STR: 345, VIT: 641949, SPD: 72, LUK: 1, Attack: 84156, Defense: 726189, Current HP: 1606, A Avg: 88363, D Avg: 726189, [Long Sword[104, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 999: HP: 1606, STR: 406, VIT: 641949, SPD: 72, LUK: 1, Attack: 84178, Defense: 726189, Current HP: 1606, A Avg: 88386, D Avg: 726189, [Wasp Knife[105, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 998: HP: 1606, STR: 336, VIT: 641949, SPD: 72, LUK: 1, Attack: 84160, Defense: 726189, Current HP: 1606, A Avg: 88368, D Avg: 726189, [Stun Knuckle[106, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 997: HP: 1606, STR: 415, VIT: 641949, SPD: 72, LUK: 1, Attack: 84258, Defense: 726189, Current HP: 1606, A Avg: 88470, D Avg: 726189, [Battle Scythe[107, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 996: HP: 1627, STR: 415, VIT: 641949, SPD: 72, LUK: 1, Attack: 84304, Defense: 726189, Current HP: 1627, A Avg: 88519, D Avg: 726189, [Iron Lumps[108, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 995: HP: 1606, STR: 266, VIT: 641949, SPD: 72, LUK: 1, Attack: 84034, Defense: 726189, Current HP: 1606, A Avg: 88235, D Avg: 726189, [Decorative Swords[109, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 994: HP: 1606, STR: 433, VIT: 641949, SPD: 72, LUK: 1, Attack: 84556, Defense: 726189, Current HP: 1606, A Avg: 88783, D Avg: 726189, [Pinpoint[112, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 993: HP: 1627, STR: 486, VIT: 641949, SPD: 72, LUK: 1, Attack: 84492, Defense: 726189, Current HP: 1627, A Avg: 88716, D Avg: 726189, [Great Iron Mass[122, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 992: HP: 1616, STR: 336, VIT: 641949, SPD: 72, LUK: 1, Attack: 84329, Defense: 726189, Current HP: 1616, A Avg: 88545, D Avg: 726189, [Sword of Wood[124, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 991: HP: 2036, STR: 565, VIT: 641949, SPD: 72, LUK: 1, Attack: 84753, Defense: 726189, Current HP: 2036, A Avg: 88990, D Avg: 726189, [Sword of the Spirit Tree[125, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 990: HP: 1616, STR: 415, VIT: 641949, SPD: 72, LUK: 1, Attack: 84414, Defense: 726189, Current HP: 1616, A Avg: 88634, D Avg: 726189, [Greatsword[127, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 989: HP: 2032, STR: 491, VIT: 641949, SPD: 72, LUK: 1, Attack: 84913, Defense: 726189, Current HP: 2032, A Avg: 89158, D Avg: 726189, [Dreaming Sword[128, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 988: HP: 1627, STR: 284, VIT: 641949, SPD: 72, LUK: 1, Attack: 84059, Defense: 726189, Current HP: 1627, A Avg: 88261, D Avg: 726189, [Peacemaker[131, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 987: HP: 1669, STR: 266, VIT: 641949, SPD: 72, LUK: 1, Attack: 84168, Defense: 726189, Current HP: 1669, A Avg: 88376, D Avg: 726189, [Daydream[132, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 986: HP: 2635, STR: 617, VIT: 641949, SPD: 72, LUK: 1, Attack: 86300, Defense: 726189, Current HP: 2635, A Avg: 90615, D Avg: 726189, [Dancing[155, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 985: HP: 1606, STR: 1056, VIT: 641949, SPD: 72, LUK: 1, Attack: 85712, Defense: 726189, Current HP: 1606, A Avg: 89997, D Avg: 726189, [Penetra[161, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 984: HP: 1606, STR: 266, VIT: 641949, SPD: 72, LUK: 1, Attack: 85107, Defense: 726189, Current HP: 1606, A Avg: 89362, D Avg: 726189, [Grand Slam[163, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 983: HP: 1816, STR: 266, VIT: 641949, SPD: 72, LUK: 1, Attack: 85234, Defense: 726189, Current HP: 1816, A Avg: 89495, D Avg: 726189, [Cluster Bomb[170, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 982: HP: 2236, STR: 266, VIT: 641949, SPD: 72, LUK: 1, Attack: 92452, Defense: 726189, Current HP: 2236, A Avg: 97074, D Avg: 726189, [Big Bang[171, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 981: HP: 6520, STR: 266, VIT: 641949, SPD: 72, LUK: 1, Attack: 85319, Defense: 726189, Current HP: 6520, A Avg: 89584, D Avg: 726189, [Common Key[174, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 980: HP: 2236, STR: 266, VIT: 641949, SPD: 72, LUK: 1, Attack: 86508, Defense: 726189, Current HP: 2236, A Avg: 90833, D Avg: 726189, [Droid Hammer[177, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 979: HP: 1606, STR: 2120, VIT: 641949, SPD: 72, LUK: 1, Attack: 87049, Defense: 726189, Current HP: 1606, A Avg: 91401, D Avg: 726189, [Jack Knife[185, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 978: HP: 1606, STR: 3074, VIT: 641949, SPD: 72, LUK: 1, Attack: 87652, Defense: 726189, Current HP: 1606, A Avg: 92034, D Avg: 726189, [Magical[187, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 977: HP: 1606, STR: 797, VIT: 641949, SPD: 72, LUK: 1, Attack: 87848, Defense: 726189, Current HP: 1606, A Avg: 92240, D Avg: 726189, [Tekken[188, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 976: HP: 1606, STR: -69864, VIT: 641949, SPD: 72, LUK: 1, Attack: 29402, Defense: 726189, Current HP: 1606, A Avg: 30872, D Avg: 726189, [Sword of Evil[189, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 975: HP: 1606, STR: 3434, VIT: 641949, SPD: 72, LUK: 1, Attack: 91095, Defense: 726189, Current HP: 1606, A Avg: 95649, D Avg: 726189, [Neural Edge[190, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 974: HP: 2219, STR: 538, VIT: 642271, SPD: 72, LUK: 1, Attack: 84479, Defense: 726199, Current HP: 2219, A Avg: 88702, D Avg: 726199, [Rusty Knife[156, 730, 730, 730], Hardwood Shield[223, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 973: HP: 2015, STR: 489, VIT: 641967, SPD: 72, LUK: 1, Attack: 84456, Defense: 726207, Current HP: 2015, A Avg: 88678, D Avg: 726207, [Phantom Sword[117, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 972: HP: 1606, STR: 538, VIT: 642286, SPD: 72, LUK: 1, Attack: 84479, Defense: 726214, Current HP: 1606, A Avg: 88702, D Avg: 726214, [Rusty Knife[156, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 971: HP: 1522, STR: 477, VIT: 642329, SPD: 72, LUK: 1, Attack: 85952, Defense: 726218, Current HP: 1522, A Avg: 90249, D Avg: 726218, [Elemental[121, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 970: HP: 1931, STR: 635, VIT: 642329, SPD: 72, LUK: 1, Attack: 85285, Defense: 726218, Current HP: 1931, A Avg: 89549, D Avg: 726218, [Diamond Knuckle[152, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 969: HP: 1616, STR: 406, VIT: 641978, SPD: 72, LUK: 1, Attack: 84249, Defense: 726218, Current HP: 1616, A Avg: 88461, D Avg: 726218, [Salamander[110, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 968: HP: 1606, STR: 477, VIT: 641978, SPD: 72, LUK: 1, Attack: 84561, Defense: 726218, Current HP: 1606, A Avg: 88789, D Avg: 726218, [Phantom Scythe[116, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 967: HP: 1616, STR: 406, VIT: 641978, SPD: 72, LUK: 1, Attack: 84278, Defense: 726218, Current HP: 1616, A Avg: 88491, D Avg: 726218, [Undine[118, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 966: HP: 1616, STR: 406, VIT: 641978, SPD: 72, LUK: 1, Attack: 84305, Defense: 726218, Current HP: 1616, A Avg: 88520, D Avg: 726218, [Sylph[119, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 965: HP: 1616, STR: 406, VIT: 641978, SPD: 72, LUK: 1, Attack: 84332, Defense: 726218, Current HP: 1616, A Avg: 88548, D Avg: 726218, [Gnome[120, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 964: HP: 5606, STR: 3101, VIT: 642350, SPD: 72, LUK: 1, Attack: 88914, Defense: 726219, Current HP: 5606, A Avg: 93359, D Avg: 726219, [Spear of Regression[182, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 963: HP: 1091, STR: 901, VIT: 642335, SPD: 72, LUK: 1, Attack: 85739, Defense: 726224, Current HP: 1091, A Avg: 90025, D Avg: 726224, [Classic[168, 730, 730, 730], Large iron Shield[206, 730, 730, 730], Endpoint[318, 730, 730, 730]]
