Rank 1000: HP: 1774, STR: 363, VIT: 724222, SPD: 81, LUK: 1, Attack: 84356, Defense: 808462, Current HP: 1774, A Avg: 88573, D Avg: 808462, [Sword of Wood[124, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 999: HP: 2246, STR: 619, VIT: 724222, SPD: 81, LUK: 1, Attack: 84807, Defense: 808462, Current HP: 2246, A Avg: 89047, D Avg: 808462, [Sword of the Spirit Tree[125, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 998: HP: 1774, STR: 451, VIT: 724222, SPD: 81, LUK: 1, Attack: 84450, Defense: 808462, Current HP: 1774, A Avg: 88672, D Avg: 808462, [Greatsword[127, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 997: HP: 2242, STR: 536, VIT: 724222, SPD: 81, LUK: 1, Attack: 84958, Defense: 808462, Current HP: 2242, A Avg: 89205, D Avg: 808462, [Dreaming Sword[128, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 996: HP: 1784, STR: 302, VIT: 724222, SPD: 81, LUK: 1, Attack: 84077, Defense: 808462, Current HP: 1784, A Avg: 88280, D Avg: 808462, [Peacemaker[131, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 995: HP: 1826, STR: 284, VIT: 724222, SPD: 81, LUK: 1, Attack: 84186, Defense: 808462, Current HP: 1826, A Avg: 88395, D Avg: 808462, [Daydream[132, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 994: HP: 2897, STR: 680, VIT: 724222, SPD: 81, LUK: 1, Attack: 86363, Defense: 808462, Current HP: 2897, A Avg: 90681, D Avg: 808462, [Dancing[155, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 993: HP: 1763, STR: 1173, VIT: 724222, SPD: 81, LUK: 1, Attack: 85829, Defense: 808462, Current HP: 1763, A Avg: 90120, D Avg: 808462, [Penetra[161, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 992: HP: 1763, STR: 284, VIT: 724222, SPD: 81, LUK: 1, Attack: 85125, Defense: 808462, Current HP: 1763, A Avg: 89381, D Avg: 808462, [Grand Slam[163, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 991: HP: 1973, STR: 284, VIT: 724222, SPD: 81, LUK: 1, Attack: 85252, Defense: 808462, Current HP: 1973, A Avg: 89514, D Avg: 808462, [Cluster Bomb[170, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 990: HP: 2393, STR: 284, VIT: 724222, SPD: 81, LUK: 1, Attack: 92470, Defense: 808462, Current HP: 2393, A Avg: 97093, D Avg: 808462, [Big Bang[171, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 989: HP: 7307, STR: 284, VIT: 724222, SPD: 81, LUK: 1, Attack: 85337, Defense: 808462, Current HP: 7307, A Avg: 89603, D Avg: 808462, [Common Key[174, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 988: HP: 2393, STR: 284, VIT: 724222, SPD: 81, LUK: 1, Attack: 86526, Defense: 808462, Current HP: 2393, A Avg: 90852, D Avg: 808462, [Droid Hammer[177, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 987: HP: 1763, STR: 2318, VIT: 724222, SPD: 81, LUK: 1, Attack: 87247, Defense: 808462, Current HP: 1763, A Avg: 91609, D Avg: 808462, [Jack Knife[185, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 986: HP: 1763, STR: 3452, VIT: 724222, SPD: 81, LUK: 1, Attack: 88030, Defense: 808462, Current HP: 1763, A Avg: 92431, D Avg: 808462, [Magical[187, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 985: HP: 1763, STR: 860, VIT: 724222, SPD: 81, LUK: 1, Attack: 87911, Defense: 808462, Current HP: 1763, A Avg: 92306, D Avg: 808462, [Tekken[188, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 984: HP: 1763, STR: -78837, VIT: 724222, SPD: 81, LUK: 1, Attack: 20429, Defense: 808462, Current HP: 1763, A Avg: 21450, D Avg: 808462, [Sword of Evil[189, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 983: HP: 1763, STR: 3812, VIT: 724222, SPD: 81, LUK: 1, Attack: 91473, Defense: 808462, Current HP: 1763, A Avg: 96046, D Avg: 808462, [Neural Edge[190, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 982: HP: 1679, STR: 1173, VIT: 724602, SPD: 81, LUK: 1, Attack: 86011, Defense: 808471, Current HP: 1679, A Avg: 90311, D Avg: 808471, [Willow Blade[157, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 981: HP: 2708, STR: 979, VIT: 724602, SPD: 81, LUK: 1, Attack: 85902, Defense: 808471, Current HP: 2708, A Avg: 90197, D Avg: 808471, [Pangaea[164, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 980: HP: 1679, STR: 522, VIT: 724617, SPD: 81, LUK: 1, Attack: 85997, Defense: 808480, Current HP: 1679, A Avg: 90296, D Avg: 808480, [Elemental[121, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 979: HP: 2141, STR: 698, VIT: 724617, SPD: 81, LUK: 1, Attack: 85348, Defense: 808480, Current HP: 2141, A Avg: 89615, D Avg: 808480, [Diamond Knuckle[152, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 978: HP: 2225, STR: 534, VIT: 724240, SPD: 81, LUK: 1, Attack: 84501, Defense: 808480, Current HP: 2225, A Avg: 88726, D Avg: 808480, [Phantom Sword[117, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
