Rank 1000: HP: 2551, STR: 302, VIT: 806495, SPD: 90, LUK: 1, Attack: 86544, Defense: 890735, Current HP: 2551, A Avg: 90871, D Avg: 890735, [Droid Hammer[177, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 999: HP: 1921, STR: 2516, VIT: 806495, SPD: 90, LUK: 1, Attack: 87445, Defense: 890735, Current HP: 1921, A Avg: 91817, D Avg: 890735, [Jack Knife[185, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 998: HP: 1921, STR: 3830, VIT: 806495, SPD: 90, LUK: 1, Attack: 88408, Defense: 890735, Current HP: 1921, A Avg: 92828, D Avg: 890735, [Magical[187, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 997: HP: 1921, STR: 923, VIT: 806495, SPD: 90, LUK: 1, Attack: 87974, Defense: 890735, Current HP: 1921, A Avg: 92372, D Avg: 890735, [Tekken[188, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 996: HP: 1921, STR: -87810, VIT: 806495, SPD: 90, LUK: 1, Attack: 11456, Defense: 890735, Current HP: 1921, A Avg: 12028, D Avg: 890735, [Sword of Evil[189, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 995: HP: 1921, STR: 4190, VIT: 806495, SPD: 90, LUK: 1, Attack: 91851, Defense: 890735, Current HP: 1921, A Avg: 96443, D Avg: 890735, [Neural Edge[190, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 994: HP: 6866, STR: 3407, VIT: 806933, SPD: 90, LUK: 1, Attack: 89220, Defense: 890737, Current HP: 6866, A Avg: 93681, D Avg: 890737, [Spear of Regression[182, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 993: HP: 2127, STR: 655, VIT: 806811, SPD: 90, LUK: 1, Attack: 84687, Defense: 890739, Current HP: 2127, A Avg: 88921, D Avg: 890739, [Alucard[146, 730, 730, 730], Tower Shield[213, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 992: HP: 1900, STR: 284, VIT: 806904, SPD: 90, LUK: 1, Attack: 84472, Defense: 890741, Current HP: 1900, A Avg: 88695, D Avg: 890741, [Cagliostro[133, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 991: HP: 1847, STR: 648, VIT: 806913, SPD: 90, LUK: 1, Attack: 84758, Defense: 890750, Current HP: 1847, A Avg: 88995, D Avg: 890750, [Windmill[137, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 990: HP: 1837, STR: 549, VIT: 806916, SPD: 90, LUK: 1, Attack: 84549, Defense: 890753, Current HP: 1837, A Avg: 88776, D Avg: 890753, [Kirisame[129, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 989: HP: 2372, STR: 558, VIT: 806916, SPD: 90, LUK: 1, Attack: 84679, Defense: 890753, Current HP: 2372, A Avg: 88912, D Avg: 890753, [Black Kirisame[130, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 988: HP: 2360, STR: 820, VIT: 806916, SPD: 90, LUK: 1, Attack: 86568, Defense: 890753, Current HP: 2360, A Avg: 90896, D Avg: 890753, [Scythe of the Grim Reaper[148, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 987: HP: 2435, STR: 579, VIT: 806513, SPD: 90, LUK: 1, Attack: 84546, Defense: 890753, Current HP: 2435, A Avg: 88773, D Avg: 890753, [Phantom Sword[117, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 986: HP: 2393, STR: 558, VIT: 806919, SPD: 90, LUK: 1, Attack: 84668, Defense: 890756, Current HP: 2393, A Avg: 88901, D Avg: 890756, [Serpent[144, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 985: HP: 1921, STR: 743, VIT: 806956, SPD: 90, LUK: 1, Attack: 86075, Defense: 890760, Current HP: 1921, A Avg: 90378, D Avg: 890760, [Tower[149, 730, 730, 730], Iron Shield[204, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 984: HP: 2681, STR: 738, VIT: 806925, SPD: 90, LUK: 1, Attack: 85704, Defense: 890762, Current HP: 2681, A Avg: 89989, D Avg: 890762, [Red Shark[134, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 983: HP: 1931, STR: 478, VIT: 806524, SPD: 90, LUK: 1, Attack: 84321, Defense: 890764, Current HP: 1931, A Avg: 88537, D Avg: 890764, [Salamander[110, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 982: HP: 1921, STR: 567, VIT: 806524, SPD: 90, LUK: 1, Attack: 84651, Defense: 890764, Current HP: 1921, A Avg: 88883, D Avg: 890764, [Phantom Scythe[116, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 981: HP: 1931, STR: 478, VIT: 806524, SPD: 90, LUK: 1, Attack: 84350, Defense: 890764, Current HP: 1931, A Avg: 88567, D Avg: 890764, [Undine[118, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 980: HP: 1931, STR: 478, VIT: 806524, SPD: 90, LUK: 1, Attack: 84377, Defense: 890764, Current HP: 1931, A Avg: 88595, D Avg: 890764, [Sylph[119, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 979: HP: 1931, STR: 478, VIT: 806524, SPD: 90, LUK: 1, Attack: 84404, Defense: 890764, Current HP: 1931, A Avg: 88624, D Avg: 890764, [Gnome[120, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 978: HP: 1837, STR: 646, VIT: 806904, SPD: 90, LUK: 1, Attack: 84587, Defense: 890767, Current HP: 1837, A Avg: 88816, D Avg: 890767, [Rusty Knife[156, 730, 730, 730], Titanium Shield[205, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 977: HP: 2866, STR: 549, VIT: 806933, SPD: 90, LUK: 1, Attack: 84867, Defense: 890770, Current HP: 2866, A Avg: 89110, D Avg: 890770, [Ruby Knuckle[151, 730, 730, 730], Emerald Shield[209, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 976: HP: 1963, STR: 329, VIT: 806539, SPD: 90, LUK: 1, Attack: 88496, Defense: 890779, Current HP: 1963, A Avg: 92920, D Avg: 890779, [Basic[169, 730, 730, 730], Dragon's Wings[216, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 975: HP: 1837, STR: 1290, VIT: 806919, SPD: 90, LUK: 1, Attack: 86128, Defense: 890788, Current HP: 1837, A Avg: 90434, D Avg: 890788, [Willow Blade[157, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 974: HP: 2971, STR: 1078, VIT: 806919, SPD: 90, LUK: 1, Attack: 86001, Defense: 890788, Current HP: 2971, A Avg: 90301, D Avg: 890788, [Pangaea[164, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
Rank 973: HP: 6866, STR: 3407, VIT: 806925, SPD: 90, LUK: 1, Attack: 89220, Defense: 890794, Current HP: 6866, A Avg: 93681, D Avg: 890794, [Spear of Regression[182, 730, 730, 730], Wooden Shield[203, 730, 730, 730], Endpoint[318, 730, 730, 730]]
