Rank 107639: 106640 - [000, 107639, 000] - HP: 247, STR: 897, VIT: 100, SPD: 12, LUK: 1, Attack: 132837, Defense: 83937, Current HP: 247, A Avg: 1106532, D Avg: 117511, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107639: 106641 - [000, 107639, 000] - HP: 190, STR: 1753, VIT: 56, SPD: 7, LUK: 1, Attack: 134121, Defense: 83893, Current HP: 190, A Avg: 1117227, D Avg: 117450, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107639: 106642 - [000, 107639, 000] - HP: 200, STR: 1388, VIT: 172, SPD: 8, LUK: 1, Attack: 133574, Defense: 84009, Current HP: 200, A Avg: 1112671, D Avg: 117612, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107639: 106643 - [000, 107639, 000] - HP: 285, STR: 1221, VIT: 117, SPD: 7, LUK: 1, Attack: 133323, Defense: 83954, Current HP: 285, A Avg: 1110580, D Avg: 117535, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107639: 106644 - [000, 107639, 000] - HP: 190, STR: 865, VIT: 56, SPD: 7, LUK: 2, Attack: 132789, Defense: 83893, Current HP: 190, A Avg: 1106132, D Avg: 117450, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107639: 106645 - [000, 107639, 000] - HP: 419, STR: 975, VIT: 290, SPD: 9, LUK: 1, Attack: 132954, Defense: 84127, Current HP: 419, A Avg: 1107506, D Avg: 117777, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107639: 106646 - [000, 107639, 000] - HP: 418, STR: 1582, VIT: 82, SPD: 7, LUK: 1, Attack: 133865, Defense: 83919, Current HP: 418, A Avg: 1115095, D Avg: 117486, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107639: 106647 - [000, 107639, 000] - HP: 456, STR: 1301, VIT: 425, SPD: 7, LUK: 1, Attack: 133443, Defense: 84262, Current HP: 456, A Avg: 1111580, D Avg: 117966, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107639: 106648 - [000, 107639, 000] - HP: 330, STR: 814, VIT: 127, SPD: 7, LUK: 1, Attack: 132713, Defense: 83964, Current HP: 330, A Avg: 1105499, D Avg: 117549, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107639: 106649 - [000, 107639, 000] - HP: 285, STR: 1221, VIT: 100, SPD: 7, LUK: 1, Attack: 133323, Defense: 83937, Current HP: 285, A Avg: 1110580, D Avg: 117511, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107639: 106650 - [000, 107639, 000] - HP: 266, STR: 1283, VIT: 143, SPD: 9, LUK: 1, Attack: 133416, Defense: 83980, Current HP: 266, A Avg: 1111355, D Avg: 117571, [Neural Edge[190, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107639: 106651 - [000, 107639, 000] - HP: 161, STR: 822, VIT: 83, SPD: 7, LUK: 1, Attack: 132725, Defense: 84089, Current HP: 161, A Avg: 1105599, D Avg: 117724, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107639: 106652 - [000, 107639, 000] - HP: 152, STR: 833, VIT: 83, SPD: 7, LUK: 1, Attack: 132741, Defense: 84089, Current HP: 152, A Avg: 1105732, D Avg: 117724, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107639: 106653 - [000, 107639, 000] - HP: 232, STR: 822, VIT: 66, SPD: 7, LUK: 1, Attack: 132725, Defense: 84072, Current HP: 232, A Avg: 1105599, D Avg: 117700, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107639: 106654 - [000, 107639, 000] - HP: 190, STR: 822, VIT: 66, SPD: 14, LUK: 1, Attack: 132725, Defense: 84072, Current HP: 190, A Avg: 1105599, D Avg: 117700, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107639: 106655 - [000, 107639, 000] - HP: 171, STR: 1047, VIT: 76, SPD: 12, LUK: 1, Attack: 133062, Defense: 84082, Current HP: 171, A Avg: 1108406, D Avg: 117714, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107639: 106656 - [000, 107639, 000] - HP: 152, STR: 833, VIT: 113, SPD: 7, LUK: 1, Attack: 132741, Defense: 84119, Current HP: 152, A Avg: 1105732, D Avg: 117766, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107639: 106657 - [000, 107639, 000] - HP: 171, STR: 844, VIT: 76, SPD: 7, LUK: 2, Attack: 132758, Defense: 84082, Current HP: 171, A Avg: 1105874, D Avg: 117714, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107639: 106658 - [000, 107639, 000] - HP: 152, STR: 1260, VIT: 76, SPD: 7, LUK: 1, Attack: 133382, Defense: 84082, Current HP: 152, A Avg: 1111072, D Avg: 117714, [Neural Edge[190, 0, 0, 0], Wings of Beast[210, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
