Rank 107641: 104985 - [001, 107638, 000] - HP: 510, STR: 818, VIT: 207, SPD: 15, LUK: 1, Attack: 131804, Defense: 87632, Current HP: 510, A Avg: 1097927, D Avg: 122684, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107641: 104986 - [001, 107638, 000] - HP: 535, STR: 716, VIT: 326, SPD: 17, LUK: 1, Attack: 131651, Defense: 87751, Current HP: 535, A Avg: 1096652, D Avg: 122851, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107641: 104987 - [001, 107638, 000] - HP: 610, STR: 570, VIT: 286, SPD: 15, LUK: 1, Attack: 131432, Defense: 87711, Current HP: 610, A Avg: 1094828, D Avg: 122795, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107641: 104988 - [001, 107638, 000] - HP: 510, STR: 445, VIT: 207, SPD: 15, LUK: 2, Attack: 131245, Defense: 87632, Current HP: 510, A Avg: 1093270, D Avg: 122684, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107641: 104989 - [001, 107638, 000] - HP: 781, STR: 492, VIT: 524, SPD: 18, LUK: 1, Attack: 131315, Defense: 87949, Current HP: 781, A Avg: 1093853, D Avg: 123128, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107641: 104990 - [001, 107638, 000] - HP: 825, STR: 630, VIT: 288, SPD: 18, LUK: 1, Attack: 131522, Defense: 87713, Current HP: 825, A Avg: 1095578, D Avg: 122798, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107641: 104991 - [001, 107638, 000] - HP: 890, STR: 592, VIT: 670, SPD: 15, LUK: 1, Attack: 131465, Defense: 88095, Current HP: 890, A Avg: 1095103, D Avg: 123332, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107641: 104992 - [001, 107638, 000] - HP: 701, STR: 384, VIT: 365, SPD: 15, LUK: 1, Attack: 131153, Defense: 87790, Current HP: 701, A Avg: 1092504, D Avg: 122905, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107641: 104993 - [001, 107638, 000] - HP: 610, STR: 625, VIT: 249, SPD: 15, LUK: 1, Attack: 131515, Defense: 87674, Current HP: 610, A Avg: 1095519, D Avg: 122743, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107641: 104994 - [001, 107638, 000] - HP: 690, STR: 787, VIT: 394, SPD: 19, LUK: 1, Attack: 131758, Defense: 87819, Current HP: 690, A Avg: 1097544, D Avg: 122946, [Tekken[188, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107641: 104995 - [001, 107638, 000] - HP: 807, STR: 739, VIT: 1088, SPD: 15, LUK: 1, Attack: 131686, Defense: 88656, Current HP: 807, A Avg: 1096944, D Avg: 124118, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 107641: 104996 - [001, 107638, 000] - HP: 798, STR: 591, VIT: 1088, SPD: 15, LUK: 1, Attack: 131464, Defense: 88656, Current HP: 798, A Avg: 1095095, D Avg: 124118, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 107641: 104997 - [001, 107638, 000] - HP: 1218, STR: 660, VIT: 744, SPD: 15, LUK: 1, Attack: 131567, Defense: 88312, Current HP: 1218, A Avg: 1095953, D Avg: 123636, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 107641: 104998 - [001, 107638, 000] - HP: 836, STR: 580, VIT: 744, SPD: 29, LUK: 1, Attack: 131447, Defense: 88312, Current HP: 836, A Avg: 1094953, D Avg: 123636, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 107641: 104999 - [001, 107638, 000] - HP: 817, STR: 580, VIT: 755, SPD: 25, LUK: 1, Attack: 131447, Defense: 88323, Current HP: 817, A Avg: 1094953, D Avg: 123652, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 107641: 105000 - [001, 107638, 000] - HP: 798, STR: 591, VIT: 1119, SPD: 15, LUK: 1, Attack: 131464, Defense: 88687, Current HP: 798, A Avg: 1095095, D Avg: 124161, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 107641: 105001 - [001, 107638, 000] - HP: 817, STR: 602, VIT: 755, SPD: 15, LUK: 2, Attack: 131480, Defense: 88323, Current HP: 817, A Avg: 1095228, D Avg: 123652, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 107641: 105002 - [001, 107638, 000] - HP: 798, STR: 908, VIT: 755, SPD: 15, LUK: 1, Attack: 131939, Defense: 88323, Current HP: 798, A Avg: 1099051, D Avg: 123652, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 107641: 105003 - [001, 107638, 000] - HP: 1363, STR: 753, VIT: 765, SPD: 15, LUK: 1, Attack: 131707, Defense: 88333, Current HP: 1363, A Avg: 1097119, D Avg: 123666, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 107641: 105004 - [001, 107638, 000] - HP: 1375, STR: 646, VIT: 744, SPD: 15, LUK: 1, Attack: 131546, Defense: 88312, Current HP: 1375, A Avg: 1095778, D Avg: 123636, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 107641: 105005 - [001, 107638, 000] - HP: 1144, STR: 580, VIT: 1119, SPD: 15, LUK: 1, Attack: 131447, Defense: 88687, Current HP: 1144, A Avg: 1094953, D Avg: 124161, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 107641: 105006 - [001, 107638, 000] - HP: 1056, STR: 646, VIT: 734, SPD: 15, LUK: 2, Attack: 131546, Defense: 88302, Current HP: 1056, A Avg: 1095778, D Avg: 123622, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 107641: 105007 - [001, 107638, 000] - HP: 855, STR: 580, VIT: 776, SPD: 25, LUK: 1, Attack: 131447, Defense: 88344, Current HP: 855, A Avg: 1094953, D Avg: 123681, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 107641: 105008 - [001, 107638, 000] - HP: 798, STR: 1164, VIT: 734, SPD: 15, LUK: 1, Attack: 132323, Defense: 88302, Current HP: 798, A Avg: 1102250, D Avg: 123622, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 107641: 105009 - [001, 107638, 000] - HP: 840, STR: 1069, VIT: 878, SPD: 17, LUK: 1, Attack: 132181, Defense: 88446, Current HP: 840, A Avg: 1101067, D Avg: 123824, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 107641: 105010 - [001, 107638, 000] - HP: 893, STR: 908, VIT: 813, SPD: 15, LUK: 1, Attack: 131939, Defense: 88381, Current HP: 893, A Avg: 1099051, D Avg: 123733, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 107641: 105011 - [001, 107638, 000] - HP: 798, STR: 686, VIT: 734, SPD: 15, LUK: 2, Attack: 131606, Defense: 88302, Current HP: 798, A Avg: 1096277, D Avg: 123622, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 107641: 105012 - [001, 107638, 000] - HP: 1091, STR: 753, VIT: 1355, SPD: 18, LUK: 1, Attack: 131707, Defense: 88923, Current HP: 1091, A Avg: 1097119, D Avg: 124492, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 107641: 105013 - [001, 107638, 000] - HP: 1133, STR: 989, VIT: 866, SPD: 18, LUK: 1, Attack: 132061, Defense: 88434, Current HP: 1133, A Avg: 1100068, D Avg: 123807, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 107641: 105014 - [001, 107638, 000] - HP: 1159, STR: 840, VIT: 1451, SPD: 15, LUK: 1, Attack: 131837, Defense: 89019, Current HP: 1159, A Avg: 1098202, D Avg: 124626, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 107641: 105015 - [001, 107638, 000] - HP: 1034, STR: 622, VIT: 1146, SPD: 15, LUK: 1, Attack: 131510, Defense: 88714, Current HP: 1034, A Avg: 1095478, D Avg: 124199, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 107641: 105016 - [001, 107638, 000] - HP: 893, STR: 994, VIT: 776, SPD: 15, LUK: 1, Attack: 132068, Defense: 88344, Current HP: 893, A Avg: 1100126, D Avg: 123681, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 107641: 105017 - [001, 107638, 000] - HP: 969, STR: 1132, VIT: 921, SPD: 19, LUK: 1, Attack: 132275, Defense: 88489, Current HP: 969, A Avg: 1101850, D Avg: 123884, [Tekken[188, 0, 0, 0], Storm Wall[242, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 107641: 105018 - [001, 107638, 000] - HP: 237, STR: 442, VIT: 58, SPD: 15, LUK: 1, Attack: 131240, Defense: 86847, Current HP: 237, A Avg: 1093229, D Avg: 121585, [Tekken[188, 0, 0, 0], Graffiti[243, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
