Rank 1000: HP: 95, STR: 30, VIT: 21, SPD: 1, LUK: 1, Attack: 148945, Defense: 83949, Current HP: 95, A Avg: 1240711, D Avg: 117528, [Sword of Evil[189, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 999: HP: 60, STR: 30, VIT: 332, SPD: 1, LUK: 1, Attack: 148945, Defense: 87120, Current HP: 60, A Avg: 1240711, D Avg: 121967, [Sword of Evil[189, 0, 0, 0], Energy Shield[227, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 998: HP: 95, STR: 30, VIT: 83, SPD: 1, LUK: 1, Attack: 148945, Defense: 84674, Current HP: 95, A Avg: 1240711, D Avg: 118543, [Sword of Evil[189, 0, 0, 0], Black Hole[229, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 997: HP: 95, STR: 30, VIT: 83, SPD: 1, LUK: 1, Attack: 148945, Defense: 87001, Current HP: 95, A Avg: 1240711, D Avg: 121801, [Sword of Evil[189, 0, 0, 0], White Hole[230, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 996: HP: 1007, STR: 30, VIT: 21, SPD: 1, LUK: 1, Attack: 148945, Defense: 85938, Current HP: 1007, A Avg: 1240711, D Avg: 120313, [Sword of Evil[189, 0, 0, 0], Frying Pan[231, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 995: HP: 300, STR: 30, VIT: 62, SPD: 1, LUK: 1, Attack: 148945, Defense: 84796, Current HP: 300, A Avg: 1240711, D Avg: 118714, [Sword of Evil[189, 0, 0, 0], Slafield[232, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 994: HP: 200, STR: 30, VIT: 41, SPD: 1, LUK: 1, Attack: 148945, Defense: 85516, Current HP: 200, A Avg: 1240711, D Avg: 119722, [Sword of Evil[189, 0, 0, 0], Mist Shield[233, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 993: HP: 247, STR: 30, VIT: 21, SPD: 1, LUK: 1, Attack: 148945, Defense: 84989, Current HP: 247, A Avg: 1240711, D Avg: 118984, [Sword of Evil[189, 0, 0, 0], Huge Shield[234, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 992: HP: 171, STR: 30, VIT: 166, SPD: 1, LUK: 1, Attack: 148945, Defense: 87006, Current HP: 171, A Avg: 1240711, D Avg: 121808, [Sword of Evil[189, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 991: HP: 60, STR: 30, VIT: 20, SPD: 1, LUK: 1, Attack: 148945, Defense: 87445, Current HP: 60, A Avg: 1240711, D Avg: 122422, [Sword of Evil[189, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 990: HP: 57, STR: 30, VIT: 20, SPD: 1, LUK: 1, Attack: 148945, Defense: 86809, Current HP: 57, A Avg: 1240711, D Avg: 121532, [Sword of Evil[189, 0, 0, 0], Graffiti[243, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 989: HP: 57, STR: 30, VIT: 20, SPD: 1, LUK: 1, Attack: 148945, Defense: 89798, Current HP: 57, A Avg: 1240711, D Avg: 125717, [Sword of Evil[189, 0, 0, 0], Blank Shield[244, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 988: HP: 532, STR: 30, VIT: 239, SPD: 1, LUK: 1, Attack: 148945, Defense: 87027, Current HP: 532, A Avg: 1240711, D Avg: 121837, [Sword of Evil[189, 0, 0, 0], Golem Shield[245, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 987: HP: 342, STR: 30, VIT: 41, SPD: 2, LUK: 1, Attack: 148945, Defense: 85919, Current HP: 342, A Avg: 1240711, D Avg: 120286, [Sword of Evil[189, 0, 0, 0], Sticky thread shield[247, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 986: HP: 285, STR: 30, VIT: 130, SPD: 1, LUK: 1, Attack: 148945, Defense: 86346, Current HP: 285, A Avg: 1240711, D Avg: 120884, [Sword of Evil[189, 0, 0, 0], King Shield[248, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 985: HP: 460, STR: 30, VIT: 435, SPD: 1, LUK: 1, Attack: 148945, Defense: 87470, Current HP: 460, A Avg: 1240711, D Avg: 122457, [Sword of Evil[189, 0, 0, 0], Warrior's Shield[249, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 984: HP: 70, STR: 30, VIT: 30, SPD: 1, LUK: 1, Attack: 148945, Defense: 87078, Current HP: 70, A Avg: 1240711, D Avg: 121909, [Sword of Evil[189, 0, 0, 0], Ghost shield[251, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 983: HP: 90, STR: 30, VIT: 31, SPD: 1, LUK: 1, Attack: 148945, Defense: 87079, Current HP: 90, A Avg: 1240711, D Avg: 121910, [Sword of Evil[189, 0, 0, 0], Ghost shield[251, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 982: HP: 100, STR: 30, VIT: 31, SPD: 2, LUK: 1, Attack: 148945, Defense: 87079, Current HP: 100, A Avg: 1240711, D Avg: 121910, [Sword of Evil[189, 0, 0, 0], Ghost shield[251, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 981: HP: 299, STR: 30, VIT: 61, SPD: 1, LUK: 1, Attack: 148945, Defense: 87109, Current HP: 299, A Avg: 1240711, D Avg: 121952, [Sword of Evil[189, 0, 0, 0], Ghost shield[251, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 980: HP: 60, STR: 31, VIT: 30, SPD: 1, LUK: 1, Attack: 148946, Defense: 83753, Current HP: 60, A Avg: 1240720, D Avg: 117254, [Sword of Evil[189, 0, 0, 0], Pot Lid[201, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 979: HP: 60, STR: 31, VIT: 61, SPD: 1, LUK: 1, Attack: 148946, Defense: 83784, Current HP: 60, A Avg: 1240720, D Avg: 117297, [Sword of Evil[189, 0, 0, 0], Pot Lid[201, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 978: HP: 240, STR: 31, VIT: 51, SPD: 1, LUK: 1, Attack: 148946, Defense: 83774, Current HP: 240, A Avg: 1240720, D Avg: 117283, [Sword of Evil[189, 0, 0, 0], Pot Lid[201, 0, 0, 0], Glazed[309, 0, 0, 0]]
