Rank 1000: HP: 874, STR: 180, VIT: 71, SPD: 15, LUK: 2, Attack: 138550, Defense: 83999, Current HP: 874, A Avg: 1154121, D Avg: 117598, [Big Bang[171, 0, 0, 0], Tower Shield[213, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 999: HP: 1066, STR: 180, VIT: 153, SPD: 15, LUK: 2, Attack: 138550, Defense: 84715, Current HP: 1066, A Avg: 1154121, D Avg: 118600, [Big Bang[171, 0, 0, 0], Slime Shield[221, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 998: HP: 972, STR: 180, VIT: 60, SPD: 15, LUK: 2, Attack: 138550, Defense: 83988, Current HP: 972, A Avg: 1154121, D Avg: 117583, [Big Bang[171, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 997: HP: 840, STR: 180, VIT: 481, SPD: 15, LUK: 2, Attack: 138550, Defense: 87269, Current HP: 840, A Avg: 1154121, D Avg: 122176, [Big Bang[171, 0, 0, 0], Energy Shield[227, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 996: HP: 2004, STR: 180, VIT: 41, SPD: 15, LUK: 2, Attack: 138550, Defense: 85958, Current HP: 2004, A Avg: 1154121, D Avg: 120341, [Big Bang[171, 0, 0, 0], Frying Pan[231, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 995: HP: 1224, STR: 180, VIT: 192, SPD: 15, LUK: 2, Attack: 138550, Defense: 84926, Current HP: 1224, A Avg: 1154121, D Avg: 118896, [Big Bang[171, 0, 0, 0], Slafield[232, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 994: HP: 1070, STR: 180, VIT: 153, SPD: 15, LUK: 2, Attack: 138550, Defense: 85628, Current HP: 1070, A Avg: 1154121, D Avg: 119879, [Big Bang[171, 0, 0, 0], Mist Shield[233, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 993: HP: 988, STR: 180, VIT: 237, SPD: 15, LUK: 2, Attack: 138550, Defense: 85205, Current HP: 988, A Avg: 1154121, D Avg: 119286, [Big Bang[171, 0, 0, 0], Huge Shield[234, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 992: HP: 912, STR: 180, VIT: 371, SPD: 15, LUK: 2, Attack: 138550, Defense: 87211, Current HP: 912, A Avg: 1154121, D Avg: 122095, [Big Bang[171, 0, 0, 0], Aurora Shield[240, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 991: HP: 1110, STR: 180, VIT: 207, SPD: 15, LUK: 2, Attack: 138550, Defense: 87632, Current HP: 1110, A Avg: 1154121, D Avg: 122684, [Big Bang[171, 0, 0, 0], Cloud Shield[241, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 990: HP: 798, STR: 180, VIT: 39, SPD: 15, LUK: 2, Attack: 138550, Defense: 86828, Current HP: 798, A Avg: 1154121, D Avg: 121559, [Big Bang[171, 0, 0, 0], Graffiti[243, 0, 0, 0], Search Ring[317, 0, 0, 0]]
