Rank 1000: HP: 1045, STR: 269, VIT: 236, SPD: 25, LUK: 1, Attack: 138683, Defense: 84658, Current HP: 1045, A Avg: 1155229, D Avg: 118521, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 999: HP: 1140, STR: 269, VIT: 315, SPD: 25, LUK: 1, Attack: 138683, Defense: 84737, Current HP: 1140, A Avg: 1155229, D Avg: 118631, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 998: HP: 1140, STR: 269, VIT: 257, SPD: 25, LUK: 1, Attack: 138683, Defense: 84679, Current HP: 1140, A Avg: 1155229, D Avg: 118550, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 997: HP: 1448, STR: 269, VIT: 492, SPD: 27, LUK: 1, Attack: 138683, Defense: 85356, Current HP: 1448, A Avg: 1155229, D Avg: 119498, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 996: HP: 1364, STR: 269, VIT: 537, SPD: 28, LUK: 1, Attack: 138683, Defense: 84959, Current HP: 1364, A Avg: 1155229, D Avg: 118942, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 995: HP: 323, STR: 4795, VIT: 49, SPD: 25, LUK: 1, Attack: 138684, Defense: 84393, Current HP: 323, A Avg: 1155237, D Avg: 118150, [Neural Edge[190, 0, 0, 0], V Magnum[238, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 994: HP: 1406, STR: 2548, VIT: 1161, SPD: 27, LUK: 1, Attack: 138685, Defense: 86155, Current HP: 1406, A Avg: 1155246, D Avg: 120616, [Spectral Sword Shigure[172, 0, 0, 0], Metalization[228, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 993: HP: 1039, STR: 270, VIT: 190, SPD: 23, LUK: 1, Attack: 138685, Defense: 84196, Current HP: 1039, A Avg: 1155246, D Avg: 117874, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 992: HP: 1571, STR: 270, VIT: 139, SPD: 23, LUK: 1, Attack: 138685, Defense: 84145, Current HP: 1571, A Avg: 1155246, D Avg: 117802, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 991: HP: 1067, STR: 270, VIT: 139, SPD: 43, LUK: 1, Attack: 138685, Defense: 84145, Current HP: 1067, A Avg: 1155246, D Avg: 117802, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 990: HP: 1048, STR: 270, VIT: 149, SPD: 38, LUK: 1, Attack: 138685, Defense: 84155, Current HP: 1048, A Avg: 1155246, D Avg: 117816, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
