Rank 1000: HP: 1406, STR: 551, VIT: 522, SPD: 64, LUK: 1, Attack: 139106, Defense: 87440, Current HP: 1406, A Avg: 1158752, D Avg: 122415, [Big Bang[171, 0, 0, 0], White Hole[230, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 999: HP: 1463, STR: 2829, VIT: 1315, SPD: 39, LUK: 2, Attack: 139107, Defense: 88883, Current HP: 1463, A Avg: 1158761, D Avg: 124436, [Spectral Sword Shigure[172, 0, 0, 0], Storm Wall[242, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 998: HP: 1276, STR: 554, VIT: 282, SPD: 39, LUK: 1, Attack: 139111, Defense: 84288, Current HP: 1276, A Avg: 1158794, D Avg: 118003, [Big Bang[171, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 997: HP: 912, STR: 2833, VIT: 213, SPD: 39, LUK: 2, Attack: 139113, Defense: 84076, Current HP: 912, A Avg: 1158811, D Avg: 117706, [Spectral Sword Shigure[172, 0, 0, 0], Small Sword[218, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 996: HP: 2015, STR: 2833, VIT: 273, SPD: 39, LUK: 1, Attack: 139113, Defense: 84162, Current HP: 2015, A Avg: 1158811, D Avg: 117826, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 995: HP: 1496, STR: 2833, VIT: 263, SPD: 39, LUK: 2, Attack: 139113, Defense: 84152, Current HP: 1496, A Avg: 1158811, D Avg: 117812, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 994: HP: 1805, STR: 557, VIT: 494, SPD: 45, LUK: 1, Attack: 139115, Defense: 85358, Current HP: 1805, A Avg: 1158827, D Avg: 119501, [Big Bang[171, 0, 0, 0], Dragon's Head[217, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 993: HP: 1721, STR: 557, VIT: 536, SPD: 47, LUK: 1, Attack: 139115, Defense: 84958, Current HP: 1721, A Avg: 1158827, D Avg: 118941, [Big Bang[171, 0, 0, 0], Superconducting Barrier[220, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 992: HP: 3268, STR: 6931, VIT: 618, SPD: 39, LUK: 1, Attack: 139116, Defense: 84806, Current HP: 3268, A Avg: 1158836, D Avg: 118728, [Spear of Regression[182, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 991: HP: 513, STR: 5086, VIT: 70, SPD: 39, LUK: 2, Attack: 139121, Defense: 87898, Current HP: 513, A Avg: 1158877, D Avg: 123057, [Neural Edge[190, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 990: HP: 1721, STR: 561, VIT: 481, SPD: 45, LUK: 1, Attack: 139121, Defense: 84370, Current HP: 1721, A Avg: 1158877, D Avg: 118117, [Big Bang[171, 0, 0, 0], Small Lion[219, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 989: HP: 1474, STR: 2842, VIT: 495, SPD: 39, LUK: 1, Attack: 139126, Defense: 84384, Current HP: 1474, A Avg: 1158919, D Avg: 118137, [Spectral Sword Shigure[172, 0, 0, 0], Small Lion[219, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
