Rank 1000: HP: 1007, STR: 3234, VIT: 204, SPD: 77, LUK: 1, Attack: 139714, Defense: 84073, Current HP: 1007, A Avg: 1163817, D Avg: 117702, [Spectral Sword Shigure[172, 0, 0, 0], Wooden Shield[203, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 999: HP: 1007, STR: 3234, VIT: 210, SPD: 77, LUK: 1, Attack: 139714, Defense: 84014, Current HP: 1007, A Avg: 1163817, D Avg: 117619, [Spectral Sword Shigure[172, 0, 0, 0], Iron Shield[204, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 998: HP: 1007, STR: 3234, VIT: 256, SPD: 77, LUK: 1, Attack: 139714, Defense: 84119, Current HP: 1007, A Avg: 1163817, D Avg: 117766, [Spectral Sword Shigure[172, 0, 0, 0], Titanium Shield[205, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 997: HP: 1007, STR: 3234, VIT: 278, SPD: 77, LUK: 1, Attack: 139714, Defense: 84167, Current HP: 1007, A Avg: 1163817, D Avg: 117833, [Spectral Sword Shigure[172, 0, 0, 0], Large iron Shield[206, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 996: HP: 1060, STR: 3234, VIT: 315, SPD: 77, LUK: 1, Attack: 139714, Defense: 84191, Current HP: 1060, A Avg: 1163817, D Avg: 117867, [Spectral Sword Shigure[172, 0, 0, 0], Magic Shield[207, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 995: HP: 1301, STR: 3234, VIT: 382, SPD: 77, LUK: 1, Attack: 139714, Defense: 84219, Current HP: 1301, A Avg: 1163817, D Avg: 117906, [Spectral Sword Shigure[172, 0, 0, 0], Emerald Shield[209, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 994: HP: 1120, STR: 3234, VIT: 255, SPD: 77, LUK: 1, Attack: 139714, Defense: 84027, Current HP: 1120, A Avg: 1163817, D Avg: 117637, [Spectral Sword Shigure[172, 0, 0, 0], Clear Shield[211, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 993: HP: 1160, STR: 3234, VIT: 315, SPD: 77, LUK: 1, Attack: 139714, Defense: 84334, Current HP: 1160, A Avg: 1163817, D Avg: 118067, [Spectral Sword Shigure[172, 0, 0, 0], Prism Shield[212, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 992: HP: 1083, STR: 3234, VIT: 267, SPD: 77, LUK: 1, Attack: 139714, Defense: 84195, Current HP: 1083, A Avg: 1163817, D Avg: 117872, [Spectral Sword Shigure[172, 0, 0, 0], Tower Shield[213, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 991: HP: 1566, STR: 3234, VIT: 506, SPD: 77, LUK: 1, Attack: 139714, Defense: 85068, Current HP: 1566, A Avg: 1163817, D Avg: 119095, [Spectral Sword Shigure[172, 0, 0, 0], Slime Shield[221, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 990: HP: 1485, STR: 3234, VIT: 256, SPD: 77, LUK: 1, Attack: 139714, Defense: 84184, Current HP: 1485, A Avg: 1163817, D Avg: 117857, [Spectral Sword Shigure[172, 0, 0, 0], Hardwood Shield[223, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
