Rank 1000: HP: 2204, STR: 8078, VIT: 1146, SPD: 81, LUK: 1, Attack: 141636, Defense: 88974, Current HP: 2204, A Avg: 1179827, D Avg: 124563, [Progress[147, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 999: HP: 3144, STR: 6600, VIT: 3782, SPD: 71, LUK: 1, Attack: 141642, Defense: 91610, Current HP: 3144, A Avg: 1179877, D Avg: 128253, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 998: HP: 4785, STR: 6600, VIT: 2562, SPD: 71, LUK: 1, Attack: 141642, Defense: 90390, Current HP: 4785, A Avg: 1179877, D Avg: 126545, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 997: HP: 3173, STR: 6600, VIT: 2562, SPD: 130, LUK: 1, Attack: 141642, Defense: 90390, Current HP: 3173, A Avg: 1179877, D Avg: 126545, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 996: HP: 3850, STR: 6600, VIT: 3812, SPD: 71, LUK: 1, Attack: 141642, Defense: 91640, Current HP: 3850, A Avg: 1179877, D Avg: 128295, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 995: HP: 1463, STR: 2250, VIT: 132, SPD: 76, LUK: 1, Attack: 141655, Defense: 84476, Current HP: 1463, A Avg: 1179986, D Avg: 118266, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 994: HP: 1558, STR: 2250, VIT: 336, SPD: 76, LUK: 1, Attack: 141655, Defense: 84680, Current HP: 1558, A Avg: 1179986, D Avg: 118551, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 993: HP: 1558, STR: 2250, VIT: 153, SPD: 76, LUK: 1, Attack: 141655, Defense: 84497, Current HP: 1558, A Avg: 1179986, D Avg: 118295, [Big Bang[171, 0, 0, 0], V Magnum[238, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 992: HP: 1420, STR: 8560, VIT: 1400, SPD: 76, LUK: 1, Attack: 141657, Defense: 86628, Current HP: 1420, A Avg: 1180002, D Avg: 121279, [Blue Sword[180, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 991: HP: 3135, STR: 6611, VIT: 3782, SPD: 71, LUK: 1, Attack: 141658, Defense: 91610, Current HP: 3135, A Avg: 1180011, D Avg: 128253, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Silver Ring[302, 0, 0, 0]]
Rank 990: HP: 3135, STR: 6611, VIT: 3812, SPD: 71, LUK: 1, Attack: 141658, Defense: 91640, Current HP: 3135, A Avg: 1180011, D Avg: 128295, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Summon Ring[306, 0, 0, 0]]
Rank 989: HP: 4930, STR: 6611, VIT: 2583, SPD: 71, LUK: 1, Attack: 141658, Defense: 90411, Current HP: 4930, A Avg: 1180011, D Avg: 126575, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Glazed[309, 0, 0, 0]]
Rank 988: HP: 3263, STR: 2252, VIT: 512, SPD: 71, LUK: 1, Attack: 141658, Defense: 85740, Current HP: 3263, A Avg: 1180011, D Avg: 120035, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 987: HP: 2354, STR: 2252, VIT: 502, SPD: 71, LUK: 2, Attack: 141658, Defense: 85730, Current HP: 2354, A Avg: 1180011, D Avg: 120021, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 986: HP: 2945, STR: 8909, VIT: 1938, SPD: 90, LUK: 1, Attack: 141673, Defense: 88726, Current HP: 2945, A Avg: 1180136, D Avg: 124216, [Zodiac[184, 0, 0, 0], C Magnum[239, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 985: HP: 3154, STR: 6622, VIT: 2573, SPD: 71, LUK: 2, Attack: 141675, Defense: 90401, Current HP: 3154, A Avg: 1180152, D Avg: 126561, [Stargazer[183, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 984: HP: 940, STR: 6793, VIT: 428, SPD: 81, LUK: 1, Attack: 141681, Defense: 84453, Current HP: 940, A Avg: 1180202, D Avg: 118234, [Neural Edge[190, 0, 0, 0], Conductive Barrier[208, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 983: HP: 5909, STR: 6586, VIT: 1938, SPD: 76, LUK: 2, Attack: 141702, Defense: 86074, Current HP: 5909, A Avg: 1180377, D Avg: 120503, [Wild Card[175, 0, 0, 0], Magnum[237, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 982: HP: 1480, STR: 6809, VIT: 550, SPD: 76, LUK: 1, Attack: 141705, Defense: 84790, Current HP: 1480, A Avg: 1180402, D Avg: 118705, [Neural Edge[190, 0, 0, 0], Dragon's Wings[216, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 981: HP: 912, STR: 6809, VIT: 132, SPD: 121, LUK: 1, Attack: 141705, Defense: 84268, Current HP: 912, A Avg: 1180402, D Avg: 117975, [Neural Edge[190, 0, 0, 0], Magnum[237, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 980: HP: 1311, STR: 4564, VIT: 317, SPD: 116, LUK: 1, Attack: 141709, Defense: 84180, Current HP: 1311, A Avg: 1180435, D Avg: 117851, [Spectral Sword Shigure[172, 0, 0, 0], Small Sword[218, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 979: HP: 1584, STR: 4565, VIT: 455, SPD: 76, LUK: 1, Attack: 141711, Defense: 84799, Current HP: 1584, A Avg: 1180452, D Avg: 118718, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
Rank 978: HP: 1868, STR: 2290, VIT: 423, SPD: 85, LUK: 1, Attack: 141715, Defense: 84559, Current HP: 1868, A Avg: 1180485, D Avg: 118382, [Big Bang[171, 0, 0, 0], Magnum[237, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 977: HP: 1729, STR: 8838, VIT: 2851, SPD: 85, LUK: 1, Attack: 141723, Defense: 90679, Current HP: 1729, A Avg: 1180552, D Avg: 126950, [Portal Sword[176, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 976: HP: 1463, STR: 6828, VIT: 1917, SPD: 71, LUK: 1, Attack: 141734, Defense: 89485, Current HP: 1463, A Avg: 1180644, D Avg: 125278, [Neural Edge[190, 0, 0, 0], Storm Wall[242, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 975: HP: 1558, STR: 6828, VIT: 2120, SPD: 71, LUK: 1, Attack: 141734, Defense: 89688, Current HP: 1558, A Avg: 1180644, D Avg: 125563, [Neural Edge[190, 0, 0, 0], Storm Wall[242, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 974: HP: 1558, STR: 6828, VIT: 1938, SPD: 71, LUK: 1, Attack: 141734, Defense: 89506, Current HP: 1558, A Avg: 1180644, D Avg: 125308, [Neural Edge[190, 0, 0, 0], Storm Wall[242, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 973: HP: 2332, STR: 2305, VIT: 910, SPD: 71, LUK: 1, Attack: 141737, Defense: 86138, Current HP: 2332, A Avg: 1180669, D Avg: 120593, [Big Bang[171, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Marriage Ring[321, 0, 0, 0]]
