Rank 1000: HP: 1514, STR: 9302, VIT: 1363, SPD: 79, LUK: 1, Attack: 142263, Defense: 85369, Current HP: 1514, A Avg: 1185050, D Avg: 119516, [Zodiac[184, 0, 0, 0], Small Dragon Sword[224, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 999: HP: 1301, STR: 8973, VIT: 1673, SPD: 90, LUK: 1, Attack: 142276, Defense: 89501, Current HP: 1301, A Avg: 1185159, D Avg: 125301, [Blue Sword[180, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 998: HP: 1026, STR: 6684, VIT: 153, SPD: 79, LUK: 1, Attack: 142276, Defense: 87981, Current HP: 1026, A Avg: 1185159, D Avg: 123173, [Basic[169, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Ring of power[314, 0, 0, 0]]
Rank 997: HP: 1510, STR: 7191, VIT: 574, SPD: 79, LUK: 2, Attack: 142278, Defense: 85802, Current HP: 1510, A Avg: 1185175, D Avg: 120122, [Neural Edge[190, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Tears of the Dragon[307, 0, 0, 0]]
Rank 996: HP: 1343, STR: 9210, VIT: 2698, SPD: 90, LUK: 1, Attack: 142281, Defense: 90526, Current HP: 1343, A Avg: 1185200, D Avg: 126736, [Portal Sword[176, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 995: HP: 1721, STR: 4947, VIT: 520, SPD: 95, LUK: 1, Attack: 142284, Defense: 84656, Current HP: 1721, A Avg: 1185225, D Avg: 118518, [Spectral Sword Shigure[172, 0, 0, 0], Magnum[237, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 994: HP: 2220, STR: 10284, VIT: 237, SPD: 90, LUK: 1, Attack: 142293, Defense: 87025, Current HP: 2220, A Avg: 1185300, D Avg: 121834, [Magical[187, 0, 0, 0], C Magnum[239, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 993: HP: 2120, STR: 10286, VIT: 1352, SPD: 95, LUK: 1, Attack: 142296, Defense: 85371, Current HP: 2120, A Avg: 1185325, D Avg: 119519, [Magical[187, 0, 0, 0], Prism Shield[212, 0, 0, 0], Black Box[323, 0, 0, 0]]
Rank 992: HP: 2140, STR: 9533, VIT: 1687, SPD: 85, LUK: 1, Attack: 142301, Defense: 89515, Current HP: 2140, A Avg: 1185367, D Avg: 125320, [Impulse[166, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 991: HP: 1570, STR: 10292, VIT: 689, SPD: 85, LUK: 1, Attack: 142305, Defense: 85917, Current HP: 1570, A Avg: 1185400, D Avg: 120283, [Magical[187, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 990: HP: 1301, STR: 7212, VIT: 389, SPD: 90, LUK: 1, Attack: 142310, Defense: 84577, Current HP: 1301, A Avg: 1185442, D Avg: 118407, [Neural Edge[190, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Endpoint[318, 0, 0, 0]]
Rank 989: HP: 7517, STR: 7005, VIT: 2698, SPD: 95, LUK: 1, Attack: 142331, Defense: 87042, Current HP: 7517, A Avg: 1185617, D Avg: 121858, [Wild Card[175, 0, 0, 0], V Magnum[238, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 988: HP: 3078, STR: 8550, VIT: 1875, SPD: 79, LUK: 1, Attack: 142344, Defense: 89703, Current HP: 3078, A Avg: 1185725, D Avg: 125584, [Progress[147, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 987: HP: 2543, STR: 7235, VIT: 564, SPD: 79, LUK: 1, Attack: 142344, Defense: 85792, Current HP: 2543, A Avg: 1185725, D Avg: 120108, [Neural Edge[190, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Ring of Venom[310, 0, 0, 0]]
Rank 986: HP: 1859, STR: 7235, VIT: 554, SPD: 79, LUK: 2, Attack: 142344, Defense: 85782, Current HP: 1859, A Avg: 1185725, D Avg: 120094, [Neural Edge[190, 0, 0, 0], Wave Motion Sword[226, 0, 0, 0], Pandora Ring[312, 0, 0, 0]]
Rank 985: HP: 1040, STR: 7850, VIT: 237, SPD: 85, LUK: 1, Attack: 142352, Defense: 88065, Current HP: 1040, A Avg: 1185792, D Avg: 123290, [Tekken[188, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Oculus Ring[315, 0, 0, 0]]
Rank 984: HP: 1368, STR: 4993, VIT: 205, SPD: 85, LUK: 2, Attack: 142353, Defense: 84549, Current HP: 1368, A Avg: 1185800, D Avg: 118368, [Spectral Sword Shigure[172, 0, 0, 0], V Magnum[238, 0, 0, 0], Search Ring[317, 0, 0, 0]]
Rank 983: HP: 6023, STR: 9096, VIT: 757, SPD: 79, LUK: 1, Attack: 142363, Defense: 84945, Current HP: 6023, A Avg: 1185883, D Avg: 118922, [Spear of Regression[182, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 982: HP: 1425, STR: 5000, VIT: 898, SPD: 129, LUK: 1, Attack: 142363, Defense: 85489, Current HP: 1425, A Avg: 1185883, D Avg: 119684, [Spectral Sword Shigure[172, 0, 0, 0], Black Hole[229, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 981: HP: 1890, STR: 5000, VIT: 1000, SPD: 129, LUK: 1, Attack: 142363, Defense: 87918, Current HP: 1890, A Avg: 1185883, D Avg: 123085, [Spectral Sword Shigure[172, 0, 0, 0], White Hole[230, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 980: HP: 1343, STR: 9033, VIT: 1360, SPD: 90, LUK: 1, Attack: 142366, Defense: 85548, Current HP: 1343, A Avg: 1185908, D Avg: 119767, [Blue Sword[180, 0, 0, 0], Dragon Sword[225, 0, 0, 0], Seal of the High King[319, 0, 0, 0]]
Rank 979: HP: 2680, STR: 5003, VIT: 960, SPD: 129, LUK: 1, Attack: 142368, Defense: 87072, Current HP: 2680, A Avg: 1185925, D Avg: 121900, [Spectral Sword Shigure[172, 0, 0, 0], Goblin Hand[250, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 978: HP: 997, STR: 9363, VIT: 2297, SPD: 79, LUK: 1, Attack: 142374, Defense: 90125, Current HP: 997, A Avg: 1185975, D Avg: 126174, [Hammer of Justice[186, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 977: HP: 1636, STR: 7257, VIT: 761, SPD: 79, LUK: 1, Attack: 142377, Defense: 86379, Current HP: 1636, A Avg: 1186000, D Avg: 120930, [Neural Edge[190, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 976: HP: 1736, STR: 7257, VIT: 985, SPD: 79, LUK: 1, Attack: 142377, Defense: 86603, Current HP: 1736, A Avg: 1186000, D Avg: 121244, [Neural Edge[190, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 975: HP: 1736, STR: 7257, VIT: 782, SPD: 79, LUK: 1, Attack: 142377, Defense: 86400, Current HP: 1736, A Avg: 1186000, D Avg: 120959, [Neural Edge[190, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 974: HP: 6583, STR: 7037, VIT: 3194, SPD: 79, LUK: 1, Attack: 142379, Defense: 91022, Current HP: 6583, A Avg: 1186017, D Avg: 127430, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Copper Ring[301, 0, 0, 0]]
Rank 973: HP: 10034, STR: 7037, VIT: 2166, SPD: 79, LUK: 1, Attack: 142379, Defense: 89994, Current HP: 10034, A Avg: 1186017, D Avg: 125991, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Gold Ring[303, 0, 0, 0]]
Rank 972: HP: 6612, STR: 7037, VIT: 2166, SPD: 145, LUK: 1, Attack: 142379, Defense: 89994, Current HP: 6612, A Avg: 1186017, D Avg: 125991, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Platinum Ring[304, 0, 0, 0]]
Rank 971: HP: 6593, STR: 7037, VIT: 2176, SPD: 129, LUK: 1, Attack: 142379, Defense: 90004, Current HP: 6593, A Avg: 1186017, D Avg: 126005, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Fairy Ring[305, 0, 0, 0]]
Rank 970: HP: 7832, STR: 7037, VIT: 3225, SPD: 79, LUK: 1, Attack: 142379, Defense: 91053, Current HP: 7832, A Avg: 1186017, D Avg: 127474, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Morphine Ring[311, 0, 0, 0]]
Rank 969: HP: 6631, STR: 7037, VIT: 2197, SPD: 129, LUK: 1, Attack: 142379, Defense: 90025, Current HP: 6631, A Avg: 1186017, D Avg: 126034, [Wild Card[175, 0, 0, 0], Black Sword Breath[252, 0, 0, 0], Rapid Rabbit[313, 0, 0, 0]]
Rank 968: HP: 1360, STR: 7260, VIT: 1026, SPD: 79, LUK: 1, Attack: 142382, Defense: 85864, Current HP: 1360, A Avg: 1186042, D Avg: 120209, [Neural Edge[190, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Petit Magic Circle[308, 0, 0, 0]]
Rank 967: HP: 1455, STR: 7260, VIT: 1261, SPD: 79, LUK: 1, Attack: 142382, Defense: 86099, Current HP: 1455, A Avg: 1186042, D Avg: 120538, [Neural Edge[190, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], Mobius Ring[316, 0, 0, 0]]
Rank 966: HP: 1455, STR: 7260, VIT: 1048, SPD: 79, LUK: 1, Attack: 142382, Defense: 85886, Current HP: 1455, A Avg: 1186042, D Avg: 120240, [Neural Edge[190, 0, 0, 0], Bulletproof Shield[235, 0, 0, 0], The Third Eye[322, 0, 0, 0]]
Rank 965: HP: 2128, STR: 7263, VIT: 956, SPD: 79, LUK: 1, Attack: 142386, Defense: 84819, Current HP: 2128, A Avg: 1186075, D Avg: 118746, [Neural Edge[190, 0, 0, 0], Small Sword[218, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
Rank 964: HP: 3216, STR: 5016, VIT: 1829, SPD: 79, LUK: 1, Attack: 142387, Defense: 87447, Current HP: 3216, A Avg: 1186083, D Avg: 122425, [Spectral Sword Shigure[172, 0, 0, 0], Mask of the Grim Reaper[214, 0, 0, 0], Obsidian Ring[320, 0, 0, 0]]
