Rank 1000: HP: 285, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83967, Current HP: 285, A Avg: 8592036, D Avg: 117553, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 999: HP: 340, STR: 602304, VIT: 134, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83906, Current HP: 340, A Avg: 8592036, D Avg: 117468, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 998: HP: 380, STR: 602304, VIT: 134, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84153, Current HP: 380, A Avg: 8592036, D Avg: 117814, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 997: HP: 342, STR: 602304, VIT: 141, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84069, Current HP: 342, A Avg: 8592036, D Avg: 117696, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 996: HP: 380, STR: 602304, VIT: 145, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84707, Current HP: 380, A Avg: 8592036, D Avg: 118589, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 995: HP: 304, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84058, Current HP: 304, A Avg: 8592036, D Avg: 117681, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 994: HP: 280, STR: 602304, VIT: 435, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87223, Current HP: 280, A Avg: 8592036, D Avg: 122112, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 993: HP: 304, STR: 602304, VIT: 186, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84777, Current HP: 304, A Avg: 8592036, D Avg: 118687, [Impulse[166, 230, 230, 230], Black Hole[229, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 992: HP: 304, STR: 602304, VIT: 186, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87104, Current HP: 304, A Avg: 8592036, D Avg: 121945, [Impulse[166, 230, 230, 230], White Hole[230, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 991: HP: 1216, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86047, Current HP: 1216, A Avg: 8592036, D Avg: 120465, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 990: HP: 520, STR: 602304, VIT: 166, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84900, Current HP: 520, A Avg: 8592036, D Avg: 118859, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 989: HP: 420, STR: 602304, VIT: 145, SPD: 1, LUK: 1, Attack: 1031457, Defense: 85620, Current HP: 420, A Avg: 8592036, D Avg: 119867, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 988: HP: 456, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 85098, Current HP: 456, A Avg: 8592036, D Avg: 119137, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 987: HP: 380, STR: 602304, VIT: 269, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87109, Current HP: 380, A Avg: 8592036, D Avg: 121952, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 986: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87549, Current HP: 280, A Avg: 8592036, D Avg: 122568, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 985: HP: 266, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86913, Current HP: 266, A Avg: 8592036, D Avg: 121678, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 984: HP: 266, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 89902, Current HP: 266, A Avg: 8592036, D Avg: 125862, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 983: HP: 741, STR: 602304, VIT: 348, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87136, Current HP: 741, A Avg: 8592036, D Avg: 121990, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 982: HP: 551, STR: 602304, VIT: 145, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86023, Current HP: 551, A Avg: 8592036, D Avg: 120432, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 981: HP: 494, STR: 602304, VIT: 239, SPD: 1, LUK: 1, Attack: 1031457, Defense: 86455, Current HP: 494, A Avg: 8592036, D Avg: 121036, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 980: HP: 680, STR: 602304, VIT: 539, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87574, Current HP: 680, A Avg: 8592036, D Avg: 122603, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 979: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87172, Current HP: 280, A Avg: 8592036, D Avg: 122040, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 978: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83847, Current HP: 280, A Avg: 8592036, D Avg: 117385, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 977: HP: 280, STR: 602304, VIT: 124, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83857, Current HP: 280, A Avg: 8592036, D Avg: 117399, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 976: HP: 266, STR: 602304, VIT: 141, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84010, Current HP: 266, A Avg: 8592036, D Avg: 117613, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 975: HP: 266, STR: 602304, VIT: 147, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83951, Current HP: 266, A Avg: 8592036, D Avg: 117531, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 974: HP: 266, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83993, Current HP: 266, A Avg: 8592036, D Avg: 117590, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 973: HP: 266, STR: 602304, VIT: 152, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84041, Current HP: 266, A Avg: 8592036, D Avg: 117657, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 972: HP: 280, STR: 602304, VIT: 134, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84010, Current HP: 280, A Avg: 8592036, D Avg: 117613, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 971: HP: 285, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83967, Current HP: 285, A Avg: 8592036, D Avg: 117553, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 970: HP: 340, STR: 602304, VIT: 134, SPD: 1, LUK: 1, Attack: 1031457, Defense: 83906, Current HP: 340, A Avg: 8592036, D Avg: 117468, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 969: HP: 380, STR: 602304, VIT: 134, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84153, Current HP: 380, A Avg: 8592036, D Avg: 117814, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 968: HP: 342, STR: 602304, VIT: 141, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84069, Current HP: 342, A Avg: 8592036, D Avg: 117696, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 967: HP: 380, STR: 602304, VIT: 145, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84707, Current HP: 380, A Avg: 8592036, D Avg: 118589, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 966: HP: 304, STR: 602304, VIT: 130, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84058, Current HP: 304, A Avg: 8592036, D Avg: 117681, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 965: HP: 280, STR: 602304, VIT: 435, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87223, Current HP: 280, A Avg: 8592036, D Avg: 122112, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 964: HP: 304, STR: 602304, VIT: 186, SPD: 1, LUK: 1, Attack: 1031457, Defense: 84777, Current HP: 304, A Avg: 8592036, D Avg: 118687, [Impulse[166, 230, 230, 230], Black Hole[229, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 963: HP: 304, STR: 602304, VIT: 186, SPD: 1, LUK: 1, Attack: 1031457, Defense: 87104, Current HP: 304, A Avg: 8592036, D Avg: 121945, [Impulse[166, 230, 230, 230], White Hole[230, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
