Rank 1000: HP: 1083, STR: 602981, VIT: 1150, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87938, Current HP: 1083, A Avg: 8600500, D Avg: 123113, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 999: HP: 893, STR: 602981, VIT: 593, SPD: 17, LUK: 1, Attack: 1032473, Defense: 86471, Current HP: 893, A Avg: 8600500, D Avg: 121059, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 998: HP: 1041, STR: 602981, VIT: 669, SPD: 15, LUK: 1, Attack: 1032473, Defense: 86885, Current HP: 1041, A Avg: 8600500, D Avg: 121638, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 997: HP: 1040, STR: 602981, VIT: 913, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87948, Current HP: 1040, A Avg: 8600500, D Avg: 123127, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 996: HP: 640, STR: 602981, VIT: 647, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87695, Current HP: 640, A Avg: 8600500, D Avg: 122772, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 995: HP: 640, STR: 602981, VIT: 423, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84146, Current HP: 640, A Avg: 8600500, D Avg: 117804, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 994: HP: 640, STR: 602981, VIT: 423, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84156, Current HP: 640, A Avg: 8600500, D Avg: 117818, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 993: HP: 608, STR: 602981, VIT: 454, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84323, Current HP: 608, A Avg: 8600500, D Avg: 118052, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 992: HP: 608, STR: 602981, VIT: 461, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84265, Current HP: 608, A Avg: 8600500, D Avg: 117970, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 991: HP: 608, STR: 602981, VIT: 463, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84326, Current HP: 608, A Avg: 8600500, D Avg: 118056, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 990: HP: 608, STR: 602981, VIT: 485, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84374, Current HP: 608, A Avg: 8600500, D Avg: 118123, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 989: HP: 640, STR: 602981, VIT: 471, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84347, Current HP: 640, A Avg: 8600500, D Avg: 118085, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 988: HP: 712, STR: 602981, VIT: 502, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84339, Current HP: 712, A Avg: 8600500, D Avg: 118074, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 987: HP: 700, STR: 602981, VIT: 452, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84224, Current HP: 700, A Avg: 8600500, D Avg: 117913, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 986: HP: 740, STR: 602981, VIT: 471, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84490, Current HP: 740, A Avg: 8600500, D Avg: 118285, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 985: HP: 684, STR: 602981, VIT: 474, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84402, Current HP: 684, A Avg: 8600500, D Avg: 118162, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 984: HP: 866, STR: 602981, VIT: 537, SPD: 15, LUK: 1, Attack: 1032473, Defense: 85099, Current HP: 866, A Avg: 8600500, D Avg: 119138, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 983: HP: 782, STR: 602981, VIT: 463, SPD: 15, LUK: 1, Attack: 1032473, Defense: 84391, Current HP: 782, A Avg: 8600500, D Avg: 118147, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 982: HP: 640, STR: 602981, VIT: 865, SPD: 15, LUK: 1, Attack: 1032473, Defense: 87653, Current HP: 640, A Avg: 8600500, D Avg: 122714, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
