Rank 1000: HP: 988, STR: 603357, VIT: 922, SPD: 23, LUK: 1, Attack: 1033037, Defense: 85890, Current HP: 988, A Avg: 8605198, D Avg: 120245, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 999: HP: 912, STR: 603357, VIT: 1025, SPD: 23, LUK: 1, Attack: 1033037, Defense: 87865, Current HP: 912, A Avg: 8605198, D Avg: 123010, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 998: HP: 1260, STR: 603357, VIT: 850, SPD: 23, LUK: 1, Attack: 1033037, Defense: 88275, Current HP: 1260, A Avg: 8605198, D Avg: 123584, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 997: HP: 798, STR: 603357, VIT: 589, SPD: 23, LUK: 1, Attack: 1033037, Defense: 87378, Current HP: 798, A Avg: 8605198, D Avg: 122329, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 996: HP: 798, STR: 603357, VIT: 1170, SPD: 23, LUK: 1, Attack: 1033037, Defense: 90948, Current HP: 798, A Avg: 8605198, D Avg: 127327, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 995: HP: 1273, STR: 603357, VIT: 1596, SPD: 23, LUK: 1, Attack: 1033037, Defense: 88384, Current HP: 1273, A Avg: 8605198, D Avg: 123737, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 994: HP: 1083, STR: 603357, VIT: 842, SPD: 25, LUK: 1, Attack: 1033037, Defense: 86720, Current HP: 1083, A Avg: 8605198, D Avg: 121407, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 993: HP: 1345, STR: 603357, VIT: 909, SPD: 23, LUK: 1, Attack: 1033037, Defense: 87125, Current HP: 1345, A Avg: 8605198, D Avg: 121974, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 992: HP: 1240, STR: 603357, VIT: 1120, SPD: 23, LUK: 1, Attack: 1033037, Defense: 88155, Current HP: 1240, A Avg: 8605198, D Avg: 123416, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 991: HP: 840, STR: 603357, VIT: 937, SPD: 23, LUK: 1, Attack: 1033037, Defense: 87985, Current HP: 840, A Avg: 8605198, D Avg: 123178, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 990: HP: 840, STR: 603357, VIT: 589, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84312, Current HP: 840, A Avg: 8605198, D Avg: 118036, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 989: HP: 840, STR: 603357, VIT: 589, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84322, Current HP: 840, A Avg: 8605198, D Avg: 118050, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 988: HP: 798, STR: 603357, VIT: 628, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84497, Current HP: 798, A Avg: 8605198, D Avg: 118295, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 987: HP: 798, STR: 603357, VIT: 635, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84439, Current HP: 798, A Avg: 8605198, D Avg: 118214, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 986: HP: 798, STR: 603357, VIT: 648, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84511, Current HP: 798, A Avg: 8605198, D Avg: 118315, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 985: HP: 798, STR: 603357, VIT: 669, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84558, Current HP: 798, A Avg: 8605198, D Avg: 118381, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 984: HP: 840, STR: 603357, VIT: 657, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84533, Current HP: 840, A Avg: 8605198, D Avg: 118346, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 983: HP: 950, STR: 603357, VIT: 709, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84546, Current HP: 950, A Avg: 8605198, D Avg: 118364, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 982: HP: 900, STR: 603357, VIT: 628, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84400, Current HP: 900, A Avg: 8605198, D Avg: 118159, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 981: HP: 940, STR: 603357, VIT: 657, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84676, Current HP: 940, A Avg: 8605198, D Avg: 118546, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 980: HP: 874, STR: 603357, VIT: 659, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84587, Current HP: 874, A Avg: 8605198, D Avg: 118421, [Impulse[166, 230, 230, 230], Tower Shield[213, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 979: HP: 1136, STR: 603357, VIT: 755, SPD: 23, LUK: 1, Attack: 1033037, Defense: 85317, Current HP: 1136, A Avg: 8605198, D Avg: 119443, [Impulse[166, 230, 230, 230], Slime Shield[221, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 978: HP: 1048, STR: 603357, VIT: 648, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84576, Current HP: 1048, A Avg: 8605198, D Avg: 118406, [Impulse[166, 230, 230, 230], Hardwood Shield[223, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 977: HP: 840, STR: 603357, VIT: 1103, SPD: 23, LUK: 1, Attack: 1033037, Defense: 87891, Current HP: 840, A Avg: 8605198, D Avg: 123047, [Impulse[166, 230, 230, 230], Energy Shield[227, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 976: HP: 2147, STR: 603357, VIT: 617, SPD: 23, LUK: 1, Attack: 1033037, Defense: 86534, Current HP: 2147, A Avg: 8605198, D Avg: 121147, [Impulse[166, 230, 230, 230], Frying Pan[231, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 975: HP: 1304, STR: 603357, VIT: 805, SPD: 23, LUK: 1, Attack: 1033037, Defense: 85539, Current HP: 1304, A Avg: 8605198, D Avg: 119754, [Impulse[166, 230, 230, 230], Slafield[232, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 974: HP: 1120, STR: 603357, VIT: 755, SPD: 23, LUK: 1, Attack: 1033037, Defense: 86230, Current HP: 1120, A Avg: 8605198, D Avg: 120721, [Impulse[166, 230, 230, 230], Mist Shield[233, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 973: HP: 988, STR: 603357, VIT: 922, SPD: 23, LUK: 1, Attack: 1033037, Defense: 85890, Current HP: 988, A Avg: 8605198, D Avg: 120245, [Impulse[166, 230, 230, 230], Huge Shield[234, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 972: HP: 912, STR: 603357, VIT: 1025, SPD: 23, LUK: 1, Attack: 1033037, Defense: 87865, Current HP: 912, A Avg: 8605198, D Avg: 123010, [Impulse[166, 230, 230, 230], Aurora Shield[240, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 971: HP: 1260, STR: 603357, VIT: 850, SPD: 23, LUK: 1, Attack: 1033037, Defense: 88275, Current HP: 1260, A Avg: 8605198, D Avg: 123584, [Impulse[166, 230, 230, 230], Cloud Shield[241, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 970: HP: 798, STR: 603357, VIT: 589, SPD: 23, LUK: 1, Attack: 1033037, Defense: 87378, Current HP: 798, A Avg: 8605198, D Avg: 122329, [Impulse[166, 230, 230, 230], Graffiti[243, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 969: HP: 798, STR: 603357, VIT: 1170, SPD: 23, LUK: 1, Attack: 1033037, Defense: 90948, Current HP: 798, A Avg: 8605198, D Avg: 127327, [Impulse[166, 230, 230, 230], Blank Shield[244, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 968: HP: 1273, STR: 603357, VIT: 1596, SPD: 23, LUK: 1, Attack: 1033037, Defense: 88384, Current HP: 1273, A Avg: 8605198, D Avg: 123737, [Impulse[166, 230, 230, 230], Golem Shield[245, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 967: HP: 1083, STR: 603357, VIT: 842, SPD: 25, LUK: 1, Attack: 1033037, Defense: 86720, Current HP: 1083, A Avg: 8605198, D Avg: 121407, [Impulse[166, 230, 230, 230], Sticky thread shield[247, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 966: HP: 1345, STR: 603357, VIT: 909, SPD: 23, LUK: 1, Attack: 1033037, Defense: 87125, Current HP: 1345, A Avg: 8605198, D Avg: 121974, [Impulse[166, 230, 230, 230], King Shield[248, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 965: HP: 1240, STR: 603357, VIT: 1120, SPD: 23, LUK: 1, Attack: 1033037, Defense: 88155, Current HP: 1240, A Avg: 8605198, D Avg: 123416, [Impulse[166, 230, 230, 230], Warrior's Shield[249, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 964: HP: 840, STR: 603357, VIT: 937, SPD: 23, LUK: 1, Attack: 1033037, Defense: 87985, Current HP: 840, A Avg: 8605198, D Avg: 123178, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 963: HP: 840, STR: 603357, VIT: 589, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84312, Current HP: 840, A Avg: 8605198, D Avg: 118036, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 962: HP: 840, STR: 603357, VIT: 589, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84322, Current HP: 840, A Avg: 8605198, D Avg: 118050, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 961: HP: 798, STR: 603357, VIT: 628, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84497, Current HP: 798, A Avg: 8605198, D Avg: 118295, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 960: HP: 798, STR: 603357, VIT: 635, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84439, Current HP: 798, A Avg: 8605198, D Avg: 118214, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
Rank 959: HP: 798, STR: 603357, VIT: 648, SPD: 23, LUK: 1, Attack: 1033037, Defense: 84511, Current HP: 798, A Avg: 8605198, D Avg: 118315, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 803]]
