Rank 1000: HP: 1040, STR: 603733, VIT: 1228, SPD: 31, LUK: 1, Attack: 1033601, Defense: 88276, Current HP: 1040, A Avg: 8609896, D Avg: 123586, [Impulse[166, 230, 230, 230], Ghost shield[251, 230, 230, 230], Mobius Ring[316, 230, 230, 67]]
Rank 999: HP: 1040, STR: 603733, VIT: 755, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84478, Current HP: 1040, A Avg: 8609896, D Avg: 118269, [Impulse[166, 230, 230, 230], Pot Lid[201, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 998: HP: 1040, STR: 603733, VIT: 755, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84488, Current HP: 1040, A Avg: 8609896, D Avg: 118283, [Impulse[166, 230, 230, 230], High Pot Lid[202, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 997: HP: 988, STR: 603733, VIT: 802, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84671, Current HP: 988, A Avg: 8609896, D Avg: 118539, [Impulse[166, 230, 230, 230], Wooden Shield[203, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 996: HP: 988, STR: 603733, VIT: 809, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84613, Current HP: 988, A Avg: 8609896, D Avg: 118458, [Impulse[166, 230, 230, 230], Iron Shield[204, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 995: HP: 988, STR: 603733, VIT: 833, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84696, Current HP: 988, A Avg: 8609896, D Avg: 118574, [Impulse[166, 230, 230, 230], Titanium Shield[205, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 994: HP: 988, STR: 603733, VIT: 854, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84743, Current HP: 988, A Avg: 8609896, D Avg: 118640, [Impulse[166, 230, 230, 230], Large iron Shield[206, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 993: HP: 1040, STR: 603733, VIT: 844, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84720, Current HP: 1040, A Avg: 8609896, D Avg: 118607, [Impulse[166, 230, 230, 230], Magic Shield[207, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 992: HP: 1187, STR: 603733, VIT: 915, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84752, Current HP: 1187, A Avg: 8609896, D Avg: 118652, [Impulse[166, 230, 230, 230], Emerald Shield[209, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 991: HP: 1100, STR: 603733, VIT: 805, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84577, Current HP: 1100, A Avg: 8609896, D Avg: 118407, [Impulse[166, 230, 230, 230], Clear Shield[211, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
Rank 990: HP: 1140, STR: 603733, VIT: 844, SPD: 31, LUK: 1, Attack: 1033601, Defense: 84863, Current HP: 1140, A Avg: 8609896, D Avg: 118808, [Impulse[166, 230, 230, 230], Prism Shield[212, 230, 230, 230], Mobius Ring[316, 230, 230, 68]]
